,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
108108000,BR1_3009704334,1571991,1257592,31,True,2,0,0,1,0,0,1,0,1,1,0,5,0,48942,503,130,59,True,31,False,0,0,0,0,0,0,0,0,4,0,0,3,0,45644,485,109,58,False
108108001,BR1_3009684714,1374313,1099450,22,False,2,1,0,0,1,0,0,0,6,1,0,6,0,42576,482,131,58,True,13,True,0,0,0,0,0,0,0,0,0,0,0,1,0,34639,468,112,54,False
108108002,BR1_3009678116,928131,742504,16,True,1,0,0,1,0,0,0,0,3,0,0,1,0,28654,303,103,44,True,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,21931,316,60,40,False
108108003,BR1_3009570827,1949221,1559376,22,False,3,0,2,0,1,0,0,0,3,1,0,4,0,47583,575,173,65,False,26,True,1,1,0,0,0,0,0,0,3,0,1,3,0,52075,658,142,70,True
108108004,BR1_3009562128,1752019,1401615,22,True,0,0,0,0,0,0,0,0,3,1,0,2,0,44453,456,118,60,False,25,False,3,1,0,1,1,0,0,0,0,0,0,3,0,48462,611,155,64,True
108108005,BR1_3009323606,1541819,1233455,21,False,0,0,0,0,0,0,0,0,0,1,0,2,0,44059,564,100,62,True,23,True,2,0,0,1,1,0,0,0,6,0,0,2,0,42493,535,179,62,False
108108006,BR1_3009305465,1585653,1268522,24,False,3,1,1,0,1,0,0,0,6,1,0,3,0,47895,537,183,62,True,18,True,0,0,0,0,0,0,0,0,0,0,0,1,0,38441,516,80,58,False
108108007,BR1_3009284773,1885340,1508272,32,True,0,0,0,0,0,0,0,0,4,0,0,3,0,52071,569,91,64,False,48,False,2,0,0,0,1,0,1,0,2,1,0,6,0,61350,580,186,72,True
108108008,BR1_3009238498,1532315,1225852,32,True,0,0,0,0,0,0,0,0,3,1,0,4,0,47871,519,150,62,True,15,False,2,0,1,0,0,1,0,0,3,0,0,3,0,38968,479,102,56,False
108108009,BR1_3009124579,1716440,1373152,28,True,2,0,0,1,0,1,0,0,6,1,0,8,1,49866,477,169,60,True,21,False,1,0,0,0,0,0,1,0,0,0,0,1,0,43047,534,118,61,False
108108010,BR1_3009024513,921360,737088,29,False,0,0,0,0,0,0,0,0,0,0,0,0,0,45610,121,0,67,False,41,True,0,0,0,0,0,0,0,0,0,0,0,2,1,51548,145,0,72,True
108108011,BR1_3009020031,814842,651873,33,True,0,0,0,0,0,0,0,0,0,0,0,3,1,43124,111,0,62,True,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,40235,123,0,60,False
108108012,BR1_3009011524,104896,83916,2,True,0,0,0,0,0,0,0,0,0,0,0,0,0,9546,12,0,20,True,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,8666,8,0,20,False
108108013,BR1_3008970612,1319869,1055895,5,True,2,0,1,0,0,0,1,0,0,0,0,0,0,27942,454,101,52,False,13,False,0,0,0,0,0,0,0,0,5,0,0,2,0,33870,466,142,55,True
