,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
103000,BR1_3005180065,1779246,1620000,24,True,3,1,1,0,0,1,0,0,3,1,1,5,0,54168,656,183,70,True,23,False,0,0,0,0,0,0,0,0,3,0,0,2,0,50147,619,150,66,False
103001,BR1_3005126387,1801658,1620000,33,False,3,1,0,0,0,1,1,0,2,1,0,7,0,58725,700,175,71,True,22,True,0,0,0,0,0,0,0,0,4,0,1,5,0,56987,620,149,71,False
103002,BR1_3005111838,1669400,1620000,41,True,2,1,0,0,1,0,0,0,3,0,0,4,0,57692,596,230,75,True,27,False,1,0,0,1,0,0,0,0,3,1,1,5,0,52341,549,124,65,False
103003,BR1_3010498404,1778308,1620000,76,True,0,0,0,0,0,0,0,0,0,0,0,4,2,95732,341,0,90,False,76,False,0,0,0,0,0,0,0,0,0,0,0,2,1,96813,388,0,90,True
103004,BR1_3010377868,1719394,1620000,20,True,2,0,0,1,0,1,0,0,0,0,1,7,0,54785,739,173,73,True,17,False,2,1,0,0,0,1,0,0,6,1,0,1,0,47507,698,149,69,False
103005,BR1_3010305250,1841746,1620000,19,False,1,0,0,0,0,1,0,0,3,0,1,2,0,50867,657,173,69,False,28,True,2,0,0,1,0,0,1,0,3,1,0,4,0,53033,655,165,70,True
103006,BR1_3010024956,1854176,1620000,21,True,1,0,0,0,0,0,1,0,0,0,0,3,0,52082,626,129,68,False,30,False,3,0,0,0,1,1,1,0,6,1,1,8,2,57199,614,158,70,True
103007,BR1_3010017463,2278131,1620000,30,True,1,0,1,0,0,0,0,0,6,1,1,4,0,55322,690,112,71,True,20,False,3,0,1,1,0,0,1,0,0,0,0,4,0,51699,661,187,70,False
103008,BR1_3010002903,1676044,1620000,37,False,3,0,1,1,0,1,0,0,4,1,1,9,3,59667,654,170,73,True,22,True,0,0,0,0,0,0,0,0,2,0,0,1,0,47791,550,113,66,False
103009,BR1_3009828938,1716519,1620000,14,False,0,0,0,0,0,0,0,0,5,0,0,3,0,48114,687,164,66,False,26,True,3,1,1,0,1,0,0,0,1,1,1,5,0,56044,633,205,72,True
103010,BR1_3009807351,1954677,1620000,30,False,1,0,0,0,0,1,0,0,0,0,0,5,0,57060,665,207,72,False,23,True,2,0,1,1,0,0,0,0,6,0,0,2,0,50154,673,124,66,True
103011,BR1_3009712175,2739355,1620000,24,True,2,1,0,1,0,0,0,0,5,0,0,3,0,50477,629,186,68,True,23,False,2,0,0,1,0,0,1,0,1,1,1,4,0,53789,633,173,71,False
103012,BR1_3009486710,1898486,1620000,31,True,3,0,0,1,1,0,1,0,0,1,1,4,0,54590,572,181,70,True,25,False,0,0,0,0,0,0,0,0,3,0,0,3,0,50097,609,171,65,False
103013,BR1_3009390779,2166600,1620000,27,False,0,0,0,0,0,0,0,0,6,1,1,8,1,57978,664,174,73,False,24,True,3,0,1,0,1,0,1,0,0,0,0,3,0,51994,729,169,70,True
103014,BR1_3009367333,1985834,1620000,29,True,1,0,1,0,0,0,0,0,3,0,0,2,0,52826,586,145,69,True,33,False,3,0,0,2,1,0,0,0,3,1,1,10,1,58914,664,173,75,False
103015,BR1_3008302577,2314865,1620000,22,True,2,1,0,0,0,0,1,0,5,1,1,6,0,52820,650,193,71,True,25,False,1,0,1,0,0,0,0,0,1,0,0,2,0,49384,596,149,68,False
103016,BR1_3008286151,2769807,1620000,36,True,1,0,0,1,0,0,0,0,6,1,0,5,0,60275,585,165,71,False,44,False,2,0,0,0,1,1,0,0,0,0,1,5,0,64421,652,155,74,True
103017,BR1_3007934768,2406126,1620000,30,True,1,0,0,0,1,0,0,0,4,1,0,4,0,55068,612,164,69,True,37,False,2,1,0,0,0,1,0,0,2,0,1,9,2,64368,648,177,76,False
103018,BR1_3007913276,1811167,1620000,29,True,2,0,0,0,1,0,1,0,1,0,1,5,0,54456,621,188,73,True,22,False,1,1,0,0,0,0,0,0,5,1,0,5,0,50251,643,123,66,False
103019,BR1_3007876525,1927548,1620000,33,True,0,0,0,0,0,0,0,0,3,1,0,3,0,54277,649,144,70,False,39,False,2,1,1,0,0,0,0,0,3,0,1,4,0,59515,601,206,75,True
103020,BR1_3007850745,1913597,1620000,16,True,1,1,0,0,0,0,0,0,0,1,0,4,0,48985,705,148,67,False,18,False,3,1,1,0,0,0,1,0,6,0,0,2,0,49206,732,168,68,True
103021,BR1_3007831171,1889643,1620000,20,False,0,0,0,0,0,0,0,0,6,1,1,9,2,54598,692,140,70,True,18,True,3,1,1,0,1,0,0,0,0,0,0,3,0,49510,718,162,67,False
103022,BR1_3007764243,1884202,1620000,17,True,2,1,0,1,0,0,0,0,3,0,0,1,0,47237,696,170,68,True,7,False,1,0,0,0,0,0,1,0,3,1,0,5,0,46412,744,144,65,False
103023,BR1_3007573296,1971586,1620000,18,True,3,0,1,0,1,1,0,0,3,1,0,4,0,48542,627,171,67,False,24,False,1,0,1,0,0,0,0,0,3,0,1,5,0,53613,650,183,70,True
103024,BR1_3007559088,1822568,1620000,34,False,2,0,2,0,0,0,0,0,5,1,0,9,2,60353,630,226,75,True,29,True,2,0,0,1,0,1,0,0,1,0,1,3,0,55363,689,136,73,False
103025,BR1_3007503938,1719954,1620000,33,True,2,1,0,0,0,1,0,0,3,1,0,7,0,57431,580,179,70,False,36,False,2,1,1,0,0,0,0,0,3,0,1,5,1,58129,627,170,73,True
103026,BR1_3007466502,2197580,1620000,26,True,0,0,0,0,0,0,0,0,2,1,0,3,0,50798,589,132,67,True,31,False,3,0,1,1,1,0,0,0,4,0,1,6,1,55534,544,192,71,False
103027,BR1_3007447036,1682291,1620000,53,True,3,0,0,1,0,1,1,0,3,1,1,6,2,58280,535,147,74,True,22,False,1,0,0,1,0,0,0,0,3,0,0,3,0,50829,590,132,67,False
103028,BR1_3007418623,1991109,1620000,24,True,2,0,1,0,0,0,1,0,3,0,0,4,0,50698,597,142,65,False,29,False,1,0,0,0,1,0,0,0,0,1,0,2,0,49909,602,162,67,True
103029,BR1_3007396845,1776685,1620000,35,True,3,0,0,2,1,0,0,0,3,1,1,8,1,58830,552,177,73,True,31,False,1,0,1,0,0,0,0,0,3,0,0,3,0,53702,632,157,70,False
103030,BR1_3007382281,1740180,1620000,23,False,3,1,2,0,0,0,0,0,3,0,0,4,0,49998,556,189,66,False,29,True,1,0,0,1,0,0,0,0,3,1,1,6,1,54840,634,133,71,True
103031,BR1_3007349487,2779005,1620000,34,False,1,1,0,0,0,0,0,0,3,0,1,8,2,57008,591,167,74,False,25,True,3,1,0,1,0,1,0,0,3,0,0,2,0,51814,628,133,70,True
103032,BR1_3007112468,1894490,1620000,24,False,1,0,0,0,0,0,1,0,3,1,0,5,0,53056,606,180,70,False,20,True,3,0,0,1,0,1,1,0,3,0,1,6,0,55789,726,189,71,True
103033,BR1_3007115042,1622272,1620000,46,True,3,0,1,1,0,0,1,0,6,1,1,10,2,64112,634,181,76,True,20,False,0,0,0,0,0,0,0,0,0,0,0,3,0,49506,605,136,66,False
103034,BR1_3007103479,1778445,1620000,32,True,2,0,1,0,0,1,0,0,2,1,1,7,1,59626,635,150,71,True,30,False,1,0,0,1,0,0,0,0,4,0,0,3,0,52217,596,132,69,False
103035,BR1_3007100593,1776150,1620000,36,True,2,0,1,0,1,0,0,0,2,0,0,6,1,58623,677,210,77,True,27,False,0,0,0,0,0,0,0,0,4,1,1,4,0,54301,666,138,73,False
103036,BR1_3007091929,1872015,1620000,15,True,1,0,0,1,0,0,0,0,6,0,0,4,0,48319,653,197,66,False,26,False,2,0,1,0,0,0,1,0,0,0,0,5,0,50027,596,137,67,True
103037,BR1_3006613746,1896786,1620000,32,True,1,0,0,0,0,1,0,0,6,0,0,5,0,57178,594,159,70,True,27,False,3,0,0,0,1,1,1,0,0,1,1,6,0,56826,614,187,71,False
103038,BR1_3006587520,1629444,1620000,17,True,1,0,0,0,0,1,0,0,6,1,0,3,0,48016,635,112,68,False,33,False,3,0,0,2,1,0,0,0,0,0,1,11,4,61155,685,205,76,True
103039,BR1_3006422095,1827681,1620000,28,True,1,1,0,0,0,0,0,0,3,0,0,4,0,53464,558,202,66,False,43,False,2,0,0,1,0,0,1,0,3,1,1,4,0,58748,563,148,73,True
103040,BR1_3006405117,1640847,1620000,18,False,1,0,0,0,0,1,0,0,3,1,0,3,0,48229,621,174,66,False,29,True,3,0,0,0,1,1,1,0,3,0,1,8,1,59366,683,209,74,True
103041,BR1_3006194827,2168631,1620000,27,True,2,0,0,1,1,0,0,0,4,1,0,6,0,54210,673,192,70,True,21,False,1,1,0,0,0,0,0,0,2,0,0,3,0,49438,646,151,69,False
103042,BR1_3010480962,1787023,1620000,30,False,0,0,0,0,0,0,0,0,4,0,0,1,0,52240,593,145,67,False,36,True,3,0,1,1,0,0,1,0,2,1,1,5,0,59873,691,160,73,True
103043,BR1_3010476105,2000637,1620000,31,False,2,0,2,0,0,0,0,0,6,1,0,4,0,52620,548,167,66,True,24,True,2,0,0,0,0,1,1,0,0,0,0,2,0,50921,649,138,65,False
103044,BR1_3010460305,2017657,1620000,26,False,2,0,0,0,0,0,2,0,6,1,1,9,2,56663,613,167,69,False,26,True,2,0,1,0,0,1,0,0,0,0,0,5,0,57302,690,137,69,True
