,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
205000,EUN1_3678410564,1537679,922607,17,True,1,0,0,0,1,0,0,0,2,1,0,1,0,32845,371,89,49,True,11,False,1,0,1,0,0,0,0,0,4,0,0,1,0,28183,370,94,47,False
205001,EUN1_3678394655,1370874,822524,6,False,1,0,0,0,1,0,0,0,0,0,0,0,0,22715,302,77,45,False,12,True,0,0,0,0,0,0,0,0,6,0,0,2,0,30258,384,94,49,True
205002,EUN1_3678063979,1450070,870042,13,True,1,0,0,1,0,0,0,0,5,0,0,1,0,28005,364,106,48,True,4,False,1,0,0,0,0,1,0,0,1,0,0,0,0,24033,357,94,44,False
205003,EUN1_3678023510,2064471,1238682,14,True,1,0,0,1,0,0,0,0,3,0,0,3,0,39729,539,156,60,True,10,False,2,1,1,0,0,0,0,0,3,1,0,1,0,34763,532,114,57,False
205004,EUN1_3677771347,1680236,1008141,11,False,1,0,0,0,1,0,0,0,3,0,0,1,0,29672,380,90,49,False,23,True,1,0,0,0,0,1,0,0,3,0,0,1,0,34427,390,102,53,True
205005,EUN1_3677495966,1685315,1011189,20,False,0,0,0,0,0,0,0,0,2,1,0,0,0,33534,376,111,49,False,24,True,2,1,0,0,1,0,0,0,4,0,0,2,0,36066,391,98,49,True
205006,EUN1_3676361788,1435013,861007,13,False,0,0,0,0,0,0,0,0,2,0,0,0,0,26471,352,88,46,False,19,True,2,0,1,0,1,0,0,0,4,0,0,0,0,30298,368,91,48,True
205007,EUN1_3676341378,2503794,1502276,35,False,1,1,0,0,0,0,0,0,4,0,1,8,1,60218,616,167,72,False,41,True,3,1,1,0,0,1,0,0,2,1,0,4,0,59553,549,175,71,True
205008,EUN1_3676325343,1543848,926308,18,True,0,0,0,0,0,0,0,0,4,1,0,1,0,31741,351,115,48,True,18,False,2,1,0,1,0,0,0,0,2,0,0,3,0,31739,308,92,47,False
205009,EUN1_3676314332,1759933,1055959,19,False,2,1,0,0,1,0,0,0,6,1,0,2,0,36523,450,151,55,False,19,True,0,0,0,0,0,0,0,0,0,0,0,1,0,35328,413,104,54,True
205010,EUN1_3676283674,1396812,838087,9,False,1,0,0,0,1,0,0,0,6,0,0,0,0,25008,349,101,45,True,16,True,1,0,1,0,0,0,0,0,0,0,0,0,0,26121,342,82,45,False
205011,EUN1_3676044412,1033448,620068,9,True,1,0,0,0,1,0,0,0,3,0,0,0,0,22015,283,74,40,True,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,16660,237,60,37,False
205012,EUN1_3676020529,2312744,1387646,21,True,1,1,0,0,0,0,0,0,6,1,1,5,0,50835,598,183,68,True,28,False,2,0,0,0,1,0,1,0,0,0,0,1,0,47290,513,120,66,False
205013,EUN1_3676007150,1855062,1113037,29,False,1,0,0,0,0,1,0,0,6,1,0,4,1,43043,407,142,57,True,26,True,1,0,0,0,1,0,0,0,0,0,0,1,0,38782,416,113,55,False
205014,EUN1_3675986441,1299269,779561,17,False,0,0,0,0,0,0,0,0,6,0,0,0,0,26114,262,85,42,True,21,True,1,0,0,1,0,0,0,0,0,0,0,0,0,27199,240,74,41,False
205015,EUN1_3675961040,1468972,881383,17,False,1,1,0,0,0,0,0,0,4,1,0,1,0,29475,303,93,45,True,14,True,0,0,0,0,0,0,0,0,2,0,0,0,0,27800,327,74,46,False
205016,EUN1_3675952855,1304589,782753,11,True,1,0,0,0,1,0,0,0,0,0,0,0,0,24456,324,76,43,False,16,False,0,0,0,0,0,0,0,0,6,0,0,0,0,28604,346,102,47,True
205017,EUN1_3675937619,1383521,830112,10,False,0,0,0,0,0,0,0,0,1,0,0,0,0,24340,328,86,45,False,13,True,1,0,0,0,1,0,0,0,5,0,0,0,0,25948,290,106,45,True
205018,EUN1_3675917790,1728437,1037062,18,True,1,0,0,0,0,1,0,0,3,0,0,1,0,34221,425,97,52,False,21,False,1,0,0,1,0,0,0,0,3,1,0,2,0,41212,457,146,57,True
205019,EUN1_3675911515,1434904,860942,8,True,0,0,0,0,0,0,0,0,4,0,0,0,0,27096,350,92,45,False,15,False,2,0,0,0,0,1,1,0,2,1,0,0,0,28950,342,92,47,True
205020,EUN1_3675894646,1660137,996082,15,False,0,0,0,0,0,0,0,0,5,1,0,1,0,31432,430,104,53,False,9,True,2,1,0,0,1,0,0,0,1,0,0,2,0,30327,420,110,49,True
205021,EUN1_3675874728,1578332,946999,16,True,0,0,0,0,0,0,0,0,3,1,0,0,0,30979,336,105,49,True,21,False,2,0,1,0,1,0,0,0,3,0,0,3,0,33607,343,86,48,False
205022,EUN1_3675862783,1338542,803125,13,True,0,0,0,0,0,0,0,0,5,0,0,0,0,27404,321,98,47,True,6,False,2,0,0,0,1,0,1,0,1,0,0,0,0,22362,321,114,45,False
205023,EUN1_3675829173,1873207,1123924,14,True,0,0,0,0,0,0,0,0,3,0,0,1,0,35045,413,112,53,False,18,False,1,0,0,0,0,1,0,0,3,1,0,3,0,37682,478,144,58,True
205024,EUN1_3675807056,2189721,1313832,19,False,1,0,0,0,1,0,0,0,2,0,0,2,0,41833,515,125,59,False,28,True,1,0,0,0,0,0,1,0,4,0,0,1,0,43637,462,117,60,True
205025,EUN1_3675804055,1743704,1046222,19,True,1,0,0,0,0,1,0,0,5,1,0,1,0,32409,391,110,52,False,8,False,1,1,0,0,0,0,0,0,1,0,0,1,0,30575,439,118,51,True
205026,EUN1_3675597724,1748080,1048848,16,True,0,0,0,0,0,0,0,0,4,0,0,2,0,34319,334,112,51,False,27,False,2,1,0,1,0,0,0,0,0,0,0,1,0,37105,396,132,54,True
205027,EUN1_3675581448,1802706,1081623,15,False,1,0,1,0,0,0,0,0,3,1,0,1,0,34409,453,92,56,True,14,True,1,1,0,0,0,0,0,0,3,0,0,1,0,35473,462,137,56,False
205028,EUN1_3674998583,1320547,792328,12,True,0,0,0,0,0,0,0,0,3,0,0,0,0,25880,298,55,44,True,6,False,1,1,0,0,0,0,0,0,0,0,0,0,0,22094,341,86,43,False
205029,EUN1_3674871233,1707709,1024625,16,False,0,0,0,0,0,0,0,0,1,0,0,2,0,32806,419,100,53,False,20,True,2,1,0,1,0,0,0,0,5,0,0,2,0,37668,430,110,56,True
205030,EUN1_3674376176,1775395,1065237,26,True,2,0,1,0,0,1,0,0,0,0,0,2,0,39343,406,78,55,True,20,False,0,0,0,0,0,0,0,0,6,0,0,1,0,35308,368,88,52,False
205031,EUN1_3674350462,1957847,1174708,11,False,1,1,0,0,0,0,0,0,5,0,0,3,0,37846,487,120,55,True,23,True,1,0,0,0,1,0,0,0,1,0,0,2,0,39790,488,131,59,False
205032,EUN1_3674318334,1301439,780863,22,False,1,0,1,0,0,0,0,0,6,0,0,0,0,31903,348,84,47,True,8,True,0,0,0,0,0,0,0,0,0,0,0,0,0,22752,276,68,42,False
205033,EUN1_3674291946,1534352,920611,8,True,0,0,0,0,0,0,0,0,4,0,0,0,0,26603,398,92,49,False,7,False,2,0,1,0,1,0,0,0,2,0,0,0,0,27642,395,118,50,True
205034,EUN1_3653400706,1447413,868447,15,True,1,0,0,0,0,1,0,0,1,0,0,0,0,27898,288,98,46,False,21,False,1,0,0,1,0,0,0,0,5,0,0,4,0,33863,374,90,46,True
205035,EUN1_3653353913,1541524,924914,14,True,1,0,0,0,1,0,0,0,3,0,0,1,0,32192,441,110,50,True,13,False,1,0,0,1,0,0,0,0,3,0,0,0,0,27376,361,88,48,False
205036,EUN1_3653349195,1540832,924499,14,True,0,0,0,0,0,0,0,0,1,0,0,0,0,27709,302,77,44,False,16,False,2,0,0,1,1,0,0,0,2,1,0,2,0,32875,405,96,48,True
205037,EUN1_3653324594,1721770,1033062,9,True,0,0,0,0,0,0,0,0,0,0,0,0,0,30014,435,104,52,False,19,False,2,1,0,1,0,0,0,0,6,1,0,4,0,39103,465,140,58,True
205038,EUN1_3653309811,997089,598253,16,True,0,0,0,0,0,0,0,0,3,0,0,0,0,21152,216,46,35,True,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,16101,193,68,33,False
205039,EUN1_3621628645,916691,550014,1,True,0,0,0,0,0,0,0,0,3,0,0,0,0,14295,190,70,33,False,7,False,1,0,0,0,0,0,1,0,0,0,0,0,0,18052,225,64,35,True
205040,EUN1_3621351025,1640535,984321,14,False,0,0,0,0,0,0,0,0,6,0,0,3,0,34528,419,101,52,True,11,True,1,0,0,0,0,0,1,0,0,0,0,0,0,28185,336,107,48,False
205041,EUN1_3621338997,1371916,823149,12,False,1,0,0,1,0,0,0,0,1,0,0,0,0,25261,351,86,46,False,16,True,0,0,0,0,0,0,0,0,5,0,0,0,0,27024,291,70,44,True
205042,EUN1_3621102926,1440829,864497,14,True,0,0,0,0,0,0,0,0,6,1,0,1,0,30213,360,108,50,True,8,False,1,1,0,0,0,0,0,0,0,0,0,0,0,26036,372,56,46,False
205043,EUN1_3621091353,1925855,1155513,22,False,0,0,0,0,0,0,0,0,0,0,0,2,0,39622,462,103,57,False,27,True,2,0,0,1,0,1,0,0,6,0,0,4,0,42576,434,124,58,True
205044,EUN1_3620817313,1361364,816818,14,True,1,0,0,0,1,0,0,0,1,0,0,0,0,25143,318,91,46,False,13,False,0,0,0,0,0,0,0,0,5,0,0,0,0,27041,357,118,48,True
205045,EUN1_3620808112,1416272,849763,23,True,1,0,0,0,1,0,0,0,6,0,0,2,0,35246,352,94,48,True,13,False,0,0,0,0,0,0,0,0,0,0,0,0,0,28402,341,81,45,False
205046,EUN1_3620746835,2594572,1556743,39,True,2,0,2,0,0,0,0,0,1,0,0,6,0,57835,657,168,72,False,28,False,2,1,0,0,1,0,0,0,2,1,1,2,0,51298,560,117,68,True
205047,EUN1_3620632450,1828554,1097132,18,True,1,0,1,0,0,0,0,0,3,1,0,3,0,37407,458,134,57,True,13,False,1,0,0,0,0,1,0,0,3,0,0,1,0,35128,478,114,54,False
205048,EUN1_3620606674,1632103,979261,21,False,1,0,0,0,0,1,0,0,3,1,0,0,0,34485,415,87,54,True,10,True,1,0,0,0,0,0,1,0,3,0,0,2,0,32701,463,104,53,False
205049,EUN1_3620593497,917022,550213,5,False,0,0,0,0,0,0,0,0,2,0,0,0,0,16934,225,55,35,False,6,True,1,0,0,0,0,0,1,0,1,0,0,0,0,18120,230,62,36,True
205050,EUN1_3620573336,1731788,1039072,6,True,0,0,0,0,0,0,0,0,4,0,0,1,0,32054,494,114,55,False,15,False,2,0,1,1,0,0,0,0,2,1,0,4,0,35395,443,124,54,True
205051,EUN1_3620550070,1340957,804574,11,False,0,0,0,0,0,0,0,0,4,0,0,0,0,26336,334,64,44,False,17,True,1,0,0,1,0,0,0,0,1,0,0,2,0,31550,359,74,45,True
205052,EUN1_3620533020,1607738,964642,17,False,0,0,0,0,0,0,0,0,2,0,0,0,0,32768,407,104,51,False,21,True,2,0,1,0,1,0,0,0,1,1,0,1,0,36689,471,114,54,True
205053,EUN1_3620516070,1592384,955430,9,False,0,0,0,0,0,0,0,0,4,1,0,3,0,29841,440,104,51,True,10,True,1,0,0,0,0,1,0,0,0,0,0,0,0,27555,380,100,50,False
205054,EUN1_3620507893,1014266,608559,9,True,0,0,0,0,0,0,0,0,3,0,0,0,0,19901,284,66,39,True,8,False,1,0,1,0,0,0,0,0,0,0,0,0,0,18403,261,60,37,False
205055,EUN1_3620499099,1934957,1160974,13,True,1,0,0,0,0,0,1,0,3,0,0,3,0,36602,492,117,58,False,19,False,1,1,0,0,0,0,0,0,3,1,0,4,0,41071,523,170,59,True
205056,EUN1_3677260176,1466503,879901,16,True,1,0,0,0,0,0,1,0,1,0,0,3,0,29911,356,74,45,True,10,False,0,0,0,0,0,0,0,0,3,0,0,0,0,26996,327,85,45,False
205057,EUN1_3673300677,1833279,1099967,8,False,1,0,1,0,0,0,0,0,3,0,0,0,0,30004,446,90,53,False,18,True,1,0,0,0,0,0,1,0,3,1,0,4,0,38837,471,157,58,True
205058,EUN1_3673299660,1715294,1029176,22,True,0,0,0,0,0,0,0,0,0,0,0,3,0,38470,425,93,55,True,16,False,1,0,0,1,0,0,0,0,0,0,0,2,0,34031,403,86,51,False
205059,EUN1_3673304089,1775034,1065020,12,False,2,1,1,0,0,0,0,0,0,0,0,2,0,32754,433,110,52,False,13,True,0,0,0,0,0,0,0,0,6,1,0,1,0,32544,410,122,52,True
205060,EUN1_3673294656,1183529,710117,12,True,0,0,0,0,0,0,0,0,3,0,0,1,0,24047,307,76,42,True,4,False,1,0,0,0,0,1,0,0,0,0,0,0,0,17711,202,77,37,False
205061,EUN1_3673292464,1431148,858688,6,True,0,0,0,0,0,0,0,0,3,0,0,0,0,25113,374,80,48,False,4,False,2,0,0,1,1,0,0,0,3,0,0,0,0,24520,388,90,46,True
205062,EUN1_3673286162,1593442,956065,19,False,0,0,0,0,0,0,0,0,3,0,0,3,0,33636,383,86,50,False,18,True,2,0,0,0,1,1,0,0,3,0,0,0,0,30158,336,90,47,True
205063,EUN1_3673268827,2020671,1212402,15,True,0,0,0,0,0,0,0,0,6,1,0,2,0,38007,526,150,60,True,16,False,3,0,1,1,1,0,0,0,0,0,0,1,0,37520,517,144,62,False
205064,EUN1_3673261290,2127642,1276585,13,True,2,0,0,1,1,0,0,0,3,1,0,2,0,39828,546,138,59,True,15,False,1,0,1,0,0,0,0,0,3,0,1,2,0,41818,568,158,64,False
205065,EUN1_3672065016,1766042,1059625,14,False,1,0,1,0,0,0,0,0,2,0,0,2,0,34416,417,112,52,False,18,True,1,0,0,0,1,0,0,0,4,0,0,2,0,34415,427,108,54,True
205066,EUN1_3672015639,1939438,1163662,14,True,1,0,0,0,0,1,0,0,6,1,0,2,0,36263,473,135,57,True,11,False,2,0,0,1,1,0,0,0,0,0,0,0,0,32580,484,104,55,False
205067,EUN1_3671731963,2199254,1319552,19,False,2,0,1,1,0,0,0,0,3,1,0,3,0,42034,578,123,64,False,11,True,1,1,0,0,0,0,0,0,3,0,0,2,0,40256,559,167,61,True
