,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
205000,EUN1_3679607704,2182997,1200000,26,True,1,0,0,0,0,1,0,0,3,0,0,2,0,36133,364,82,56,False,21,False,0,0,0,0,0,0,0,0,0,1,0,3,0,38291,371,116,56,True
205001,EUN1_3679612434,1687890,1200000,20,True,1,0,1,0,0,0,0,0,6,0,0,4,0,36498,344,118,53,True,17,False,1,1,0,0,0,0,0,0,0,0,0,0,0,30624,248,104,50,False
205002,EUN1_3679604770,1778497,1200000,17,True,2,0,0,0,1,1,0,0,1,0,0,1,0,33131,343,78,51,False,23,False,0,0,0,0,0,0,0,0,5,1,0,4,0,38330,421,102,54,True
205003,EUN1_3679598412,1847326,1200000,27,False,1,1,0,0,0,0,0,0,6,0,0,2,0,42466,398,112,57,False,37,True,1,0,0,0,1,0,0,0,0,1,0,3,0,43469,410,108,59,True
205004,EUN1_3679574902,1649566,1200000,22,False,0,0,0,0,0,0,0,0,6,0,0,2,0,35714,344,116,55,True,23,True,3,0,1,1,0,0,1,0,0,1,0,4,0,35914,332,79,54,False
205005,EUN1_3679563491,2138276,1200000,17,True,0,0,0,0,0,0,0,0,6,0,0,3,0,33221,331,86,54,False,19,False,2,0,0,0,1,0,1,0,0,1,0,1,0,33849,381,109,56,True
205006,EUN1_3679545653,2034852,1200000,19,True,1,0,1,0,0,0,0,0,0,0,0,2,0,34245,406,99,58,True,11,False,1,0,0,0,0,0,1,0,5,0,0,1,0,30623,398,78,53,False
205007,EUN1_3679500535,2171517,1200000,20,True,1,0,0,0,0,1,0,0,0,0,0,1,0,34584,379,104,55,False,15,False,1,0,1,0,0,0,0,0,3,0,0,3,0,36098,416,130,56,True
205008,EUN1_3679461852,2618269,1200000,15,False,1,1,0,0,0,0,0,0,3,0,0,2,0,36006,410,130,56,True,24,True,0,0,0,0,0,0,0,0,0,0,0,1,0,36217,464,76,57,False
205009,EUN1_3679432649,1972787,1200000,12,False,1,0,0,1,0,0,0,0,6,0,0,2,0,33914,448,109,55,True,10,True,0,0,0,0,0,0,0,0,0,0,0,1,0,31717,452,84,54,False
205010,EUN1_3679399392,1975805,1200000,24,True,1,0,0,0,0,1,0,0,6,1,0,3,0,37766,362,120,58,True,11,False,2,1,0,0,0,0,1,0,0,0,0,1,0,31231,360,108,53,False
205011,EUN1_3679332090,2729239,1200000,11,True,1,0,1,0,0,0,0,0,5,1,0,1,0,32272,408,114,54,False,12,False,1,0,0,0,0,0,1,0,1,0,0,1,0,32761,394,122,55,True
205012,EUN1_3678655196,2321878,1200000,21,True,0,0,0,0,0,0,0,0,3,0,0,4,0,59314,408,84,67,False,43,False,1,0,1,0,0,0,0,0,0,0,0,3,0,65347,412,72,70,True
205013,EUN1_3678645469,2023678,1200000,19,False,1,0,1,0,0,0,0,0,2,0,0,0,0,34858,409,96,56,True,29,True,1,0,0,1,0,0,0,0,4,1,0,3,0,39429,358,120,57,False
205014,EUN1_3678583934,2005600,1200000,18,True,2,0,0,0,1,1,0,0,0,1,0,1,0,33922,425,100,56,True,16,False,0,0,0,0,0,0,0,0,3,0,0,1,0,34468,443,82,56,False
205015,EUN1_3678406767,2407466,1200000,14,False,1,0,0,1,0,0,0,0,3,0,0,3,0,35206,432,74,53,False,26,True,0,0,0,0,0,0,0,0,3,1,0,1,0,37797,408,117,58,True
205016,EUN1_3678316324,2831709,1200000,20,True,1,0,0,0,0,1,0,0,1,0,0,0,0,34180,388,90,54,True,19,False,0,0,0,0,0,0,0,0,2,1,0,3,0,37625,444,83,55,False
205017,EUN1_3678256562,1920078,1200000,19,False,2,1,0,0,1,0,0,0,3,1,0,5,0,36771,398,85,53,True,20,True,0,0,0,0,0,0,0,0,0,0,0,1,0,33015,265,104,48,False
205018,EUN1_3678242889,2220882,1200000,23,True,1,0,0,0,1,0,0,0,0,1,0,1,0,35071,326,83,54,True,14,False,0,0,0,0,0,0,0,0,3,0,0,3,0,33212,374,74,52,False
205019,EUN1_3678242079,3323117,1200000,22,True,1,0,0,0,0,1,0,0,0,0,0,2,0,34765,336,76,55,True,19,False,1,0,0,0,1,0,0,0,1,0,0,2,0,35136,350,102,54,False
205020,EUN1_3678212520,2714199,1200000,25,True,0,0,0,0,0,0,0,0,5,1,0,3,0,39692,402,102,58,True,17,False,2,0,1,1,0,0,0,0,0,0,0,1,0,34346,428,80,55,False
