,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
309000,EUW1_7147685814,699522,699522,32,False,0,0,0,0,0,0,0,0,0,0,0,0,1,42861,114,0,62,False,55,True,0,0,0,0,0,0,0,0,0,0,0,4,0,51240,142,0,69,True
309001,EUW1_7147678570,641356,641356,41,True,0,0,0,0,0,0,0,0,0,0,0,2,1,45638,127,0,63,True,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,40032,104,0,57,False
309002,EUW1_7147621653,1447730,1447730,35,False,2,0,1,0,0,1,0,0,6,1,1,4,0,52634,595,172,71,True,15,True,1,0,0,0,1,0,0,0,0,0,0,3,0,42820,546,116,61,False
309003,EUW1_7147516837,1640063,1640063,36,True,1,0,0,0,1,0,0,0,6,1,1,9,2,60304,631,167,73,True,28,False,2,0,1,0,0,0,1,0,0,0,0,3,0,49030,568,143,67,False
309004,EUW1_7147465032,1413269,1413269,22,True,0,0,0,0,0,0,0,0,4,0,0,1,1,43975,540,128,62,False,32,False,2,0,1,1,0,0,0,0,2,1,1,8,0,52825,560,163,68,True
309005,EUW1_7147418038,1694392,1694392,39,True,3,0,0,2,0,1,0,0,0,1,1,9,2,64689,684,209,78,True,28,False,1,1,0,0,0,0,0,0,3,0,0,5,0,55856,630,143,70,False
309006,EUW1_7147385542,931744,931744,10,False,0,0,0,0,0,0,0,0,4,0,0,0,0,26937,340,108,47,False,20,True,1,0,0,1,0,0,0,0,2,0,0,3,0,32863,399,87,51,True
309007,EUW1_7147335582,1583632,1583632,32,True,2,1,0,0,0,0,1,0,3,0,1,10,2,58565,653,166,74,True,21,False,1,0,0,1,0,0,0,0,3,1,0,3,0,47871,637,160,66,False
309008,EUW1_7147267140,919330,919330,11,True,1,0,0,0,0,0,1,0,6,0,0,5,0,31920,439,110,50,True,0,False,1,0,1,0,0,0,0,0,0,0,0,0,0,21241,367,95,45,False
309009,EUW1_7143633100,1376727,1376727,19,False,0,0,0,0,0,0,0,0,2,0,0,2,3,43288,548,108,60,False,29,True,2,0,0,0,1,1,0,0,4,1,1,11,0,54970,586,165,69,True
309010,EUW1_7143624169,1241129,1241129,15,False,0,0,0,0,0,0,0,0,5,0,0,1,2,35535,451,74,54,False,36,True,1,0,0,0,0,0,1,0,0,1,0,10,0,49909,482,127,60,True
309011,EUW1_7143602354,1630163,1630163,25,False,2,1,0,0,0,0,1,0,4,0,0,1,1,47636,493,145,65,False,37,True,1,0,0,1,0,0,0,0,2,1,1,10,0,62419,642,133,72,True
309012,EUW1_7143586076,1502709,1502709,43,True,1,0,0,0,1,0,0,0,6,1,1,11,4,62768,523,144,69,True,29,False,2,1,1,0,0,0,0,0,0,0,0,0,0,48835,569,97,66,False
309013,EUW1_7143474679,2164494,2164494,38,True,2,1,0,0,0,1,0,0,5,0,2,11,3,74130,785,220,83,True,32,False,2,1,1,0,0,0,0,0,1,1,0,4,0,66347,830,158,80,False
309014,EUW1_7143407933,751560,751560,52,True,0,0,0,0,0,0,0,0,0,0,0,2,1,51449,132,0,70,True,33,False,0,0,0,0,0,0,0,0,0,0,0,0,0,45805,142,0,66,False
309015,EUW1_7143358696,1295318,1295318,25,True,2,0,0,0,1,0,1,0,5,1,0,8,2,49474,590,131,64,True,16,False,0,0,0,0,0,0,0,0,1,0,0,1,0,38455,568,103,59,False
309016,EUW1_7143300653,1871783,1871783,24,True,1,0,0,0,1,0,0,0,3,1,0,3,1,54102,649,189,72,False,32,False,3,0,1,0,1,1,0,0,3,0,1,9,0,65574,720,205,79,True
309017,EUW1_7143236874,1663947,1663947,34,True,3,0,1,0,1,1,0,0,4,1,2,11,5,61066,625,165,74,True,23,False,1,0,0,0,0,1,0,0,2,0,0,1,0,51490,676,123,72,False
309018,EUW1_7142307642,1615151,1615151,36,False,4,0,1,2,0,0,1,0,4,1,1,11,1,58825,568,203,73,True,11,True,0,0,0,0,0,0,0,0,2,0,0,2,0,43437,619,108,62,False
309019,EUW1_7142266349,912980,912980,23,True,1,0,0,0,0,1,0,0,6,0,0,6,0,35456,412,108,50,True,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,22447,357,76,43,False
309020,EUW1_7141222063,1748991,1748991,29,True,0,0,0,0,0,0,0,0,6,0,0,2,1,52451,595,135,69,False,39,False,4,0,2,1,0,0,1,0,0,1,1,9,0,64034,656,180,77,True
309021,EUW1_7141183905,2277368,2277368,49,True,3,2,0,0,0,0,1,0,3,1,0,8,5,75544,762,163,84,False,44,False,2,1,0,0,1,0,0,0,3,0,2,9,0,82849,750,250,88,True
309022,EUW1_7141156837,1010819,1010819,20,True,0,0,0,0,0,0,0,0,6,1,0,4,0,36487,405,84,52,True,13,False,0,0,0,0,0,0,0,0,0,0,0,0,0,28699,327,104,47,False
309023,EUW1_7140166389,1380746,1380746,35,True,3,1,0,1,0,0,1,0,4,1,1,11,3,54062,545,128,65,True,13,False,0,0,0,0,0,0,0,0,2,0,0,0,0,39938,514,118,58,False
309024,EUW1_7139704364,1505215,1505215,19,True,0,0,0,0,0,0,0,0,2,0,0,1,2,44259,602,96,61,False,41,False,3,1,1,1,0,0,0,0,4,1,1,10,0,60218,582,152,72,True
309025,EUW1_7138568777,2527438,2527438,45,True,4,1,0,2,0,1,0,0,3,0,1,7,5,84652,932,215,88,True,35,False,2,0,0,1,0,0,0,1,3,1,1,8,0,83570,924,257,87,False
309026,EUW1_7138526977,1794634,1794634,25,False,0,0,0,0,0,0,0,0,6,0,0,4,1,56753,725,171,71,False,29,True,5,0,0,2,1,1,0,1,0,1,0,8,0,62520,772,177,78,True
309027,EUW1_7138482139,1930134,1930134,35,True,3,0,1,0,1,0,1,0,3,0,0,3,1,61233,673,180,76,False,48,False,2,0,0,0,2,0,0,0,3,0,2,9,0,72916,690,202,84,True
309028,EUW1_7138449902,2247659,2247659,27,False,1,1,0,0,0,0,0,0,2,0,0,3,4,67622,985,178,84,False,29,True,4,2,1,0,1,0,0,0,4,1,2,11,0,76654,887,257,86,True
309029,EUW1_7138422931,1312677,1312677,15,True,2,0,1,1,0,0,0,0,1,0,0,0,3,37750,472,91,56,False,33,False,0,0,0,0,0,0,0,0,5,1,1,11,0,52811,558,104,64,True
309030,EUW1_7138126316,1572076,1572076,41,False,1,0,0,0,1,0,0,0,1,0,1,8,2,59144,619,134,73,True,30,True,0,0,0,0,0,0,0,0,0,0,0,3,0,52659,571,131,68,False
309031,EUW1_7138107261,1860324,1860324,19,True,0,0,0,0,0,0,0,0,0,0,0,4,2,53317,690,128,68,False,33,False,4,0,0,1,1,0,2,0,3,0,1,9,0,62941,677,204,78,True
309032,EUW1_7138065368,109310,109310,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,2624,5,2,5,True,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,2523,1,0,5,False
309033,EUW1_7138044570,1266181,1266181,35,True,3,1,1,0,0,0,1,0,6,1,0,8,1,50180,487,126,62,True,14,False,0,0,0,0,0,0,0,0,0,0,0,1,0,34189,397,97,54,False
309034,EUW1_7137997844,2019118,2019118,31,True,2,0,0,0,1,0,1,0,6,1,1,7,1,63978,678,154,76,False,42,False,2,1,0,0,1,0,0,0,0,0,1,8,0,70983,627,187,83,True
309035,EUW1_7137951690,1813792,1813792,40,True,1,0,1,0,0,0,0,0,6,1,1,9,3,66634,693,181,77,True,18,False,3,0,1,1,0,0,1,0,0,0,0,3,0,53960,747,153,73,False
