,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
314000,EUW1_7142427274,1880831,1620000,19,False,0,0,0,0,0,0,0,0,2,1,0,3,0,47116,558,137,64,False,29,True,3,0,0,1,1,1,0,0,4,0,1,4,0,53255,608,180,71,True
314001,EUW1_7141266919,1948788,1620000,22,False,0,0,0,0,0,0,0,0,1,1,0,6,0,54316,704,187,70,False,25,True,3,1,1,0,0,0,1,0,5,0,1,3,0,53286,659,155,70,True
314002,EUW1_7139047005,1923757,1620000,45,True,4,2,1,0,1,0,0,0,3,1,1,5,1,60497,515,186,74,True,31,False,0,0,0,0,0,0,0,0,3,0,0,3,0,57763,594,159,67,False
314003,EUW1_7138938432,1720611,1620000,38,True,1,0,1,0,0,0,0,0,6,0,1,4,0,57193,611,167,72,False,34,False,2,1,0,0,1,0,0,0,0,0,0,8,1,58923,685,155,74,True
314004,EUW1_7138882400,1656043,1620000,23,False,1,0,1,0,0,0,0,0,1,1,1,7,1,55260,712,129,71,True,11,True,2,0,0,1,0,1,0,0,5,0,0,3,0,45219,647,173,65,False
314005,EUW1_7135861362,1652170,1620000,35,False,1,0,0,0,0,0,1,0,6,1,0,8,2,59207,588,191,70,True,32,True,3,0,0,1,0,1,1,0,0,0,1,4,0,57328,582,126,68,False
314006,EUW1_7134761005,1883915,1620000,29,False,3,0,0,0,1,1,1,0,3,1,1,7,0,59541,685,187,71,True,35,True,1,0,0,0,1,0,0,0,3,0,0,4,0,57966,662,143,74,False
314007,EUW1_7134723010,1840676,1620000,23,False,0,0,0,0,0,0,0,0,3,1,0,2,0,49410,596,119,67,False,37,True,3,0,0,1,1,0,1,0,3,0,1,5,1,59932,609,191,71,True
314008,EUW1_7134007527,1993865,1620000,34,False,2,0,0,0,1,1,0,0,3,1,1,9,2,60324,638,154,72,True,25,True,1,0,1,0,0,0,0,0,1,0,0,3,0,54077,649,163,70,False
314009,EUW1_7133909215,1744991,1620000,19,True,1,1,0,0,0,0,0,0,6,1,0,5,0,50750,684,168,67,False,26,False,3,1,0,1,0,1,0,0,0,0,0,7,2,56063,704,179,71,True
314010,EUW1_7133877915,1625844,1620000,18,False,0,0,0,0,0,0,0,0,6,1,0,5,1,51513,660,183,66,False,33,True,3,0,0,1,1,1,0,0,0,0,1,8,1,57879,613,171,74,True
314011,EUW1_7151921934,1915246,1620000,43,False,1,0,0,0,1,0,0,0,0,0,1,5,0,59949,598,146,73,True,27,True,3,0,1,0,1,0,1,0,3,1,0,4,0,50817,535,129,66,False
314012,EUW1_7151862159,1779240,1620000,23,False,0,0,0,0,0,0,0,0,2,0,0,2,0,50380,629,145,66,False,33,True,4,1,0,2,0,0,1,0,4,1,1,7,0,60722,669,205,74,True
314013,EUW1_7151521779,1882238,1620000,29,True,3,1,0,0,1,1,0,0,0,1,1,5,0,55644,705,154,72,True,10,False,0,0,0,0,0,0,0,0,3,0,0,4,0,48623,710,165,66,False
314014,EUW1_7150640954,2275850,1620000,35,True,3,0,0,1,0,1,1,0,5,1,0,4,0,55327,576,168,69,True,25,False,0,0,0,0,0,0,0,0,1,0,0,2,0,48566,608,131,67,False
314015,EUW1_7150591290,1709632,1620000,41,True,2,0,1,0,0,1,0,0,0,1,1,6,1,58623,598,180,73,True,29,False,1,1,0,0,0,0,0,0,4,0,0,3,0,55560,653,142,71,False
