,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
401000,JP1_474615723,1586420,634568,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,19395,254,54,39,False,10,True,1,0,1,0,0,0,0,0,3,0,0,0,0,20972,273,72,40,True
401001,JP1_474599781,1687362,674944,4,False,0,0,0,0,0,0,0,0,2,0,0,0,0,20125,293,81,41,False,4,True,1,0,0,0,1,0,0,0,3,0,0,0,0,20306,279,85,40,True
401002,JP1_474501075,2263817,905526,11,False,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,362,83,48,False,14,True,1,0,1,0,0,0,0,0,6,0,0,1,0,30719,383,104,49,True
401003,JP1_474482566,2051042,820416,14,True,1,0,0,1,0,0,0,0,6,0,0,0,0,26717,335,112,47,False,10,False,0,0,0,0,0,0,0,0,0,0,0,0,0,25493,306,100,45,True
401004,JP1_474453812,926605,370642,4,True,0,0,0,0,0,0,0,0,0,0,0,0,0,12403,153,40,27,True,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,9780,123,32,25,False
401005,JP1_474407403,1866320,746528,10,False,2,0,0,1,1,0,0,0,1,0,0,0,0,22524,325,83,43,True,6,True,0,0,0,0,0,0,0,0,2,0,0,0,0,20161,274,78,42,False
401006,JP1_474329291,1562740,625096,3,False,1,0,0,0,0,1,0,0,0,0,0,0,0,15902,211,72,35,False,10,True,0,0,0,0,0,0,0,0,3,0,0,0,0,20401,250,65,38,True
401007,JP1_474322922,1650101,660040,4,True,0,0,0,0,0,0,0,0,0,0,0,0,0,17075,259,76,38,False,7,False,1,0,1,0,0,0,0,0,3,0,0,0,0,19210,265,82,38,True
401008,JP1_474278849,1353971,541588,4,False,0,0,0,0,0,0,0,0,1,0,0,0,0,16359,215,67,34,False,6,True,0,0,0,0,0,0,0,0,0,0,0,0,0,17747,233,59,36,True
401009,JP1_474236411,1646938,658775,6,False,0,0,0,0,0,0,0,0,3,0,0,0,0,18540,247,70,38,True,11,True,1,0,0,0,0,0,1,0,0,0,0,0,0,20934,239,80,40,False
401010,JP1_474130067,1759330,703732,8,True,0,0,0,0,0,0,0,0,3,0,0,0,0,21467,284,52,39,False,11,False,1,1,0,0,0,0,0,0,0,0,0,0,0,21344,283,59,39,True
401011,JP1_474097188,1476524,590609,7,False,0,0,0,0,0,0,0,0,2,0,0,0,0,17763,246,64,36,True,3,True,0,0,0,0,0,0,0,0,1,0,0,0,0,15051,217,54,35,False
401012,JP1_474006716,1579138,631655,13,True,0,0,0,0,0,0,0,0,0,0,0,0,0,21969,256,62,39,True,9,False,0,0,0,0,0,0,0,0,0,0,0,0,0,19125,236,52,36,False
401013,JP1_474002939,1292449,516979,8,True,0,0,0,0,0,0,0,0,1,0,0,0,0,16662,214,42,32,True,1,False,0,0,0,0,0,0,0,0,2,0,0,0,0,11956,151,44,30,False
401014,JP1_473994742,1892923,757169,11,True,0,0,0,0,0,0,0,0,1,0,0,0,0,24558,315,80,43,False,12,False,0,0,0,0,0,0,0,0,2,0,0,0,0,23458,301,82,42,True
401015,JP1_473992774,1508501,603400,10,False,0,0,0,0,0,0,0,0,0,0,0,0,0,20173,231,56,35,False,14,True,0,0,0,0,0,0,0,0,3,0,0,0,0,22400,238,73,36,True
401016,JP1_473990208,948627,379450,12,False,0,0,0,0,0,0,0,0,0,0,0,1,0,27054,64,0,44,True,9,True,0,0,0,0,0,0,0,0,0,0,0,0,0,25514,52,0,41,False
401017,JP1_473989647,871520,348608,10,False,0,0,0,0,0,0,0,0,0,0,0,0,0,22801,54,0,37,False,17,True,0,0,0,0,0,0,0,0,0,0,0,0,0,26130,55,0,40,True
401018,JP1_473988319,1136782,454712,23,False,0,0,0,0,0,0,0,0,0,0,0,0,0,30939,72,0,50,False,22,True,0,0,0,0,0,0,0,0,0,0,0,1,0,33473,84,0,50,True
401019,JP1_473987141,1209339,483735,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,35099,76,0,55,True,27,True,0,0,0,0,0,0,0,0,0,0,0,0,0,35434,85,0,54,False
401020,JP1_473984666,1168397,467358,17,False,0,0,0,0,0,0,0,0,0,0,0,0,0,30661,73,0,47,False,23,True,0,0,0,0,0,0,0,0,0,0,0,0,0,32351,88,0,50,True
401021,JP1_473984210,856765,342706,14,False,0,0,0,0,0,0,0,0,0,0,0,0,0,23902,51,0,40,True,8,True,0,0,0,0,0,0,0,0,0,0,0,0,0,23023,58,0,37,False
401022,JP1_473981776,720516,288206,9,False,0,0,0,0,0,0,0,0,0,0,0,0,0,20537,41,0,35,True,8,True,0,0,0,0,0,0,0,0,0,0,0,0,0,20017,48,0,35,False
401023,JP1_473981293,842035,336814,13,True,0,0,0,0,0,0,0,0,0,0,0,0,0,24552,58,0,39,False,11,False,0,0,0,0,0,0,0,0,0,0,0,0,0,23354,44,0,40,True
401024,JP1_473971376,1537733,615093,6,True,0,0,0,0,0,0,0,0,1,0,0,0,0,17972,225,66,35,False,13,False,0,0,0,0,0,0,0,0,2,0,0,0,0,20086,237,48,35,True
401025,JP1_473845471,1418397,567358,13,True,0,0,0,0,0,0,0,0,0,0,0,0,0,18667,214,62,36,True,6,False,1,0,0,0,0,1,0,0,0,0,0,0,0,16338,204,40,33,False
401026,JP1_473785914,1134261,453704,8,False,0,0,0,0,0,0,0,0,0,0,0,0,0,14869,175,28,28,False,5,True,0,0,0,0,0,0,0,0,3,0,0,0,0,13967,174,54,28,True
401027,JP1_473728762,1091351,436540,13,True,0,0,0,0,0,0,0,0,0,0,0,0,0,29241,66,0,46,True,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,25242,61,0,43,False
401028,JP1_473728585,1181163,472465,23,True,0,0,0,0,0,0,0,0,0,0,0,1,0,31570,88,0,49,True,16,False,0,0,0,0,0,0,0,0,0,0,0,0,0,28763,58,0,45,False
401029,JP1_473727530,1865696,746278,26,True,0,0,0,0,0,0,0,0,0,0,0,1,0,44377,179,0,65,True,15,False,0,0,0,0,0,0,0,0,0,0,0,0,0,41145,147,0,61,False
401030,JP1_473727216,1250760,500304,9,True,0,0,0,0,0,0,0,0,0,0,0,0,0,29942,83,0,47,False,15,False,0,0,0,0,0,0,0,0,0,0,0,0,0,31672,95,0,50,True
401031,JP1_473723989,1380118,552047,14,True,0,0,0,0,0,0,0,0,0,0,0,0,0,34840,105,0,54,True,16,False,0,0,0,0,0,0,0,0,0,0,0,0,0,34497,83,0,54,False
401032,JP1_473688772,1033467,413386,7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,12230,131,36,27,True,5,True,0,0,0,0,0,0,0,0,0,0,0,0,0,11921,148,36,25,False
401033,JP1_473666007,1852564,741025,8,False,0,0,0,0,0,0,0,0,6,0,0,0,0,22619,313,84,41,True,7,True,1,1,0,0,0,0,0,0,0,0,0,0,0,22801,326,76,43,False
401034,JP1_473657713,912435,364974,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,11271,147,32,25,False,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,11627,151,39,26,True
401035,JP1_473654191,1115516,446206,6,False,0,0,0,0,0,0,0,0,2,0,0,0,0,13717,177,31,28,True,6,True,1,0,0,0,1,0,0,0,0,0,0,0,0,13685,169,42,30,False
