,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
401000,JP1_474599781,1687362,600000,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,16093,247,55,35,False,1,True,1,0,0,0,1,0,0,0,3,0,0,0,0,15328,232,77,35,True
401001,JP1_474501075,2263817,600000,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,15727,216,59,35,False,6,True,0,0,0,0,0,0,0,0,3,0,0,0,0,17261,240,58,36,True
401002,JP1_474482566,2051042,600000,7,True,1,0,0,1,0,0,0,0,3,0,0,0,0,18106,250,74,37,False,7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,17109,197,76,36,True
401003,JP1_474407403,1866320,600000,6,False,1,0,0,0,1,0,0,0,1,0,0,0,0,16265,236,55,36,True,4,True,0,0,0,0,0,0,0,0,2,0,0,0,0,15121,189,62,35,False
401004,JP1_474322922,1650101,600000,4,True,0,0,0,0,0,0,0,0,0,0,0,0,0,15237,222,72,36,False,7,False,1,0,1,0,0,0,0,0,3,0,0,0,0,17612,233,70,36,True
401005,JP1_474236411,1646938,600000,5,False,0,0,0,0,0,0,0,0,3,0,0,0,0,16298,220,60,36,True,11,True,1,0,0,0,0,0,1,0,0,0,0,0,0,18962,217,68,37,False
401006,JP1_474130067,1759330,600000,6,True,0,0,0,0,0,0,0,0,3,0,0,0,0,15987,214,36,31,False,10,False,1,1,0,0,0,0,0,0,0,0,0,0,0,17669,216,43,32,True
401007,JP1_473994742,1892923,600000,7,True,0,0,0,0,0,0,0,0,1,0,0,0,0,18103,244,60,36,False,8,False,0,0,0,0,0,0,0,0,1,0,0,0,0,17144,223,64,34,True
401008,JP1_473727530,1865696,600000,21,True,0,0,0,0,0,0,0,0,0,0,0,1,0,35870,135,0,54,True,11,False,0,0,0,0,0,0,0,0,0,0,0,0,0,32671,108,0,51,False
401009,JP1_473666007,1852564,600000,6,False,0,0,0,0,0,0,0,0,3,0,0,0,0,17277,241,62,36,True,5,True,0,0,0,0,0,0,0,0,0,0,0,0,0,16894,239,60,35,False
401010,JP1_473645415,2249422,600000,4,True,0,0,0,0,0,0,0,0,3,0,0,0,0,15387,235,50,35,True,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,17140,236,67,36,False
401011,JP1_473607853,1987539,600000,7,False,1,0,0,0,0,0,1,0,0,0,0,0,0,17295,226,60,34,False,9,True,0,0,0,0,0,0,0,0,3,0,0,0,0,17131,209,58,35,True
401012,JP1_473584961,1842331,600000,13,True,0,0,0,0,0,0,0,0,2,0,0,0,0,18624,168,58,33,False,10,False,1,1,0,0,0,0,0,0,1,0,0,0,0,19074,246,76,36,True
401013,JP1_473519970,2215924,600000,14,False,0,0,0,0,0,0,0,0,3,0,0,0,0,18944,214,42,34,False,11,True,1,0,0,0,1,0,0,0,0,0,0,0,0,19106,167,75,35,True
