,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
402000,JP1_473156835,2009989,840000,5,True,1,0,0,0,1,0,0,0,3,0,0,0,0,22735,315,67,43,False,16,False,0,0,0,0,0,0,0,0,3,0,0,0,0,26381,331,72,45,True
402001,JP1_473114823,1678569,840000,11,True,1,0,0,0,0,1,0,0,5,0,0,0,0,25487,328,78,44,True,8,False,0,0,0,0,0,0,0,0,1,0,0,0,0,23394,317,74,43,False
402002,JP1_473109158,2602973,840000,7,True,0,0,0,0,0,0,0,0,4,0,0,1,0,25067,365,57,45,False,7,False,1,0,0,0,0,0,1,0,0,0,0,0,0,23314,374,66,44,True
402003,JP1_473103619,1658799,840000,9,True,0,0,0,0,0,0,0,0,6,0,0,1,0,26615,394,97,45,True,7,False,2,1,0,0,0,1,0,0,0,0,0,0,0,24353,399,94,46,False
402004,JP1_472846294,1643542,840000,13,False,0,0,0,0,0,0,0,0,6,0,0,0,0,25807,299,68,43,True,8,True,1,0,0,1,0,0,0,0,0,0,0,0,0,23328,329,90,44,False
402005,JP1_472836406,2314952,840000,8,False,0,0,0,0,0,0,0,0,5,0,0,0,0,24559,357,102,45,False,9,True,2,0,1,0,0,0,1,0,1,0,0,0,0,25229,359,92,45,True
402006,JP1_472815310,2183794,840000,13,False,1,0,1,0,0,0,0,0,6,0,0,0,0,25030,314,91,44,False,14,True,0,0,0,0,0,0,0,0,0,0,0,1,0,28319,356,73,46,True
402007,JP1_472762184,1734795,840000,12,False,0,0,0,0,0,0,0,0,0,0,0,0,0,27028,374,68,45,True,6,True,0,0,0,0,0,0,0,0,6,0,0,0,0,25499,381,104,45,False
402008,JP1_472757732,1650298,840000,10,True,0,0,0,0,0,0,0,0,3,0,0,1,0,25582,353,74,44,False,10,False,1,0,0,1,0,0,0,0,3,0,0,0,0,25469,343,110,46,True
402009,JP1_472749783,1755650,840000,7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,23932,383,84,45,True,6,True,1,1,0,0,0,0,0,0,6,0,0,0,0,23312,355,91,46,False
402010,JP1_472748243,1667095,840000,15,False,2,0,0,1,0,1,0,0,4,0,0,1,0,26304,282,91,44,True,11,True,0,0,0,0,0,0,0,0,2,0,0,0,0,24778,327,64,43,False
402011,JP1_472744556,1625763,840000,8,True,0,0,0,0,0,0,0,0,3,0,0,0,0,25060,371,118,47,True,11,False,2,1,0,1,0,0,0,0,3,0,0,0,0,25606,388,78,46,False
402012,JP1_472742164,1920469,840000,12,False,2,1,0,0,0,1,0,0,2,0,0,1,0,26542,314,99,44,True,13,True,0,0,0,0,0,0,0,0,4,0,0,1,0,26993,297,91,44,False
402013,JP1_472738593,1950523,840000,13,True,1,0,0,1,0,0,0,0,5,0,0,1,0,25928,320,82,43,True,9,False,0,0,0,0,0,0,0,0,1,0,0,0,0,23515,302,66,41,False
402014,JP1_472321133,1736065,840000,12,True,1,0,0,0,0,1,0,0,1,0,0,0,0,25931,324,80,46,False,9,False,0,0,0,0,0,0,0,0,5,0,0,0,0,25196,346,77,45,True
402015,JP1_474779362,1845639,840000,12,True,0,0,0,0,0,0,0,0,5,0,0,1,0,26937,336,86,44,False,9,False,1,0,0,0,0,1,0,0,1,0,0,0,0,23880,341,80,44,True
402016,JP1_474673424,1634916,840000,14,False,1,0,1,0,0,0,0,0,3,0,0,0,0,25091,301,90,44,True,11,True,0,0,0,0,0,0,0,0,3,0,0,1,0,24754,304,57,43,False
402017,JP1_474526494,2344624,840000,8,True,0,0,0,0,0,0,0,0,0,0,0,0,0,24472,351,71,42,False,12,False,2,1,0,1,0,0,0,0,6,0,0,2,0,27452,338,88,45,True
402018,JP1_474519648,1827120,840000,6,True,0,0,0,0,0,0,0,0,5,0,0,1,0,24056,345,74,43,False,8,False,2,0,1,1,0,0,0,0,1,0,0,0,0,25203,361,96,44,True
402019,JP1_474479029,2084865,840000,10,False,1,1,0,0,0,0,0,0,0,0,0,0,0,24091,348,72,43,True,7,True,0,0,0,0,0,0,0,0,6,0,0,0,0,24332,349,92,43,False
402020,JP1_474382576,2381106,840000,11,True,0,0,0,0,0,0,0,0,5,0,0,1,0,24148,300,66,42,False,11,False,0,0,0,0,0,0,0,0,1,0,0,1,0,25591,315,58,43,True
402021,JP1_474351519,1715210,840000,7,False,0,0,0,0,0,0,0,0,3,0,0,0,0,22512,306,82,44,False,13,True,1,0,0,0,1,0,0,0,1,0,0,0,0,25617,373,50,46,True
402022,JP1_474337025,1703959,840000,14,False,0,0,0,0,0,0,0,0,6,0,0,1,0,28077,328,103,45,False,10,True,2,0,1,1,0,0,0,0,0,0,0,0,0,25912,378,84,45,True
402023,JP1_474327451,1914878,840000,7,False,1,0,0,0,1,0,0,0,3,0,0,0,0,22770,305,78,43,False,10,True,1,0,0,1,0,0,0,0,3,0,0,1,0,26490,359,86,44,True
402024,JP1_474174355,1744928,840000,11,False,0,0,0,0,0,0,0,0,1,0,0,0,0,24108,311,74,41,True,10,True,2,0,0,0,1,1,0,0,5,0,0,0,0,25493,328,98,43,False
402025,JP1_474157080,2285120,840000,10,False,0,0,0,0,0,0,0,0,5,0,0,0,0,23218,321,70,42,True,7,True,1,0,0,1,0,0,0,0,1,0,0,0,0,23635,347,71,44,False
