,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
501000,KR_7326182461,2031670,1200000,20,True,1,0,0,1,0,0,0,0,6,1,0,2,0,39653,503,153,58,True,15,False,2,1,1,0,0,0,0,0,0,0,0,1,0,36593,502,124,57,False
501001,KR_7326143788,1848087,1200000,20,False,0,0,0,0,0,0,0,0,4,1,0,3,0,40418,507,123,57,False,16,True,3,1,1,0,0,1,0,0,2,0,0,3,0,37222,497,144,57,True
501002,KR_7326118030,2028395,1200000,18,True,2,0,1,1,0,0,0,0,3,1,0,2,0,38559,516,121,57,False,11,False,1,0,0,0,0,1,0,0,3,0,0,2,0,37072,536,145,58,True
501003,KR_7326011394,1752984,1200000,15,False,1,0,0,0,1,0,0,0,0,0,0,2,0,37011,506,122,57,True,21,True,1,0,0,0,0,1,0,0,6,1,0,1,0,36627,437,111,54,False
501004,KR_7325994163,1756498,1200000,15,True,0,0,0,0,0,0,0,0,3,1,0,2,0,36723,473,87,55,False,23,False,1,0,1,0,0,0,0,0,0,0,0,2,0,39445,477,109,57,True
501005,KR_7325970383,1647115,1200000,24,False,1,0,0,0,0,0,1,0,6,1,0,4,0,41933,464,146,58,False,10,True,2,0,0,0,1,1,0,0,0,0,0,1,0,34078,552,102,54,True
501006,KR_7325900445,2065011,1200000,12,True,0,0,0,0,0,0,0,0,2,0,0,1,0,35446,485,132,54,True,26,False,2,0,1,1,0,0,0,0,4,1,0,6,1,44022,497,123,57,False
501007,KR_7325896080,1673212,1200000,12,True,1,0,0,0,0,0,1,0,4,0,0,2,0,36058,536,112,55,True,20,False,1,0,0,1,0,0,0,0,2,1,0,3,0,39000,487,119,57,False
501008,KR_7324542554,1697125,1200000,23,False,0,0,0,0,0,0,0,0,6,1,0,4,0,42322,462,135,57,True,28,True,2,0,1,0,0,1,0,0,0,0,0,3,0,43537,461,100,57,False
501009,KR_7324501817,1668807,1200000,25,True,1,1,0,0,0,0,0,0,5,1,0,6,0,43644,442,147,59,True,11,False,1,0,0,0,1,0,0,0,1,0,0,2,0,36348,511,92,54,False
501010,KR_7324418674,1842901,1200000,16,True,0,0,0,0,0,0,0,0,5,0,0,2,0,38860,491,136,56,False,18,False,3,0,1,1,1,0,0,0,1,1,0,4,0,39503,506,127,57,True
501011,KR_7324403265,2046216,1200000,14,True,1,0,0,0,1,0,0,0,1,0,0,2,0,35946,515,99,54,False,18,False,2,0,0,1,0,1,0,0,5,1,0,4,0,39558,496,110,55,True
501012,KR_7324378574,1769302,1200000,21,False,0,0,0,0,0,0,0,0,6,1,0,5,0,41446,428,122,53,False,14,True,2,0,0,1,0,0,1,0,0,0,0,2,0,36095,477,118,52,True
501013,KR_7322740288,1790931,1200000,26,False,1,0,0,0,1,0,0,0,6,1,0,5,0,43266,522,128,59,False,14,True,1,0,0,1,0,0,0,0,0,0,0,2,0,37103,527,90,58,True
501014,KR_7321710500,1657011,1200000,18,True,2,0,1,0,1,0,0,0,0,1,0,4,0,38855,470,144,56,True,11,False,0,0,0,0,0,0,0,0,6,0,0,3,0,35808,503,107,54,False
501015,KR_7321541099,2058620,1200000,22,True,1,0,0,1,0,0,0,0,1,0,0,3,0,40542,474,91,57,False,21,False,1,0,1,0,0,0,0,0,5,1,0,2,0,39982,496,127,56,True
501016,KR_7321494622,1804660,1200000,25,False,1,0,0,0,1,0,0,0,5,1,0,4,0,43450,495,142,58,True,18,True,1,0,1,0,0,0,0,0,1,0,0,1,0,37593,471,106,54,False
501017,KR_7321417606,1987631,1200000,12,False,2,1,1,0,0,0,0,0,3,1,0,1,0,35720,474,131,55,True,24,True,1,0,0,0,0,1,0,0,3,0,0,4,0,41492,498,156,58,False
501018,KR_7321171298,1928462,1200000,19,False,0,0,0,0,0,0,0,0,1,0,0,0,0,35276,391,82,51,True,26,True,1,0,1,0,0,0,0,0,5,1,0,5,0,44040,487,120,56,False
501019,KR_7321135505,1850502,1200000,25,False,1,0,0,0,0,1,0,0,5,0,0,1,0,40069,472,128,57,True,16,True,1,0,0,0,0,0,1,0,0,1,0,3,0,36520,433,106,53,False
501020,KR_7321092762,1843896,1200000,19,True,1,1,0,0,0,0,0,0,1,1,0,3,0,39521,497,106,58,False,18,False,1,0,0,1,0,0,0,0,5,0,0,5,0,41556,506,154,57,True
501021,KR_7320258931,2082372,1200000,27,False,0,0,0,0,0,0,0,0,1,1,0,3,0,42197,494,136,59,False,15,True,2,1,0,0,1,0,0,0,5,0,0,2,0,38261,501,123,55,True
501022,KR_7320123264,1630026,1200000,21,False,0,0,0,0,0,0,0,0,4,0,0,3,0,38057,470,113,57,False,23,True,2,0,0,0,1,1,0,0,2,1,0,4,0,41517,442,136,55,True
501023,KR_7320109643,1864350,1200000,24,True,1,0,1,0,0,0,0,0,3,1,0,2,0,40053,427,142,57,True,21,False,2,1,0,1,0,0,0,0,3,0,0,1,0,38194,452,116,54,False
501024,KR_7320102268,1670216,1200000,16,True,3,0,1,1,0,0,1,0,0,1,0,2,0,37015,495,117,57,True,13,False,0,0,0,0,0,0,0,0,3,0,0,1,0,35248,486,131,55,False
501025,KR_7319711743,1938904,1200000,18,False,0,0,0,0,0,0,0,0,2,1,0,3,0,38991,499,87,55,False,23,True,3,0,1,0,0,1,1,0,1,0,0,3,0,40855,435,132,56,True
501026,KR_7319447474,1778829,1200000,12,True,1,0,0,0,0,1,0,0,3,0,0,2,0,35697,523,139,56,False,13,False,1,1,0,0,0,0,0,0,0,1,0,1,0,35040,486,133,56,True
501027,KR_7319234791,1712213,1200000,18,False,0,0,0,0,0,0,0,0,4,1,0,3,0,39599,453,140,57,False,19,True,2,0,1,0,0,1,0,0,2,0,0,3,0,41053,574,114,59,True
501028,KR_7318537177,2019735,1200000,17,True,0,0,0,0,0,0,0,0,3,0,0,1,0,37129,489,113,57,True,23,False,3,1,1,0,0,0,1,0,0,1,0,2,0,40382,487,126,58,False
501029,KR_7318371386,2200356,1200000,14,True,2,1,0,0,1,0,0,0,6,0,0,1,0,35950,514,132,54,False,12,False,1,0,0,0,0,1,0,0,0,0,0,2,0,35784,496,127,55,True
501030,KR_7317803490,1908713,1200000,25,True,0,0,0,0,0,0,0,0,3,1,0,4,0,41650,491,96,57,False,12,False,1,0,0,0,1,0,0,0,3,0,0,2,0,37208,493,105,54,True
501031,KR_7326626205,2058962,1200000,21,False,1,0,0,1,0,0,0,0,4,0,0,3,0,39978,522,127,57,False,12,True,1,0,0,0,1,0,0,0,2,1,0,2,0,37426,509,135,56,True
501032,KR_7326473355,1794389,1200000,14,True,0,0,0,0,0,0,0,0,5,1,0,3,0,37215,479,119,54,False,13,False,2,1,0,0,0,0,1,0,1,0,0,5,0,39581,533,134,57,True
501033,KR_7326056711,1851124,1200000,13,False,1,0,0,1,0,0,0,0,5,1,0,2,0,36471,528,126,56,False,13,True,2,1,0,0,0,0,1,0,1,0,0,2,0,36112,529,117,57,True
501034,KR_7326037059,1800824,1200000,17,False,2,0,0,0,1,1,0,0,1,0,0,3,0,39125,528,150,59,True,11,True,0,0,0,0,0,0,0,0,5,1,0,1,0,36990,529,133,57,False
501035,KR_7324253118,2261913,1200000,12,False,1,0,0,0,0,0,1,0,5,1,0,1,0,35799,534,136,58,True,18,True,2,1,0,0,0,1,0,0,1,0,0,1,0,38274,505,126,58,False
501036,KR_7323636111,1674641,1200000,17,False,1,0,0,0,1,0,0,0,3,1,0,2,0,39128,484,110,56,True,24,True,1,0,0,0,0,0,1,0,3,0,0,2,0,41202,513,143,59,False
501037,KR_7323554630,1732283,1200000,17,True,1,0,1,0,0,0,0,0,6,0,0,3,0,39299,472,163,59,True,15,False,2,0,0,1,1,0,0,0,0,1,0,2,0,37078,474,123,55,False
501038,KR_7323204610,1849223,1200000,17,False,0,0,0,0,0,0,0,0,1,1,0,2,0,38838,512,133,56,False,16,True,2,0,0,0,1,1,0,0,5,0,0,2,0,39617,578,99,55,True
501039,KR_7321874962,1909881,1200000,11,False,0,0,0,0,0,0,0,0,1,0,0,2,0,36084,532,121,55,False,17,True,2,0,0,1,0,0,1,0,0,1,0,3,0,39502,541,152,59,True
501040,KR_7321736750,1870346,1200000,15,False,3,0,0,1,1,0,1,0,3,0,0,2,0,36448,472,126,57,False,14,True,0,0,0,0,0,0,0,0,3,1,0,2,0,35831,501,109,55,True
501041,KR_7321281810,1856967,1200000,18,False,2,1,0,0,1,0,0,0,1,1,0,2,0,37206,460,98,56,False,25,True,0,0,0,0,0,0,0,0,5,0,0,2,0,39238,464,107,57,True
501042,KR_7321276127,1959859,1200000,30,True,2,1,0,0,0,1,0,0,6,0,0,3,0,43247,481,108,58,True,19,False,1,0,0,0,0,0,1,0,0,1,0,2,0,39784,456,132,55,False
501043,KR_7321265442,1943553,1200000,17,False,1,1,0,0,0,0,0,0,6,1,0,2,0,38540,476,144,54,False,20,True,2,0,1,0,1,0,0,0,0,0,0,3,0,39734,515,103,56,True
501044,KR_7321250544,1860777,1200000,13,True,1,1,0,0,0,0,0,0,3,0,0,2,0,36571,489,158,58,True,12,False,1,0,1,0,0,0,0,0,3,1,0,6,0,38032,523,139,57,False
501045,KR_7321241243,1981977,1200000,18,True,1,0,1,0,0,0,0,0,6,0,0,1,0,37884,553,104,55,False,16,False,1,0,0,0,0,0,1,0,0,1,0,2,0,39474,561,128,57,True
501046,KR_7321162586,2372958,1200000,14,True,2,0,0,1,0,0,1,0,0,0,0,2,0,36921,516,107,54,True,16,False,0,0,0,0,0,0,0,0,6,1,0,3,0,39994,509,155,56,False
501047,KR_7321079351,1630237,1200000,11,False,0,0,0,0,0,0,0,0,3,1,0,2,0,35872,478,114,55,False,22,True,3,1,0,0,0,1,1,0,3,0,0,2,0,39340,488,139,59,True
501048,KR_7320889448,1769089,1200000,8,False,0,0,0,0,0,0,0,0,0,0,0,1,0,34989,542,144,54,False,14,True,2,1,0,0,0,1,0,0,6,1,0,5,0,39929,527,143,57,True
501049,KR_7320786297,1754491,1200000,12,True,2,0,0,1,0,0,1,0,3,1,0,2,0,36922,538,161,57,True,10,False,0,0,0,0,0,0,0,0,3,0,0,1,0,35176,544,122,56,False
501050,KR_7320426982,1808368,1200000,20,True,0,0,0,0,0,0,0,0,3,1,0,2,0,38555,518,84,55,False,17,False,3,0,0,1,1,1,0,0,3,0,0,2,0,38457,479,139,56,True
501051,KR_7320091605,1721963,1200000,27,False,1,1,0,0,0,0,0,0,6,1,0,5,0,44062,503,133,56,True,16,True,1,0,0,0,0,1,0,0,0,0,0,2,0,38399,481,120,54,False
501052,KR_7320080270,1772564,1200000,12,False,1,0,1,0,0,0,0,0,3,1,0,1,0,37083,544,136,57,True,10,True,2,1,0,1,0,0,0,0,3,0,0,1,0,35767,547,139,55,False
501053,KR_7320041065,2201538,1200000,20,True,1,0,0,0,1,0,0,0,6,1,0,3,0,40036,502,138,57,False,14,False,2,1,0,1,0,0,0,0,0,0,0,0,0,33568,436,105,56,True
