,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
508000,KR_7308106502,1386586,554634,6,False,0,0,0,0,0,0,0,0,2,0,0,0,0,16458,200,65,33,False,10,True,0,0,0,0,0,0,0,0,1,0,0,0,0,18657,221,36,34,True
508001,KR_7307946239,1645009,658003,6,False,0,0,0,0,0,0,0,0,3,0,0,0,0,18230,279,58,39,True,6,True,1,1,0,0,0,0,0,0,0,0,0,0,0,18650,264,68,37,False
508002,KR_7307859039,2282631,913052,11,False,0,0,0,0,0,0,0,0,2,1,0,0,0,28113,392,86,48,True,7,True,1,1,0,0,0,0,0,0,4,0,0,2,0,30307,447,110,50,False
508003,KR_7307792932,1261078,504431,3,False,1,0,1,0,0,0,0,0,0,0,0,0,0,14300,197,64,33,False,3,True,0,0,0,0,0,0,0,0,3,0,0,0,0,15266,233,62,34,True
508004,KR_7307519437,1496418,598567,10,False,0,0,0,0,0,0,0,0,2,0,0,0,0,19128,218,72,36,True,9,True,1,0,0,0,0,1,0,0,1,0,0,0,0,17464,224,33,34,False
508005,KR_7307388443,1729374,691749,7,True,1,0,0,0,0,1,0,0,3,0,0,0,0,20993,276,54,38,False,9,False,0,0,0,0,0,0,0,0,3,0,0,0,0,24257,318,73,42,True
508006,KR_7307308999,2053628,821451,8,False,1,1,0,0,0,0,0,0,5,0,0,0,0,25170,361,92,46,True,9,True,0,0,0,0,0,0,0,0,1,0,0,1,0,25622,388,75,44,False
508007,KR_7306838421,1870859,748343,8,False,0,0,0,0,0,0,0,0,5,0,0,0,0,23321,326,84,43,True,8,True,1,0,0,1,0,0,0,0,0,0,0,0,0,23817,328,88,43,False
508008,KR_7306803096,2027549,811019,10,True,1,0,0,0,0,0,1,0,2,0,0,1,0,27393,374,84,45,True,10,False,1,0,0,0,0,1,0,0,4,0,0,0,0,24298,347,71,43,False
508009,KR_7306753988,1491245,596498,4,True,0,0,0,0,0,0,0,0,3,0,0,0,0,16366,255,41,35,True,5,False,1,0,0,0,0,1,0,0,0,0,0,0,0,16206,221,72,34,False
