,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
509000,KR_7315260737,1819984,600000,6,False,1,0,0,1,0,0,0,0,0,0,0,0,0,17339,257,58,36,True,10,True,0,0,0,0,0,0,0,0,3,0,0,0,0,18214,221,78,36,False
509001,KR_7315081883,2101540,600000,6,True,1,0,0,0,0,1,0,0,0,0,0,0,0,17248,238,56,36,True,7,False,0,0,0,0,0,0,0,0,3,0,0,0,0,18254,261,77,38,False
509002,KR_7313743696,2026861,600000,7,True,0,0,0,0,0,0,0,0,3,0,0,0,0,17560,195,49,33,True,14,False,0,0,0,0,0,0,0,0,0,0,0,0,0,19828,229,41,35,False
509003,KR_7313647294,1733249,600000,5,True,1,1,0,0,0,0,0,0,3,0,0,0,0,17046,243,62,37,True,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,16228,262,56,36,False
509004,KR_7313579517,1999424,600000,4,False,1,0,0,1,0,0,0,0,0,0,0,0,0,15036,200,61,33,False,10,True,0,0,0,0,0,0,0,0,3,0,0,0,0,17780,245,34,35,True
509005,KR_7313523453,1802941,600000,10,True,0,0,0,0,0,0,0,0,3,0,0,1,0,18971,229,46,34,True,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,15802,222,36,33,False
509006,KR_7313464406,1865104,600000,4,False,0,0,0,0,0,0,0,0,2,0,0,0,0,14892,193,48,33,False,11,True,0,0,0,0,0,0,0,0,1,0,0,0,0,19006,218,54,36,True
509007,KR_7313406089,1888382,600000,6,True,0,0,0,0,0,0,0,0,3,0,0,0,0,15910,203,50,32,False,8,False,1,1,0,0,0,0,0,0,0,0,0,1,0,19198,223,68,36,True
509008,KR_7313342203,2145894,600000,8,False,1,0,0,0,1,0,0,0,1,0,0,0,0,18313,255,50,35,True,7,True,0,0,0,0,0,0,0,0,0,0,0,0,0,17007,214,48,33,False
509009,KR_7327059103,1985145,600000,5,True,0,0,0,0,0,0,0,0,3,0,0,0,0,17432,259,62,36,True,3,False,1,1,0,0,0,0,0,0,0,0,0,0,0,15552,237,64,36,False
509010,KR_7327029000,1919601,600000,10,False,0,0,0,0,0,0,0,0,2,0,0,0,0,18877,218,52,35,False,3,True,0,0,0,0,0,0,0,0,1,0,0,0,0,15673,228,65,33,True
509011,KR_7324176739,1810623,600000,10,False,0,0,0,0,0,0,0,0,0,0,0,0,0,18963,217,68,35,True,8,True,0,0,0,0,0,0,0,0,3,0,0,0,0,16514,189,54,32,False
509012,KR_7322690794,1988552,600000,5,False,0,0,0,0,0,0,0,0,3,0,0,0,0,17229,251,68,37,True,4,True,1,0,1,0,0,0,0,0,0,0,0,0,0,16684,237,73,37,False
509013,KR_7322561650,1784453,600000,8,False,0,0,0,0,0,0,0,0,3,0,0,0,0,17006,236,44,35,False,10,True,1,1,0,0,0,0,0,0,0,0,0,0,0,18800,224,77,37,True
509014,KR_7321323374,1858950,600000,6,False,0,0,0,0,0,0,0,0,3,0,0,0,0,16900,237,54,35,False,10,True,1,0,0,0,0,0,1,0,0,0,0,0,0,17297,198,41,33,True
509015,KR_7321281942,2108578,600000,5,True,0,0,0,0,0,0,0,0,0,0,0,0,0,15426,185,38,32,False,13,False,0,0,0,0,0,0,0,0,3,0,0,0,0,20289,217,76,35,True
509016,KR_7321279761,1772989,600000,10,False,0,0,0,0,0,0,0,0,0,0,0,0,0,17694,184,60,33,True,15,True,0,0,0,0,0,0,0,0,3,0,0,0,0,18632,174,54,33,False
