,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
601000,LA1_1564442873,1733536,600000,6,False,1,0,0,1,0,0,0,0,0,0,0,0,0,16630,227,68,35,True,3,True,0,0,0,0,0,0,0,0,3,0,0,0,0,15821,227,66,35,False
601001,LA1_1564440474,1815467,600000,7,False,1,1,0,0,0,0,0,0,0,0,0,0,0,17755,223,69,35,True,9,True,0,0,0,0,0,0,0,0,3,0,0,0,0,18553,223,66,35,False
601002,LA1_1564403465,2015456,600000,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,15799,219,40,35,False,10,True,0,0,0,0,0,0,0,0,3,0,0,0,0,17255,193,70,35,True
601003,LA1_1564356263,2160039,600000,5,False,1,0,0,1,0,0,0,0,3,0,0,0,0,15216,213,58,36,False,4,True,0,0,0,0,0,0,0,0,0,0,0,0,0,15854,245,48,34,True
601004,LA1_1564319865,2212503,600000,7,True,1,0,0,0,0,1,0,0,0,0,0,0,0,17845,248,72,35,False,8,False,0,0,0,0,0,0,0,0,2,0,0,0,0,18172,240,60,35,True
601005,LA1_1564295429,1653650,600000,7,True,1,0,0,1,0,0,0,0,3,0,0,0,0,17302,211,66,34,True,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,16649,199,56,33,False
601006,LA1_1564286004,1926992,600000,10,False,0,0,0,0,0,0,0,0,0,0,0,0,0,18789,222,76,37,True,10,True,0,0,0,0,0,0,0,0,3,0,0,0,0,19178,225,42,36,False
601007,LA1_1564273020,1962917,600000,4,True,0,0,0,0,0,0,0,0,3,0,0,0,0,16469,250,74,36,False,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,16508,242,52,36,True
601008,LA1_1564244283,1831398,600000,6,False,0,0,0,0,0,0,0,0,3,0,0,0,0,17629,227,78,36,True,8,True,1,0,0,0,1,0,0,0,0,0,0,0,0,17009,215,48,34,False
601009,LA1_1564161354,1905427,600000,5,False,0,0,0,0,0,0,0,0,3,0,0,0,0,15836,217,61,36,False,4,True,1,1,0,0,0,0,0,0,0,0,0,0,0,15806,227,56,34,True
