,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
701000,LA2_1453941436,1654172,1200000,14,False,0,0,0,0,0,0,0,0,3,1,0,3,0,36970,487,134,55,False,25,True,1,0,0,1,0,0,0,0,3,0,0,3,0,43525,504,125,59,True
701001,LA2_1452361513,1929160,1200000,31,True,2,1,0,0,0,0,1,0,5,1,0,3,0,43990,408,118,57,True,30,False,0,0,0,0,0,0,0,0,1,0,0,1,0,42083,441,120,58,False
701002,LA2_1452349054,1970927,1200000,20,True,2,0,0,0,0,1,1,0,2,1,0,4,0,41307,491,128,57,True,24,False,0,0,0,0,0,0,0,0,4,0,0,1,0,39384,427,124,55,False
701003,LA2_1452325503,2219532,1200000,20,False,1,1,0,0,0,0,0,0,3,1,0,1,0,40103,529,158,58,True,13,True,1,0,0,1,0,0,0,0,0,0,0,1,0,35484,542,98,56,False
701004,LA2_1452277788,1916236,1200000,19,False,0,0,0,0,0,0,0,0,4,0,0,0,0,35240,404,110,53,False,29,True,3,1,0,0,1,0,1,0,2,1,0,6,0,44201,505,103,57,True
701005,LA2_1452264373,3025353,1200000,16,False,0,0,0,0,0,0,0,0,0,0,0,1,0,35184,487,110,55,True,24,True,2,0,0,0,0,1,1,0,6,1,0,5,0,41752,439,136,58,False
701006,LA2_1452250779,1772461,1200000,19,False,0,0,0,0,0,0,0,0,6,1,0,2,0,39657,496,124,56,True,22,True,2,1,0,0,1,0,0,0,0,0,0,1,0,39014,486,151,58,False
701007,LA2_1452248840,1806123,1200000,16,False,1,0,0,1,0,0,0,0,1,0,0,1,0,35909,456,112,56,True,17,True,2,0,1,0,0,0,1,0,5,1,0,4,0,38788,444,137,54,False
701008,LA2_1452225497,1886716,1200000,25,True,3,0,1,0,0,1,1,0,2,0,0,1,0,40210,483,128,57,True,14,False,0,0,0,0,0,0,0,0,4,1,0,2,0,36533,473,112,55,False
701009,LA2_1452196703,2127102,1200000,13,True,0,0,0,0,0,0,0,0,3,1,0,1,0,35555,477,141,55,True,18,False,2,0,1,0,1,0,0,0,3,0,0,2,0,37691,503,123,56,False
