,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
803000,NA1_5132078228,1826545,1461236,27,False,0,0,0,0,0,0,0,0,5,0,0,2,0,51592,593,135,68,True,34,True,3,0,1,0,0,1,1,0,0,1,1,6,1,55218,525,139,65,False
803001,NA1_5131978664,1527979,1222383,15,False,0,0,0,0,0,0,0,0,3,0,0,2,0,38466,547,122,57,False,25,True,3,1,0,1,1,0,0,0,3,1,0,5,0,45202,535,149,60,True
803002,NA1_5131962745,1805976,1444780,16,False,1,0,1,0,0,0,0,0,3,1,0,4,0,43979,554,171,61,False,21,True,3,0,0,2,0,1,0,0,3,0,1,6,0,49174,612,155,68,True
803003,NA1_5131899686,1736800,1389440,13,True,1,1,0,0,0,0,0,0,3,1,0,2,0,42402,530,173,60,False,16,False,2,0,1,0,0,0,1,0,3,0,0,4,0,46127,610,131,62,True
803004,NA1_5131430321,1744273,1395418,16,True,0,0,0,0,0,0,0,0,6,0,0,4,0,45319,524,168,62,False,28,False,3,0,0,1,1,0,1,0,0,1,0,5,1,53892,573,171,69,True
803005,NA1_5131401349,1596677,1277341,13,False,0,0,0,0,0,0,0,0,3,0,0,0,0,37059,516,138,58,False,20,True,3,1,0,1,0,0,1,0,3,0,0,4,0,43264,564,134,60,True
803006,NA1_5131375243,1422303,1137842,18,False,2,1,0,1,0,0,0,0,3,0,0,2,0,35547,427,113,52,False,18,True,0,0,0,0,0,0,0,0,3,1,0,4,0,39884,496,138,55,True
803007,NA1_5131344657,1569041,1255232,19,True,1,0,0,0,1,0,0,0,3,0,0,1,0,38657,449,119,58,False,25,False,1,0,0,0,0,0,1,0,3,1,0,7,1,45351,497,112,59,True
803008,NA1_5131273448,1648673,1318938,18,True,2,0,0,0,1,1,0,0,1,1,0,4,0,42848,593,128,66,True,13,False,0,0,0,0,0,0,0,0,5,0,0,2,0,40267,582,193,63,False
803009,NA1_5131254404,1745494,1396395,16,True,1,1,0,0,0,0,0,0,4,0,0,3,0,46901,597,156,65,True,19,False,2,0,1,0,0,0,1,0,2,1,0,2,0,44698,609,160,66,False
