,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
901000,OC1_643899432,1794844,1620000,33,True,0,0,0,0,0,0,0,0,5,1,0,2,0,52462,597,147,69,False,29,False,4,0,2,1,0,0,1,0,1,0,1,3,0,55611,620,159,72,True
901001,OC1_643883552,2026946,1620000,17,False,0,0,0,0,0,0,0,0,4,1,0,6,1,50641,632,184,69,False,22,True,3,0,1,0,1,0,1,0,2,0,1,4,0,50799,619,153,68,True
901002,OC1_643868516,1999149,1620000,13,False,1,0,0,0,0,0,1,0,6,0,0,3,0,45980,649,186,65,False,19,True,3,0,0,0,1,1,1,0,0,1,0,4,0,51106,662,192,66,True
901003,OC1_643852296,1976834,1620000,16,True,3,0,0,1,1,1,0,0,1,0,1,5,0,52748,711,155,72,True,15,False,1,0,0,0,0,1,0,0,5,1,0,6,1,52090,727,205,69,False
901004,OC1_643846570,1984450,1620000,27,False,1,0,0,0,1,0,0,0,3,1,1,9,2,55726,603,189,73,True,17,True,2,1,0,0,0,1,0,0,3,0,0,3,0,47374,639,173,65,False
901005,OC1_643836338,1653669,1620000,18,True,4,2,1,0,0,1,0,0,4,1,1,9,1,58648,728,219,74,True,16,False,0,0,0,0,0,0,0,0,1,0,0,1,0,46109,630,131,65,False
901006,OC1_643807995,2348131,1620000,18,False,3,1,2,0,0,0,0,0,6,1,0,3,0,50818,716,199,72,True,15,True,1,0,0,1,0,0,0,0,0,0,1,4,0,49668,705,161,69,False
901007,OC1_643801865,1995622,1620000,19,False,2,0,1,0,0,1,0,0,4,1,0,5,0,52633,701,168,66,False,27,True,2,2,0,0,0,0,0,0,2,0,1,6,0,55598,643,139,69,True
901008,OC1_643751092,1883213,1620000,11,False,2,0,0,0,0,1,1,0,0,1,0,3,0,45478,626,150,64,False,21,True,2,0,0,1,0,1,0,0,6,0,1,6,1,54472,673,232,72,True
901009,OC1_643740371,2576800,1620000,19,False,1,1,0,0,0,0,0,0,3,0,0,4,0,52597,704,219,71,True,20,True,3,0,2,0,0,1,0,0,3,1,1,5,0,52788,703,155,70,False
901010,OC1_643734694,1717535,1620000,28,False,2,0,0,1,0,1,0,0,6,0,1,5,0,54896,589,176,71,False,28,True,1,0,0,0,1,0,0,0,0,1,0,4,0,53912,647,170,69,True
901011,OC1_643732148,2258464,1620000,14,False,1,0,0,0,1,0,0,0,2,1,0,3,0,48447,720,182,69,True,20,True,3,0,0,0,1,1,1,0,4,0,0,2,0,50146,710,176,70,False
901012,OC1_643726388,2407358,1620000,16,True,1,0,0,0,0,0,1,0,6,1,0,4,0,49924,667,187,70,True,21,False,3,0,2,0,1,0,0,0,0,0,1,6,0,54561,705,181,73,False
901013,OC1_643631982,1947299,1620000,15,True,2,0,0,0,1,1,0,0,5,1,1,6,1,55365,757,260,75,True,15,False,0,0,0,0,0,0,0,0,1,0,0,3,0,48006,709,139,68,False
901014,OC1_643388905,2244562,1620000,21,False,3,1,0,1,0,0,1,0,2,1,1,4,0,51008,685,172,69,True,10,True,0,0,0,0,0,0,0,0,4,0,0,2,0,45499,655,175,65,False
901015,OC1_643373760,1672377,1620000,47,True,1,0,1,0,0,0,0,0,3,1,1,7,1,65087,603,184,75,True,18,False,2,0,0,0,1,0,1,0,3,0,0,5,0,53435,627,147,66,False
901016,OC1_643367016,1991847,1620000,25,True,0,0,0,0,0,0,0,0,2,1,1,6,0,57134,727,186,72,True,20,False,4,0,2,0,1,0,1,0,1,0,0,3,0,51586,685,185,69,False
901017,OC1_643334845,2096857,1620000,12,False,3,1,1,0,0,0,1,0,2,1,0,4,0,47546,714,182,66,False,13,True,0,0,0,0,0,0,0,0,3,0,1,4,0,50932,640,222,70,True
901018,OC1_643297473,1914441,1620000,30,False,1,0,1,0,0,0,0,0,0,0,0,3,0,52689,630,191,69,False,27,True,2,1,0,0,0,1,0,0,6,1,0,5,0,53380,619,151,67,True
901019,OC1_643291501,2109510,1620000,14,False,1,0,0,0,1,0,0,0,5,0,0,2,0,46686,637,176,65,False,18,True,3,1,0,1,1,0,0,0,1,1,1,3,0,48840,578,178,66,True
901020,OC1_643286208,1683618,1620000,15,False,1,0,0,0,0,1,0,0,6,1,0,4,0,46768,579,154,65,False,23,True,2,1,0,0,1,0,0,0,0,0,1,6,0,54404,637,219,73,True
901021,OC1_643211227,2193223,1620000,21,True,1,0,1,0,0,0,0,0,6,1,0,4,0,49813,622,173,65,True,20,False,3,0,1,0,0,1,1,0,0,0,0,2,0,48332,618,168,65,False
901022,OC1_643201832,1801898,1620000,25,True,1,0,0,0,1,0,0,0,4,1,0,5,0,53044,586,193,69,True,21,False,3,0,1,1,1,0,0,0,2,0,0,2,0,48081,613,154,66,False
901023,OC1_643199288,1909678,1620000,32,True,0,0,0,0,0,0,0,0,0,0,1,1,0,53333,512,108,71,True,43,False,3,0,0,1,0,1,1,0,6,0,0,6,0,56654,504,202,69,False
901024,OC1_643193616,1895733,1620000,41,True,4,1,0,2,0,1,0,0,1,1,1,5,0,60200,537,186,73,True,34,False,0,0,0,0,0,0,0,0,3,0,0,5,0,54322,534,128,67,False
901025,OC1_643138948,1951586,1620000,19,False,3,2,0,1,0,0,0,0,4,0,1,0,0,49790,650,214,71,True,15,True,1,0,0,0,0,1,0,0,2,1,0,5,0,48978,722,154,67,False
901026,OC1_643041750,2052801,1620000,46,True,1,0,0,0,0,1,0,0,0,0,1,8,1,91324,522,151,86,False,39,False,2,1,1,0,0,0,0,0,1,0,0,4,0,86952,545,142,87,True
901027,OC1_643034570,1770062,1620000,17,True,1,1,0,0,0,0,0,0,4,1,1,4,0,50498,658,171,68,False,27,False,2,0,1,0,1,0,0,0,2,0,0,7,1,56947,740,198,73,True
901028,OC1_642823785,2284467,1620000,14,True,2,0,0,2,0,0,0,0,2,0,0,1,0,47358,686,197,67,False,24,False,2,0,1,0,1,0,0,0,4,1,1,5,0,53788,693,165,71,True
901029,OC1_642820846,1900713,1620000,17,False,3,1,0,2,0,0,0,0,3,0,1,5,0,51219,606,212,69,True,16,True,1,0,0,0,0,0,1,0,3,1,0,5,0,49538,682,184,67,False
901030,OC1_642818382,2188266,1620000,21,True,1,0,0,1,0,0,0,0,6,1,0,3,0,52794,649,215,70,True,21,False,3,1,1,1,0,0,0,0,0,0,0,3,0,50122,675,144,68,False
901031,OC1_642814672,2106831,1620000,22,False,2,1,1,0,0,0,0,0,6,1,1,4,0,53833,660,190,73,False,24,True,2,1,0,0,0,1,0,0,0,0,0,3,0,51604,645,181,69,True
901032,OC1_642804735,2144314,1620000,33,False,2,0,0,0,0,0,2,0,3,1,1,3,0,52380,586,130,72,False,22,True,2,0,1,1,0,0,0,0,3,0,0,3,0,53396,642,220,70,True
901033,OC1_642751191,1765379,1620000,11,True,3,0,1,1,0,0,1,0,6,1,0,3,0,46169,649,217,67,False,18,False,0,0,0,0,0,0,0,0,0,0,1,3,0,48553,682,137,70,True
901034,OC1_642700121,2467929,1620000,26,False,1,0,0,0,0,1,0,0,6,1,1,5,0,54799,681,196,72,False,23,True,2,1,0,1,0,0,0,0,0,0,0,3,0,52647,680,173,70,True
901035,OC1_642684489,1745165,1620000,19,False,1,1,0,0,0,0,0,0,4,1,1,4,0,52142,652,184,71,False,24,True,3,1,0,1,0,1,0,0,2,0,0,5,0,54203,684,206,71,True
901036,OC1_642616857,1714283,1620000,28,False,3,0,0,0,2,0,1,0,2,0,1,4,0,54017,587,166,69,True,24,True,1,0,0,0,0,1,0,0,2,1,0,3,0,50493,601,137,63,False
901037,OC1_642609340,2648954,1620000,23,True,3,1,0,0,2,0,0,0,6,1,0,5,0,53493,668,220,69,True,22,False,1,0,0,1,0,0,0,0,0,0,0,1,0,49415,643,179,68,False
901038,OC1_642583753,1805104,1620000,32,True,1,0,1,0,0,0,0,0,3,1,0,6,0,53884,574,139,67,False,31,False,1,0,0,0,0,1,0,0,2,0,1,4,0,56933,625,118,71,True
901039,OC1_642574656,1767888,1620000,16,False,2,1,0,1,0,0,0,0,1,0,0,1,0,48164,700,144,66,False,30,True,2,0,0,0,0,2,0,0,5,1,1,8,2,58846,656,178,71,True
901040,OC1_642573279,1718737,1620000,22,True,0,0,0,0,0,0,0,0,6,1,0,4,0,54268,609,134,67,False,36,False,4,2,0,0,0,1,1,0,0,0,1,7,1,61189,690,194,74,True
901041,OC1_642566288,1963613,1620000,34,False,1,0,0,0,0,0,1,0,1,0,1,5,0,59316,662,180,74,True,31,True,2,1,0,0,0,1,0,0,3,1,0,5,0,55024,611,146,67,False
901042,OC1_642498671,1946044,1620000,19,True,0,0,0,0,0,0,0,0,0,1,0,5,0,50100,630,173,65,False,26,False,4,0,1,0,2,0,1,0,6,0,0,2,0,49073,610,148,71,True
901043,OC1_642496383,1696735,1620000,33,False,3,1,0,2,0,0,0,0,3,1,1,6,0,58553,751,167,77,True,15,True,1,0,0,0,1,0,0,0,0,0,0,4,0,50504,696,187,68,False
901044,OC1_642453468,1867875,1620000,23,False,4,0,0,1,2,1,0,0,2,1,1,8,1,58245,735,179,72,True,14,True,0,0,0,0,0,0,0,0,0,0,0,3,0,46022,696,150,68,False
901045,OC1_643877256,2491443,1620000,30,True,2,1,0,0,0,0,1,0,5,1,0,3,0,53732,632,148,68,True,33,False,1,0,0,0,0,1,0,0,1,0,1,6,0,59975,678,192,74,False
901046,OC1_643851503,1690854,1620000,30,False,1,0,0,0,1,0,0,0,5,0,1,6,1,55397,656,138,71,True,18,True,2,0,0,0,0,1,1,0,1,0,0,3,0,49470,658,174,66,False
901047,OC1_643847073,2087519,1620000,23,False,1,1,0,0,0,0,0,0,3,1,1,7,0,56443,670,219,70,False,20,True,3,1,0,1,0,0,1,0,3,0,0,3,0,51049,613,176,68,True
901048,OC1_643798019,1988104,1620000,30,True,0,0,0,0,0,0,0,0,4,1,1,3,0,54020,561,156,70,False,35,False,3,1,1,0,0,1,0,0,2,0,0,7,2,55714,570,154,72,True
901049,OC1_643789921,1699809,1620000,36,True,3,0,1,0,0,1,1,0,3,0,1,2,0,57689,629,183,74,True,32,False,1,0,0,0,0,0,1,0,3,1,0,4,0,55352,580,167,69,False
901050,OC1_643765550,1626058,1620000,26,True,1,0,1,0,0,0,0,0,2,1,1,11,3,60972,724,169,75,True,29,False,2,0,0,1,1,0,0,0,4,0,0,3,0,52624,638,179,69,False
901051,OC1_643583677,2311156,1620000,26,True,1,0,0,0,0,0,1,0,3,0,1,9,3,55355,627,147,69,False,26,False,3,1,1,0,0,0,1,0,0,1,0,2,0,50907,612,161,69,True
901052,OC1_643549242,2606682,1620000,27,False,3,1,1,0,0,0,1,0,4,1,1,6,0,57309,658,196,73,True,17,True,0,0,0,0,0,0,0,0,2,0,0,0,0,45078,621,182,66,False
901053,OC1_643534881,1676699,1620000,21,False,1,0,0,1,0,0,0,0,2,0,1,5,1,51891,646,169,72,True,25,True,2,1,1,0,0,0,0,0,4,1,0,4,0,51108,628,193,69,False
901054,OC1_643531960,1631722,1620000,21,False,0,0,0,0,0,0,0,0,6,0,0,3,0,49669,634,128,65,False,34,True,4,0,0,2,0,1,1,0,0,1,1,6,1,58527,657,207,75,True
901055,OC1_643530384,1739731,1620000,38,False,3,1,0,1,0,1,0,0,4,0,1,7,1,60888,673,167,77,True,18,True,1,0,0,1,0,0,0,0,2,1,0,4,0,51172,628,199,70,False
901056,OC1_643523756,1768774,1620000,26,True,3,0,1,0,0,0,2,0,2,0,0,5,0,52443,674,171,69,True,16,False,1,0,0,0,0,1,0,0,4,1,0,1,0,46048,635,156,67,False
901057,OC1_643347274,1651965,1620000,36,False,2,0,1,0,0,1,0,0,6,1,1,6,1,57789,481,203,68,True,27,True,1,0,0,0,0,0,1,0,0,0,0,0,0,48129,489,99,62,False
901058,OC1_643336822,1703355,1620000,26,False,1,0,0,0,0,0,1,0,2,1,1,7,1,53061,553,141,68,True,22,True,2,0,1,0,0,1,0,0,4,0,0,3,0,48931,608,149,67,False
901059,OC1_643338318,1807458,1620000,19,False,1,1,0,0,0,0,0,0,6,0,0,3,0,50430,683,179,69,False,26,True,3,1,0,0,0,1,1,0,0,1,0,3,0,53433,680,199,72,True
901060,OC1_643272807,1805760,1620000,39,True,1,0,1,0,0,0,0,0,3,1,1,9,1,57308,544,184,71,True,22,False,3,0,1,1,0,1,0,0,0,0,0,3,0,52269,594,180,67,False
901061,OC1_643262955,2284715,1620000,30,True,1,1,0,0,0,0,0,0,4,0,1,5,0,56296,615,152,70,False,25,False,3,1,1,0,0,0,1,0,2,0,0,4,0,51404,516,131,64,True
901062,OC1_643247762,2035609,1620000,21,False,1,0,0,1,0,0,0,0,6,1,0,4,0,51470,659,159,67,True,27,True,2,0,0,0,1,1,0,0,0,0,1,4,0,53594,665,148,72,False
901063,OC1_643042411,1846957,1620000,27,False,2,0,0,0,1,0,1,0,4,0,0,2,0,52228,630,152,67,False,24,True,2,0,0,0,0,1,1,0,2,1,1,7,0,56020,663,168,69,True
901064,OC1_642958831,1821746,1620000,14,True,0,0,0,0,0,0,0,0,6,1,0,2,0,46639,649,154,66,False,22,False,3,0,1,0,0,1,1,0,0,0,1,7,1,54340,652,184,71,True
901065,OC1_642939632,1753329,1620000,36,True,2,0,0,1,1,0,0,0,3,0,1,8,1,61811,604,183,73,True,36,False,1,0,0,0,0,1,0,0,1,1,0,2,0,55590,661,107,73,False
901066,OC1_642932872,2371384,1620000,32,False,0,0,0,0,0,0,0,0,1,1,1,7,0,59058,565,188,71,False,40,True,3,0,1,0,1,1,0,0,4,0,0,5,0,56758,619,132,71,True
901067,OC1_642826742,1703440,1620000,27,True,2,0,2,0,0,0,0,0,5,1,1,7,1,56909,674,154,70,True,18,False,2,0,0,1,1,0,0,0,0,0,0,2,0,47680,604,158,67,False
901068,OC1_642815888,2289716,1620000,19,True,1,1,0,0,0,0,0,0,3,1,1,3,0,50367,625,226,70,False,26,False,3,1,0,0,1,0,1,0,3,0,0,4,0,51751,641,149,68,True
901069,OC1_642784538,2463093,1620000,23,False,2,1,0,0,0,0,1,0,4,1,1,6,0,54698,661,178,70,True,19,True,1,0,0,0,0,1,0,0,2,0,0,3,0,51114,681,191,70,False
901070,OC1_642724613,2093124,1620000,28,False,1,0,0,0,1,0,0,0,3,1,1,3,0,53209,566,175,71,False,31,True,3,1,0,0,1,0,1,0,3,0,0,4,0,54832,663,174,71,True
901071,OC1_642690405,1885585,1620000,26,True,1,0,0,1,0,0,0,0,2,0,1,2,0,50901,574,138,68,False,26,False,2,0,0,0,1,0,1,0,4,1,0,9,1,54587,602,174,70,True
901072,OC1_642672546,1646730,1620000,28,True,4,0,1,0,1,2,0,0,6,1,1,7,1,55827,644,172,71,True,13,False,0,0,0,0,0,0,0,0,0,0,0,2,0,47064,682,151,68,False
901073,OC1_642665651,1833002,1620000,33,True,2,0,0,0,0,1,1,0,2,0,1,3,0,57909,643,160,74,True,35,False,0,0,0,0,0,0,0,0,1,1,0,7,1,59730,671,173,72,False
901074,OC1_642647933,1710673,1620000,41,True,2,2,0,0,0,0,0,0,6,1,1,10,4,62976,651,180,74,True,19,False,2,0,0,1,1,0,0,0,0,0,0,3,0,48990,620,127,68,False
901075,OC1_642639733,1680118,1620000,26,True,0,0,0,0,0,0,0,0,0,1,0,2,0,52648,649,172,68,False,28,False,4,0,0,1,1,0,2,0,6,0,1,6,0,58700,681,197,74,True
901076,OC1_642630811,2000486,1620000,27,False,2,0,1,0,0,1,0,0,5,1,0,7,0,54391,670,189,69,False,22,True,2,1,1,0,0,0,0,0,1,0,1,5,0,53692,670,167,71,True
901077,OC1_642537299,2425562,1620000,27,True,0,0,0,0,0,0,0,0,2,1,0,7,1,55329,655,174,68,False,18,False,3,0,0,1,0,1,1,0,0,0,1,1,0,49139,624,159,69,True
901078,OC1_642527794,2087172,1620000,24,True,0,0,0,0,0,0,0,0,6,1,1,3,0,52838,666,163,71,True,15,False,4,1,1,0,0,0,2,0,0,0,0,3,0,49708,701,207,70,False
901079,OC1_642479653,1771725,1620000,30,False,2,0,0,0,0,2,0,0,1,0,0,6,0,55406,635,181,71,True,23,True,2,0,0,1,1,0,0,0,3,1,1,4,0,53741,631,142,69,False
901080,OC1_642474261,1733956,1620000,31,True,1,0,0,0,1,0,0,0,0,1,0,4,0,53757,626,121,71,False,34,False,2,0,1,1,0,0,0,0,3,0,1,10,3,60849,683,180,75,True
901081,OC1_642467263,1946025,1620000,31,True,1,1,0,0,0,0,0,0,3,1,1,7,0,58981,650,235,74,True,27,False,3,1,0,1,1,0,0,0,3,0,0,3,0,51717,602,130,67,False
901082,OC1_642385261,1659703,1620000,34,True,3,0,0,1,1,1,0,0,1,1,1,7,1,59109,627,199,72,True,19,False,0,0,0,0,0,0,0,0,5,0,0,1,0,47217,637,122,66,False
901083,OC1_642380548,2101441,1620000,24,True,1,0,0,0,0,0,1,0,6,1,0,7,1,56764,661,199,71,True,31,False,2,1,0,0,0,1,0,0,0,0,1,4,0,53353,625,125,72,False
901084,OC1_642145611,1913547,1620000,17,True,0,0,0,0,0,0,0,0,5,0,0,2,0,47198,580,173,66,False,22,False,4,2,1,0,1,0,0,0,1,1,0,4,0,48957,636,156,67,True
901085,OC1_642135302,1655821,1620000,19,False,0,0,0,0,0,0,0,0,0,1,0,2,0,47351,649,157,67,False,31,True,3,1,1,0,0,0,1,0,6,0,1,7,1,59038,665,188,73,True
901086,OC1_642093571,2470748,1620000,30,False,1,0,0,1,0,0,0,0,3,0,0,4,0,55789,648,189,70,False,23,True,1,0,0,0,0,1,0,0,2,1,0,5,0,53077,634,191,68,True
901087,OC1_643904664,1869841,1620000,14,False,1,0,0,1,0,0,0,0,5,0,0,3,0,46102,621,150,64,False,24,True,3,2,1,0,0,0,0,0,1,1,1,2,0,50676,589,171,70,True
901088,OC1_643900002,2249287,1620000,28,False,1,0,0,0,1,0,0,0,2,1,1,3,0,52949,562,166,71,False,23,True,3,1,0,0,1,1,0,0,4,0,0,3,0,47998,541,159,65,True
901089,OC1_643842554,1823402,1620000,23,False,1,0,0,0,0,0,1,0,5,1,1,8,2,54002,590,217,72,True,18,True,3,1,1,0,0,0,1,0,1,0,0,0,0,46692,585,148,67,False
901090,OC1_643841254,1656059,1620000,8,False,0,0,0,0,0,0,0,0,3,1,0,3,0,46515,705,195,68,False,20,True,4,0,1,0,0,1,2,0,3,0,1,5,0,53366,722,207,74,True
901091,OC1_643735342,2239557,1620000,30,False,0,0,0,0,0,0,0,0,6,1,0,8,2,57251,662,179,69,False,19,True,3,1,0,0,1,0,1,0,0,0,1,2,0,51659,670,151,69,True
901092,OC1_643693359,2308559,1620000,28,True,1,0,0,0,1,0,0,0,1,1,0,4,0,53939,703,132,69,False,29,False,3,1,0,0,1,1,0,0,2,0,1,5,1,54629,608,190,72,True
901093,OC1_643685819,2064082,1620000,23,True,1,0,0,0,0,1,0,0,1,0,0,3,0,49715,624,165,70,True,25,False,3,0,2,0,0,0,1,0,5,1,1,5,0,53750,621,166,70,False
901094,OC1_643617785,2115458,1620000,19,False,2,0,0,1,0,1,0,0,0,0,0,5,1,51475,678,170,69,True,28,True,2,0,0,0,0,1,1,0,6,1,0,4,0,52375,604,156,67,False
901095,OC1_643613513,1874571,1620000,20,False,1,0,0,0,0,0,1,0,6,0,0,4,0,48965,634,137,67,False,19,True,3,2,0,1,0,0,0,0,0,1,1,4,0,52401,652,212,70,True
