,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
0,OC1_643904270,1307942,1307942,22,True,2,0,0,1,1,0,0,0,5,1,0,8,1,45415,588,147,61,True,11,False,0,0,0,0,0,0,0,0,1,0,0,1,0,34912,551,92,57,False
1,OC1_643899432,1794844,1794844,35,True,0,0,0,0,0,0,0,0,5,1,0,3,2,56728,631,155,72,False,37,False,4,0,2,1,0,0,1,0,1,0,1,10,0,66541,679,178,79,True
2,OC1_643897115,1587684,1587684,7,True,0,0,0,0,0,0,0,0,1,0,0,1,3,43540,664,130,66,False,29,False,2,0,0,0,1,0,1,0,5,1,1,11,0,58468,659,232,74,True
3,OC1_643892389,1585771,1585771,39,True,1,0,0,0,0,1,0,0,2,1,1,11,2,61197,659,229,78,True,20,False,2,1,0,0,0,0,1,0,4,0,0,2,0,46251,598,120,67,False
4,OC1_643883552,2026946,2026946,23,False,0,0,0,0,0,0,0,0,4,1,1,9,4,63925,721,220,79,False,31,True,4,0,2,0,1,0,1,0,2,0,1,10,0,69092,781,200,80,True
5,OC1_643868516,1999149,1999149,18,False,1,0,0,0,0,0,1,0,6,0,1,8,2,62829,789,222,77,False,28,True,4,0,0,0,1,1,2,0,0,1,0,8,0,66021,812,232,77,True
6,OC1_643862486,1587609,1587609,22,True,1,0,0,0,1,0,0,0,4,1,1,9,1,54234,694,159,72,True,18,False,2,1,1,0,0,0,0,0,2,0,0,3,0,48619,648,139,67,False
7,OC1_643858043,1443151,1443151,26,False,2,0,0,0,2,0,0,0,6,1,1,8,1,54700,624,183,70,True,17,True,2,0,0,1,0,0,1,0,0,0,0,1,0,40668,556,135,62,False
8,OC1_643852296,1976834,1976834,23,True,4,0,0,1,1,2,0,0,1,0,2,8,2,68734,905,194,84,True,16,False,1,0,0,0,0,1,0,0,5,1,0,8,0,62695,883,235,76,False
9,OC1_643846570,1984450,1984450,35,False,2,0,0,0,2,0,0,0,3,1,2,11,5,68418,683,233,82,True,22,True,2,1,0,0,0,1,0,0,3,0,0,4,0,61536,829,197,77,False
10,OC1_643836338,1653669,1653669,20,True,4,2,1,0,0,1,0,0,4,1,1,11,2,60628,733,219,75,True,17,False,0,0,0,0,0,0,0,0,1,0,0,1,0,46963,630,131,68,False
11,OC1_643807995,2348131,2348131,35,False,5,1,3,0,0,0,0,1,6,1,0,8,2,79667,964,252,88,True,30,True,1,0,0,1,0,0,0,0,0,0,2,6,0,77866,966,245,87,False
12,OC1_643807469,1461597,1461597,17,False,1,0,0,0,0,1,0,0,3,0,0,1,2,41298,496,113,62,False,33,True,2,0,1,0,1,0,0,0,3,1,1,9,0,56318,617,158,69,True
13,OC1_643801865,1995622,1995622,23,False,3,1,1,0,0,1,0,0,4,1,1,5,2,65604,837,196,78,False,39,True,2,2,0,0,0,0,0,0,2,0,1,10,0,70186,768,171,81,True
14,OC1_643770888,1390043,1390043,14,False,0,0,0,0,0,0,0,0,3,0,0,1,0,37529,476,92,57,False,28,True,3,0,0,1,0,1,1,0,1,1,0,5,0,49180,581,168,63,True
15,OC1_643771055,883602,883602,14,True,2,0,1,1,0,0,0,0,6,0,0,8,1,32295,384,92,48,True,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,19780,275,64,41,False
16,OC1_643764329,1494173,1494173,34,False,2,1,0,1,0,0,0,0,6,0,1,8,1,55651,574,179,69,True,11,True,1,0,0,0,0,1,0,0,0,1,0,3,0,42674,570,148,61,False
17,OC1_643760402,1575934,1575934,31,False,1,0,0,1,0,0,0,0,0,1,1,9,2,57289,570,142,66,True,24,True,2,0,0,0,1,0,1,0,3,0,0,2,0,46427,547,156,62,False
