,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
901000,OC1_643899432,1794844,600000,11,True,0,0,0,0,0,0,0,0,2,0,0,0,0,18578,215,54,35,False,6,False,1,0,0,1,0,0,0,0,1,0,0,0,0,16962,221,56,35,True
901001,OC1_643883552,2026946,600000,2,False,0,0,0,0,0,0,0,0,1,0,0,0,0,15354,217,66,35,False,6,True,0,0,0,0,0,0,0,0,2,0,0,0,0,17258,233,52,36,True
901002,OC1_643868516,1999149,600000,6,False,0,0,0,0,0,0,0,0,3,0,0,0,0,16900,239,70,36,False,4,True,1,0,0,0,1,0,0,0,0,0,0,0,0,16945,243,75,36,True
901003,OC1_643852296,1976834,600000,4,True,1,0,0,1,0,0,0,0,1,0,0,0,0,16294,239,59,37,True,2,False,0,0,0,0,0,0,0,0,2,0,0,0,0,15817,251,69,36,False
901004,OC1_643846570,1984450,600000,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,15900,239,72,35,True,6,True,0,0,0,0,0,0,0,0,3,0,0,0,0,17318,255,70,38,False
901005,OC1_643836338,1653669,600000,5,True,1,0,0,0,0,1,0,0,2,0,0,0,0,18432,261,72,35,True,3,False,0,0,0,0,0,0,0,0,1,0,0,0,0,14726,202,54,33,False
901006,OC1_643807995,2348131,600000,4,False,1,1,0,0,0,0,0,0,3,0,0,0,0,17264,262,66,37,True,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,16442,255,64,35,False
901007,OC1_643801865,1995622,600000,9,False,1,0,0,0,0,1,0,0,1,0,0,1,0,19526,238,54,35,False,7,True,0,0,0,0,0,0,0,0,2,0,0,0,0,16580,187,60,33,True
901008,OC1_643751092,1883213,600000,2,False,1,0,0,0,0,0,1,0,0,0,0,0,0,14639,205,64,34,False,7,True,0,0,0,0,0,0,0,0,3,0,0,0,0,17027,237,74,36,True
901009,OC1_643740371,2576800,600000,2,False,0,0,0,0,0,0,0,0,3,0,0,0,0,15169,217,76,34,True,7,True,1,0,0,0,0,1,0,0,0,0,0,0,0,18515,262,58,36,False
901010,OC1_643734694,1717535,600000,6,False,0,0,0,0,0,0,0,0,3,0,0,0,0,15812,188,66,33,False,9,True,0,0,0,0,0,0,0,0,0,0,0,0,0,18174,220,64,36,True
901011,OC1_643732148,2258464,600000,1,False,0,0,0,0,0,0,0,0,1,0,0,0,0,16174,275,78,37,True,2,True,1,0,0,0,0,0,1,0,2,0,0,0,0,15411,244,60,35,False
901012,OC1_643726388,2407358,600000,4,True,1,0,0,0,0,0,1,0,3,0,0,0,0,16210,233,69,36,True,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,16824,240,60,36,False
901013,OC1_643631982,1947299,600000,4,True,0,0,0,0,0,0,0,0,3,0,0,0,0,16270,241,84,37,True,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,15792,232,53,35,False
901014,OC1_643388905,2244562,600000,8,False,1,0,0,1,0,0,0,0,0,0,0,0,0,16920,233,48,35,True,4,True,0,0,0,0,0,0,0,0,3,0,0,0,0,16319,223,72,35,False
901015,OC1_643373760,1672377,600000,10,True,0,0,0,0,0,0,0,0,3,0,0,0,0,18462,208,69,33,True,7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,17036,208,44,34,False
901016,OC1_643367016,1991847,600000,8,True,0,0,0,0,0,0,0,0,2,0,0,0,0,18215,250,60,37,True,5,False,1,0,0,0,1,0,0,0,0,0,0,0,0,16849,240,68,35,False
901017,OC1_643334845,2096857,600000,4,False,0,0,0,0,0,0,0,0,2,0,0,0,0,16766,260,64,36,False,5,True,0,0,0,0,0,0,0,0,1,0,0,0,0,16349,199,78,35,True
901018,OC1_643297473,1914441,600000,9,False,1,0,1,0,0,0,0,0,0,0,0,0,0,18272,249,61,36,False,8,True,0,0,0,0,0,0,0,0,3,0,0,0,0,18087,258,56,36,True
901019,OC1_643291501,2109510,600000,0,False,0,0,0,0,0,0,0,0,3,0,0,0,0,15249,257,74,35,False,4,True,1,1,0,0,0,0,0,0,0,0,0,0,0,17219,242,60,36,True
901020,OC1_643286208,1683618,600000,2,False,0,0,0,0,0,0,0,0,3,0,0,0,0,15397,225,65,36,False,7,True,1,1,0,0,0,0,0,0,0,0,0,0,0,17306,211,80,37,True
901021,OC1_643211227,2193223,600000,4,True,0,0,0,0,0,0,0,0,3,0,0,0,0,16117,235,78,35,True,7,False,1,0,0,0,0,0,1,0,0,0,0,0,0,17421,228,68,37,False
901022,OC1_643201832,1801898,600000,3,True,0,0,0,0,0,0,0,0,3,0,0,0,0,16491,244,82,37,True,5,False,1,0,0,1,0,0,0,0,0,0,0,0,0,15753,229,63,36,False
901023,OC1_643199288,1909678,600000,7,True,0,0,0,0,0,0,0,0,0,0,0,0,0,16180,206,44,36,True,12,False,1,0,0,0,0,1,0,0,3,0,0,0,0,18492,206,70,35,False
901024,OC1_643193616,1895733,600000,9,True,1,1,0,0,0,0,0,0,0,0,0,0,0,17779,213,60,36,True,7,False,0,0,0,0,0,0,0,0,3,0,0,0,0,16151,199,50,34,False
901025,OC1_643138948,1951586,600000,4,False,0,0,0,0,0,0,0,0,3,0,0,0,0,15822,204,78,36,True,7,True,1,0,0,0,0,1,0,0,0,0,0,0,0,17586,256,51,37,False
901026,OC1_643041750,2052801,600000,18,True,0,0,0,0,0,0,0,0,0,0,0,2,0,33923,213,40,39,False,8,False,0,0,0,0,0,0,0,0,1,0,0,0,0,26739,182,46,37,True
901027,OC1_643034570,1770062,600000,9,True,1,1,0,0,0,0,0,0,1,0,0,0,0,18704,229,66,35,False,5,False,0,0,0,0,0,0,0,0,2,0,0,0,0,16305,248,60,35,True
901028,OC1_642823785,2284467,600000,2,True,0,0,0,0,0,0,0,0,0,0,0,0,0,14909,230,65,34,False,6,False,1,0,1,0,0,0,0,0,3,0,0,0,0,16842,242,60,36,True
901029,OC1_642820846,1900713,600000,4,False,1,1,0,0,0,0,0,0,3,0,0,0,0,15744,211,72,35,True,4,True,0,0,0,0,0,0,0,0,0,0,0,0,0,16308,259,58,36,False
901030,OC1_642818382,2188266,600000,3,True,0,0,0,0,0,0,0,0,3,0,0,0,0,16772,244,82,37,True,3,False,1,1,0,0,0,0,0,0,0,0,0,0,0,15537,252,56,34,False
901031,OC1_642814672,2106831,600000,2,False,1,0,1,0,0,0,0,0,3,0,0,0,0,15887,257,74,37,False,7,True,0,0,0,0,0,0,0,0,0,0,0,0,0,17402,243,60,37,True
901032,OC1_642804735,2144314,600000,10,False,0,0,0,0,0,0,0,0,1,0,0,0,0,17521,220,54,37,False,4,True,1,0,1,0,0,0,0,0,2,0,0,0,0,17251,229,87,35,True
901033,OC1_642751191,1765379,600000,6,True,1,0,0,1,0,0,0,0,3,0,0,0,0,18448,275,82,38,False,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,15021,238,59,35,True
901034,OC1_642700121,2467929,600000,8,False,0,0,0,0,0,0,0,0,3,0,0,0,0,18096,255,82,38,False,5,True,0,0,0,0,0,0,0,0,0,0,0,0,0,16466,236,47,34,True
901035,OC1_642684489,1745165,600000,6,False,0,0,0,0,0,0,0,0,3,0,0,0,0,16841,224,62,35,False,9,True,1,0,0,0,0,1,0,0,0,0,0,1,0,19257,223,63,36,True
