,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
1001000,PH2_68711047,1978768,1200000,11,False,2,1,0,0,0,0,1,0,3,0,0,3,0,37147,519,137,57,True,14,True,1,0,0,0,1,0,0,0,3,1,0,3,0,35903,476,114,56,False
1001001,PH2_68702365,2212325,1200000,20,True,2,0,0,1,1,0,0,0,3,0,0,3,0,40994,554,128,59,False,20,False,1,0,0,0,0,0,1,0,3,1,0,3,0,40765,482,131,57,True
1001002,PH2_68585674,1789699,1200000,16,False,1,0,0,0,0,0,1,0,3,0,0,2,0,38404,522,128,58,False,16,True,2,1,0,0,0,1,0,0,3,1,0,2,0,37147,498,125,59,True
1001003,PH2_68578889,2032014,1200000,19,True,1,0,0,1,0,0,0,0,0,1,0,3,0,40469,489,132,58,False,15,False,2,0,0,0,0,1,1,0,6,0,0,3,0,38773,514,107,56,True
1001004,PH2_68572192,1680980,1200000,19,False,2,1,0,1,0,0,0,0,1,1,0,4,0,40264,457,142,58,True,18,True,1,0,1,0,0,0,0,0,5,0,0,3,0,38266,458,105,55,False
1001005,PH2_68559184,1659467,1200000,19,False,1,0,0,0,0,0,1,0,6,1,0,3,0,38967,488,117,60,True,11,True,2,0,1,1,0,0,0,0,0,0,0,2,0,34727,514,122,54,False
1001006,PH2_68537393,1962332,1200000,32,True,2,1,0,0,0,0,1,0,6,1,0,4,0,45308,414,148,55,True,24,False,0,0,0,0,0,0,0,0,0,0,0,3,0,40675,472,95,55,False
1001007,PH2_68531098,1860654,1200000,16,True,2,1,0,0,0,1,0,0,5,0,0,2,0,37259,518,101,56,False,12,False,0,0,0,0,0,0,0,0,1,0,0,1,0,35440,447,145,57,True
1001008,PH2_68521770,2232750,1200000,9,False,1,1,0,0,0,0,0,0,4,1,0,3,0,35632,538,132,54,False,17,True,1,0,0,0,0,0,1,0,2,0,0,1,0,36882,525,130,60,True
1001009,PH2_68525081,2126038,1200000,14,False,1,0,1,0,0,0,0,0,4,0,0,2,0,36238,488,120,60,True,8,True,1,0,0,0,0,0,1,0,2,1,0,4,0,35520,539,122,57,False
