,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
0,PH2_68751829,929552,557731,22,False,0,0,0,0,0,0,0,0,0,0,0,0,0,37543,106,0,55,True,21,True,0,0,0,0,0,0,0,0,0,0,0,1,0,38341,130,0,56,False
1,PH2_68746825,1475025,885015,13,True,1,0,0,0,0,1,0,0,4,0,0,0,0,29637,338,84,45,True,14,False,0,0,0,0,0,0,0,0,2,0,0,0,0,27288,286,80,44,False
2,PH2_68744676,1165704,699422,6,False,0,0,0,0,0,0,0,0,4,0,0,0,0,20399,311,57,40,True,4,True,1,0,0,0,0,1,0,0,0,0,0,0,0,19577,302,68,39,False
3,PH2_68711047,1978768,1187260,11,False,2,1,0,0,0,0,1,0,3,0,0,3,0,37147,519,137,57,True,14,True,1,0,0,0,1,0,0,0,3,1,0,3,0,35903,476,114,56,False
4,PH2_68702855,1523552,914131,15,True,0,0,0,0,0,0,0,0,6,0,0,1,0,32302,423,91,48,False,15,False,2,0,0,0,0,1,1,0,0,0,0,0,0,29067,357,103,48,True
5,PH2_68702365,2212325,1327395,23,True,2,0,0,1,1,0,0,0,3,0,0,3,0,45734,604,140,63,False,26,False,1,0,0,0,0,0,1,0,3,1,0,4,0,49804,538,151,66,True
6,PH2_68701101,1605264,963158,14,True,0,0,0,0,0,0,0,0,5,1,0,1,0,31703,395,110,52,False,12,False,2,1,0,0,1,0,0,0,1,0,0,1,0,32099,452,114,52,True
7,PH2_68670908,1194140,716484,28,True,0,0,0,0,0,0,0,0,0,0,0,2,1,46314,147,0,63,True,33,False,0,0,0,0,0,0,0,0,0,0,0,0,0,43499,118,0,65,False
8,PH2_68627408,984936,590961,21,False,0,0,0,0,0,0,0,0,0,0,0,0,0,36781,116,0,56,False,21,True,0,0,0,0,0,0,0,0,0,0,0,0,0,35453,97,0,54,True
9,PH2_68585674,1789699,1073819,14,False,1,0,0,0,0,0,1,0,3,0,0,2,0,34111,454,104,52,False,14,True,2,1,0,0,0,1,0,0,3,0,0,1,0,32395,435,109,54,True
10,PH2_68578889,2032014,1219208,19,True,1,0,0,1,0,0,0,0,0,1,0,3,0,42356,499,136,58,False,15,False,2,0,0,0,0,1,1,0,6,0,0,3,0,40716,521,107,57,True
