,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
1001000,PH2_68711047,1978768,1620000,17,False,2,1,0,0,0,0,1,0,3,0,0,5,0,50656,677,181,69,True,20,True,2,0,0,0,2,0,0,0,3,1,1,5,1,49867,584,163,68,False
1001001,PH2_68702365,2212325,1620000,30,True,2,0,0,1,1,0,0,0,3,0,1,3,0,56566,675,160,72,False,37,False,2,0,0,1,0,0,1,0,3,1,0,5,1,57926,566,195,71,True
1001002,PH2_68585674,1789699,1620000,20,False,1,0,0,0,0,0,1,0,3,0,0,3,0,50269,690,152,70,False,28,True,3,1,0,0,0,2,0,0,3,1,1,6,0,57343,690,200,76,True
1001003,PH2_68578889,2032014,1620000,28,True,2,0,0,2,0,0,0,0,0,1,1,5,0,56204,607,174,71,False,22,False,2,0,0,0,0,1,1,0,6,0,0,4,0,51388,644,147,66,True
1001004,PH2_68572192,1680980,1620000,28,False,3,1,1,1,0,0,0,0,1,1,0,7,1,57965,625,211,72,True,21,True,1,0,1,0,0,0,0,0,5,0,0,4,0,49103,625,133,66,False
1001005,PH2_68559184,1659467,1620000,31,False,2,0,0,0,0,0,2,0,6,1,1,7,1,57841,664,169,75,True,16,True,2,0,1,1,0,0,0,0,0,0,0,3,0,48234,667,173,66,False
1001006,PH2_68537393,1962332,1620000,50,True,3,1,0,0,0,1,1,0,6,1,1,5,0,63776,536,198,72,True,32,False,1,0,0,0,0,1,0,0,0,0,0,4,0,53813,601,113,65,False
1001007,PH2_68531098,1860654,1620000,18,True,2,1,0,0,0,1,0,0,5,0,0,5,0,51255,718,142,68,False,19,False,1,0,0,1,0,0,0,0,1,0,1,4,0,52093,581,201,71,True
1001008,PH2_68521770,2232750,1620000,17,False,1,1,0,0,0,0,0,0,4,1,0,3,0,49190,652,159,67,False,30,True,3,0,0,0,2,0,1,0,2,0,1,4,0,54689,647,183,75,True
1001009,PH2_68525081,2126038,1620000,23,False,1,0,1,0,0,0,0,0,4,0,0,3,0,50197,626,151,70,True,17,True,3,0,0,0,2,0,1,0,2,1,1,5,0,50800,676,173,71,False
1001010,PH2_68491707,1656468,1620000,22,False,0,0,0,0,0,0,0,0,6,0,0,3,0,51204,599,161,66,False,36,True,3,1,1,0,0,0,1,0,0,1,1,8,1,61519,657,173,75,True
1001011,PH2_68488924,1820336,1620000,33,True,3,0,0,1,1,1,0,0,2,1,2,6,0,60747,690,193,76,True,23,False,1,0,0,0,1,0,0,0,4,0,0,3,0,52568,664,147,69,False
1001012,PH2_68482939,2047662,1620000,25,True,2,1,0,1,0,0,0,0,1,0,0,4,0,50899,599,143,68,False,26,False,2,0,0,0,2,0,0,0,5,1,0,6,0,53612,617,170,69,True
1001013,PH2_68472128,1773223,1620000,28,True,1,0,0,0,0,1,0,0,0,0,0,0,0,48507,576,97,64,False,38,False,3,0,0,0,2,0,1,0,6,1,1,9,1,60106,571,153,71,True
1001014,PH2_68416742,2140394,1620000,26,True,2,2,0,0,0,0,0,0,3,0,1,4,0,53364,574,209,73,True,25,False,2,0,0,0,0,1,1,0,3,1,0,6,0,52895,591,138,66,False
1001015,PH2_68408989,1799808,1620000,36,True,3,0,0,2,0,1,0,0,4,1,1,7,1,59914,653,203,75,True,17,False,1,0,0,0,1,0,0,0,2,0,0,1,0,47421,618,148,69,False
1001016,PH2_68400181,1934619,1620000,42,True,4,0,0,1,0,1,2,0,6,0,1,4,0,58028,594,142,70,True,29,False,0,0,0,0,0,0,0,0,0,0,0,3,0,53229,585,151,66,False
1001017,PH2_68389352,1703001,1620000,35,True,3,1,1,0,0,1,0,0,0,0,1,6,0,58394,692,176,73,True,16,False,0,0,0,0,0,0,0,0,3,1,0,3,0,48185,611,137,65,False
1001018,PH2_68341693,1953061,1620000,24,True,2,1,1,0,0,0,0,0,6,1,0,5,0,52929,666,196,69,False,26,False,2,1,0,1,0,0,0,0,0,0,1,3,0,51816,618,140,71,True
1001019,PH2_68330444,2470174,1620000,31,True,2,0,0,1,0,0,1,0,3,0,1,5,0,54924,524,165,68,True,31,False,2,0,0,1,1,0,0,0,0,1,0,4,0,53248,573,168,67,False
1001020,PH2_68323783,1729984,1620000,28,True,3,0,0,0,2,0,1,0,5,1,1,5,0,55968,618,208,72,True,23,False,1,1,0,0,0,0,0,0,1,0,0,3,0,50251,590,190,70,False
1001021,PH2_68316990,2013021,1620000,35,True,2,0,0,1,1,0,0,0,6,1,1,7,1,59509,636,225,73,True,27,False,2,0,1,0,1,0,0,0,0,0,0,0,0,50052,629,112,71,False
1001022,PH2_68290925,1902176,1620000,25,False,3,0,1,0,1,1,0,0,3,1,1,8,1,56134,641,148,72,True,18,True,1,0,1,0,0,0,0,0,3,0,0,4,0,50387,657,166,67,False
1001023,PH2_68272112,1871004,1620000,26,True,2,1,1,0,0,0,0,0,3,1,1,5,0,55103,613,163,72,True,20,False,2,1,0,0,0,0,1,0,3,0,0,5,0,49289,608,156,66,False
1001024,PH2_68260822,2022201,1620000,20,True,2,0,2,0,0,0,0,0,3,1,0,6,0,50218,605,136,67,False,18,False,2,0,0,0,1,1,0,0,3,0,1,5,0,50179,654,173,69,True
1001025,PH2_68258880,1720764,1620000,30,False,3,0,2,0,1,0,0,0,6,0,0,5,0,55696,676,205,71,True,18,True,1,1,0,0,0,0,0,0,0,1,1,2,0,47575,590,138,66,False
1001026,PH2_68227604,1911211,1620000,35,False,2,0,1,0,1,0,0,0,3,0,0,5,1,54393,577,128,69,True,24,True,2,0,0,1,1,0,0,0,3,1,1,4,0,52703,579,176,69,False
1001027,PH2_68218020,2116816,1620000,28,True,3,0,0,0,1,0,2,0,4,1,1,8,2,57830,637,182,72,True,15,False,1,0,0,1,0,0,0,0,2,0,0,5,0,52681,699,166,71,False
1001028,PH2_68187353,2171008,1620000,24,True,2,1,0,0,0,1,0,0,3,0,0,5,0,51946,616,175,68,False,24,False,2,0,0,0,0,1,1,0,1,1,1,4,0,54245,661,140,72,True
1001029,PH2_68185120,1866496,1620000,23,False,1,0,0,1,0,0,0,0,6,0,0,4,0,52417,659,149,69,False,37,True,2,0,0,0,1,1,0,0,0,1,1,7,0,61605,722,189,76,True
1001030,PH2_68177596,1748789,1620000,24,False,3,1,2,0,0,0,0,0,6,0,1,6,0,55294,621,159,69,False,26,True,1,0,0,0,0,1,0,0,0,1,0,6,0,56459,674,211,69,True
1001031,PH2_67873681,2018942,1620000,32,True,2,0,0,0,0,2,0,0,4,1,0,3,0,50842,563,156,67,False,25,False,2,1,0,0,0,0,1,0,2,0,0,4,0,52118,584,191,65,True
1001032,PH2_67873356,1649854,1620000,40,True,2,1,0,1,0,0,0,0,3,1,1,9,2,61351,562,205,73,True,25,False,2,0,0,1,0,0,1,0,3,0,0,1,0,50777,563,138,69,False
1001033,PH2_67865942,1792879,1620000,19,False,0,0,0,0,0,0,0,0,1,1,0,3,0,51045,669,164,69,False,32,True,4,1,2,0,0,1,0,0,5,0,1,6,0,60039,665,246,75,True
1001034,PH2_67791685,1823175,1620000,35,True,0,0,0,0,0,0,0,0,3,0,0,0,0,52699,503,94,67,False,51,False,3,0,0,1,0,1,1,0,3,0,0,8,1,62554,522,163,69,True
1001035,PH2_67781357,1890871,1620000,28,False,0,0,0,0,0,0,0,0,5,1,0,3,0,49929,513,138,63,False,41,True,3,1,0,0,1,1,0,0,1,0,1,6,1,59826,575,149,72,True
1001036,PH2_67749292,2066270,1620000,23,True,0,0,0,0,0,0,0,0,0,0,1,4,0,54862,633,184,71,False,21,False,4,0,1,2,0,0,1,0,6,1,0,4,0,49695,654,191,69,True
1001037,PH2_67746813,1660600,1620000,29,False,0,0,0,0,0,0,0,0,3,0,0,2,0,51543,589,122,70,False,38,True,4,2,0,0,0,1,1,0,3,1,1,9,2,60393,603,183,74,True
1001038,PH2_67746183,2126834,1620000,26,False,1,1,0,0,0,0,0,0,3,1,1,6,1,55166,655,201,70,False,21,True,3,0,0,1,0,2,0,0,3,0,0,4,0,51554,663,181,70,True
1001039,PH2_67716234,1854159,1620000,20,True,2,0,1,0,1,0,0,0,6,1,0,5,0,51865,636,219,68,True,24,False,2,0,0,0,1,0,1,0,0,0,1,3,0,50293,607,127,69,False
1001040,PH2_67711637,1869315,1620000,33,True,1,0,0,0,0,0,1,0,6,1,1,5,1,56017,601,143,71,True,29,False,3,1,1,0,0,0,1,0,0,0,0,4,0,52282,580,148,67,False
1001041,PH2_67709614,1650636,1620000,22,True,0,0,0,0,0,0,0,0,3,0,0,0,0,45669,552,99,63,False,39,False,3,1,0,0,1,1,0,0,0,1,1,7,0,61444,606,228,74,True
1001042,PH2_67699335,1946761,1620000,24,False,2,0,1,0,0,1,0,0,3,0,1,4,0,52026,635,166,69,False,23,True,2,0,0,0,0,1,1,0,3,0,0,7,2,54429,701,141,69,True
1001043,PH2_67687367,2411648,1620000,25,False,1,1,0,0,0,0,0,0,1,1,0,3,0,50695,668,118,70,False,26,True,2,0,0,1,1,0,0,0,5,0,1,9,4,58111,680,154,74,True
1001044,PH2_67680710,1714869,1620000,25,True,1,0,0,1,0,0,0,0,3,1,1,9,2,58083,712,187,74,True,23,False,3,1,0,0,0,0,2,0,3,0,0,1,0,48274,658,165,68,False
1001045,PH2_67675593,1870885,1620000,27,True,1,0,0,1,0,0,0,0,6,1,0,5,0,50727,580,159,68,True,18,False,3,1,1,1,0,0,0,0,0,0,0,2,0,46635,620,157,66,False
1001046,PH2_67670699,1955885,1620000,20,False,1,0,0,0,1,0,0,0,0,0,1,2,0,52596,635,124,70,False,41,True,3,0,0,2,0,0,1,0,6,1,0,9,1,61296,624,211,72,True
1001047,PH2_67666067,1952577,1620000,21,True,1,0,0,1,0,0,0,0,1,1,1,5,0,54593,705,196,72,False,22,False,2,0,1,0,0,0,1,0,5,0,0,4,0,52039,710,170,71,True
1001048,PH2_67659839,1874212,1620000,32,False,1,0,0,1,0,0,0,0,4,1,0,6,0,56800,670,151,72,True,26,True,3,1,1,1,0,0,0,0,2,0,1,2,0,51723,626,148,71,False
1001049,PH2_67606721,2172622,1620000,22,False,2,0,0,1,0,1,0,0,2,1,1,5,0,53293,655,172,69,True,28,True,2,0,1,1,0,0,0,0,4,0,0,4,0,51259,601,161,66,False
1001050,PH2_67543905,2060722,1620000,35,True,2,0,0,0,0,0,2,0,6,1,1,8,2,59049,618,190,72,True,27,False,2,0,0,1,1,0,0,0,0,0,0,3,0,52949,639,135,70,False
