,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
1101000,RU_505505702,2119299,1620000,28,True,0,0,0,0,0,0,0,0,2,0,1,5,0,56416,735,160,73,True,21,False,4,1,0,1,2,0,0,0,1,1,0,4,0,54203,689,208,70,False
1101001,RU_505436745,1847569,1620000,31,True,3,0,1,1,0,1,0,0,1,0,1,5,0,54096,564,227,69,True,23,False,0,0,0,0,0,0,0,0,3,0,0,3,0,48293,588,120,65,False
1101002,RU_505437411,2004391,1620000,26,False,2,0,1,0,0,0,1,0,5,1,0,7,0,55485,713,158,70,False,25,True,1,1,0,0,0,0,0,0,1,0,1,5,0,55749,688,173,72,True
1101003,RU_505436328,1623755,1620000,34,True,2,0,0,0,1,0,1,0,1,0,1,11,3,58805,674,171,74,True,18,False,2,0,0,0,0,1,1,0,2,1,0,3,0,49751,628,118,67,False
1101004,RU_505430936,2191592,1620000,29,True,2,0,1,0,0,1,0,0,6,1,1,10,3,56562,600,164,73,False,17,False,0,0,0,0,0,0,0,0,0,0,0,3,0,50907,728,128,73,True
1101005,RU_505429747,2066392,1620000,25,True,2,0,0,0,0,1,1,0,0,0,1,7,1,57096,661,108,73,False,30,False,2,0,0,1,0,0,1,0,6,1,0,5,0,55951,654,179,73,True
1101006,RU_505416720,1807544,1620000,23,False,1,0,0,0,1,0,0,0,6,0,1,8,1,54533,618,147,71,True,35,True,3,1,1,0,1,0,0,0,0,1,0,6,0,58155,677,161,73,False
1101007,RU_505084024,1660445,1620000,33,False,0,0,0,0,0,0,0,0,3,0,0,0,0,50466,558,98,70,False,40,True,3,0,1,1,1,0,0,0,1,1,1,9,2,61137,688,182,74,True
1101008,RU_505077618,1773469,1620000,35,True,1,0,1,0,0,0,0,0,5,0,0,10,2,59912,698,189,72,True,18,False,1,0,0,0,0,0,1,0,0,0,0,1,0,45247,543,92,65,False
1101009,RU_504913460,1744943,1620000,15,False,0,0,0,0,0,0,0,0,3,1,0,3,0,44909,590,114,66,False,28,True,2,0,0,0,0,1,1,0,0,0,0,10,2,59496,733,162,71,True
1101010,RU_504895924,1651430,1620000,25,False,2,0,0,0,1,1,0,0,2,0,0,2,0,50876,658,141,69,False,37,True,1,0,0,1,0,0,0,0,1,1,1,8,2,61833,676,239,77,True
1101011,RU_504843181,1794356,1620000,40,False,3,0,1,2,0,0,0,0,0,0,0,5,1,55743,556,117,68,True,30,True,1,1,0,0,0,0,0,0,6,1,1,2,0,53507,564,182,70,False
1101012,RU_504746408,1734712,1620000,30,True,0,0,0,0,0,0,0,0,3,0,0,1,0,52205,583,129,68,False,34,False,4,0,0,0,1,1,2,0,3,0,0,6,0,57037,674,181,70,True
1101013,RU_504741574,1752125,1620000,45,True,2,0,0,0,1,1,0,0,3,1,1,7,1,60457,634,171,75,True,16,False,1,1,0,0,0,0,0,0,0,0,0,3,0,48225,634,134,66,False
