,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
0,RU_505505702,2119299,847719,10,True,0,0,0,0,0,0,0,0,2,0,0,0,0,28838,421,83,50,True,9,False,1,1,0,0,0,0,0,0,1,0,0,1,0,28706,395,113,48,False
1,RU_505443103,104522,41808,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,5,True,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,5,False
2,RU_505439719,1496289,598515,6,True,1,0,0,1,0,0,0,0,0,0,0,0,0,16585,207,62,35,True,6,False,0,0,0,0,0,0,0,0,3,0,0,0,0,17475,233,62,36,False
3,RU_505441069,1537403,614961,9,False,0,0,0,0,0,0,0,0,0,0,0,0,0,19991,250,52,37,True,10,True,0,0,0,0,0,0,0,0,3,0,0,0,0,21906,261,66,39,False
4,RU_505436745,1847569,739027,13,True,1,0,1,0,0,0,0,0,1,0,0,0,0,23970,244,88,40,True,10,False,0,0,0,0,0,0,0,0,2,0,0,1,0,22102,272,66,39,False
5,RU_505437411,2004391,801756,13,False,0,0,0,0,0,0,0,0,5,0,0,1,0,27030,322,94,45,False,14,True,1,1,0,0,0,0,0,0,0,0,0,1,0,28315,342,78,44,True
6,RU_505436328,1623755,649502,8,True,1,0,0,0,1,0,0,0,1,0,0,1,0,19635,267,59,40,True,9,False,0,0,0,0,0,0,0,0,2,0,0,0,0,19114,245,58,37,False
7,RU_505430936,2191592,876636,12,True,0,0,0,0,0,0,0,0,6,0,0,1,0,28260,355,76,49,False,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,23482,376,80,45,True
8,RU_505429747,2066392,826556,13,True,0,0,0,0,0,0,0,0,0,0,0,1,0,26692,353,56,45,False,11,False,1,0,0,1,0,0,0,0,6,0,0,0,0,26369,335,92,47,True
9,RU_505425954,1502378,600951,9,True,1,1,0,0,0,0,0,0,0,0,0,0,0,20588,233,52,39,True,12,False,0,0,0,0,0,0,0,0,3,0,0,0,0,21649,278,52,38,False
10,RU_505423503,1475739,590295,12,True,0,0,0,0,0,0,0,0,3,0,0,0,0,19322,232,54,36,True,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,15911,213,55,34,False
11,RU_505416720,1807544,723017,9,False,0,0,0,0,0,0,0,0,4,0,0,0,0,22468,286,78,42,True,10,True,1,0,1,0,0,0,0,0,0,0,0,0,0,24612,335,60,42,False
12,RU_505079882,1570966,628386,7,False,0,0,0,0,0,0,0,0,3,0,0,0,0,22293,293,85,40,True,10,True,0,0,0,0,0,0,0,0,0,0,0,0,0,19454,216,52,38,False
13,RU_505084024,1660445,664178,7,False,0,0,0,0,0,0,0,0,3,0,0,0,0,18916,218,70,37,False,10,True,1,0,0,0,1,0,0,0,0,0,0,0,0,22545,321,76,41,True
14,RU_505075790,1336654,534661,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,14418,172,60,31,False,7,True,0,0,0,0,0,0,0,0,3,0,0,0,0,16089,207,50,34,True
15,RU_505077618,1773469,709387,12,True,0,0,0,0,0,0,0,0,3,0,0,0,0,23211,316,82,40,True,6,False,1,0,0,0,0,0,1,0,0,0,0,0,0,18385,230,60,38,False
