,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
1101000,RU_505505702,2119299,840000,10,True,0,0,0,0,0,0,0,0,2,0,0,0,0,26259,396,83,46,True,9,False,1,1,0,0,0,0,0,0,1,0,0,1,0,26746,375,104,47,False
1101001,RU_505436745,1847569,840000,16,True,1,0,1,0,0,0,0,0,1,0,0,0,0,25718,258,100,43,True,11,False,0,0,0,0,0,0,0,0,3,0,0,1,0,24140,309,76,43,False
1101002,RU_505437411,2004391,840000,13,False,0,0,0,0,0,0,0,0,5,0,0,1,0,27030,322,94,45,False,14,True,1,1,0,0,0,0,0,0,1,0,0,1,0,28315,342,78,44,True
1101003,RU_505436328,1623755,840000,10,True,1,0,0,0,1,0,0,0,1,0,0,1,0,26030,365,91,46,True,10,False,0,0,0,0,0,0,0,0,2,0,0,0,0,24043,313,66,43,False
1101004,RU_505430936,2191592,840000,11,True,0,0,0,0,0,0,0,0,6,0,0,1,0,24975,324,68,46,False,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,21927,359,72,43,True
1101005,RU_505429747,2066392,840000,13,True,0,0,0,0,0,0,0,0,0,0,0,1,0,26692,353,56,45,False,11,False,1,0,0,1,0,0,0,0,6,0,0,0,0,26369,335,92,47,True
1101006,RU_505416720,1807544,840000,9,False,0,0,0,0,0,0,0,0,6,0,0,0,0,24032,316,88,45,True,13,True,1,0,1,0,0,0,0,0,0,0,0,1,0,27866,369,72,45,False
1101007,RU_505084024,1660445,840000,9,False,0,0,0,0,0,0,0,0,3,0,0,0,0,22350,265,70,42,False,12,True,1,0,0,0,1,0,0,0,1,0,0,1,0,27520,381,90,45,True
1101008,RU_505077618,1773469,840000,14,True,0,0,0,0,0,0,0,0,5,0,0,0,0,27542,375,94,45,True,7,False,1,0,0,0,0,0,1,0,0,0,0,0,0,21291,262,72,41,False
1101009,RU_504913460,1744943,840000,4,False,0,0,0,0,0,0,0,0,3,0,0,0,0,20659,286,74,45,False,8,True,1,0,0,0,0,0,1,0,0,0,0,1,0,26670,400,80,46,True
1101010,RU_504895924,1651430,840000,12,False,1,0,0,0,1,0,0,0,2,0,0,1,0,26237,326,87,46,False,16,True,0,0,0,0,0,0,0,0,1,0,0,1,0,28443,339,98,46,True
1101011,RU_504843181,1794356,840000,21,False,1,0,1,0,0,0,0,0,0,0,0,1,0,28835,302,60,46,True,11,True,1,1,0,0,0,0,0,0,6,0,0,0,0,24823,294,100,45,False
1101012,RU_504746408,1734712,840000,16,True,0,0,0,0,0,0,0,0,3,0,0,0,0,26566,309,70,44,False,17,False,2,0,0,0,1,1,0,0,3,0,0,0,0,27888,347,93,44,True
1101013,RU_504741574,1752125,840000,15,True,0,0,0,0,0,0,0,0,3,0,0,0,0,26365,328,83,44,True,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,22720,334,66,42,False
1101014,RU_504734950,1914196,840000,22,True,0,0,0,0,0,0,0,0,3,0,0,1,0,28187,292,84,44,True,8,False,1,0,0,0,0,0,1,0,3,0,0,0,0,23718,343,74,42,False
1101015,RU_504728468,2354109,840000,7,False,1,0,1,0,0,0,0,0,3,0,0,0,0,21895,343,68,44,True,4,True,1,0,0,1,0,0,0,0,3,0,0,0,0,23236,372,107,45,False
1101016,RU_504711739,1922435,840000,10,False,0,0,0,0,0,0,0,0,4,0,0,0,0,23125,249,72,43,False,21,True,2,0,0,1,0,1,0,0,2,0,0,1,0,30050,367,91,48,True
1101017,RU_504647085,1818225,840000,13,False,0,0,0,0,0,0,0,0,1,0,0,1,0,28024,388,74,47,False,15,True,1,0,1,0,0,0,0,0,5,0,0,1,0,27165,336,82,46,True
1101018,RU_504557232,2090105,840000,11,True,1,1,0,0,0,0,0,0,4,0,0,1,0,25310,311,63,43,False,12,False,1,0,0,1,0,0,0,0,1,0,0,1,0,27277,369,70,46,True
1101019,RU_504525030,1904972,840000,9,False,1,0,0,0,1,0,0,0,3,0,0,0,0,24461,340,102,46,True,6,True,1,0,0,0,0,0,1,0,3,0,0,0,0,22923,371,84,46,False
1101020,RU_504519282,2607141,840000,13,True,0,0,0,0,0,0,0,0,6,0,0,0,0,27244,346,108,46,False,8,False,1,0,1,0,0,0,0,0,0,0,0,0,0,24102,349,75,45,True
1101021,RU_504472542,1626123,840000,12,False,1,1,0,0,0,0,0,0,4,0,0,0,0,25401,306,80,45,False,10,True,0,0,0,0,0,0,0,0,2,0,0,1,0,26304,370,95,44,True
1101022,RU_504468595,2432448,840000,12,True,0,0,0,0,0,0,0,0,6,0,0,0,0,24803,326,73,45,True,10,False,1,0,0,0,0,1,0,0,0,0,0,0,0,24298,336,80,43,False
1101023,RU_504463659,2043950,840000,6,False,1,1,0,0,0,0,0,0,3,0,0,0,0,22332,314,92,44,True,10,True,0,0,0,0,0,0,0,0,3,0,0,2,0,26461,374,63,44,False
1101024,RU_504457671,2254033,840000,6,False,1,0,0,0,1,0,0,0,3,0,0,0,0,22468,308,89,44,False,9,True,1,0,0,1,0,0,0,0,0,0,0,1,0,24705,376,76,45,True
1101025,RU_504450268,1739614,840000,14,True,1,0,1,0,0,0,0,0,2,0,0,0,0,23663,235,78,43,False,15,False,0,0,0,0,0,0,0,0,4,0,0,2,0,29453,343,81,46,True
1101026,RU_504443153,1809701,840000,8,False,1,0,0,0,0,1,0,0,3,0,0,0,0,23798,351,76,44,False,10,True,1,0,0,0,1,0,0,0,3,0,0,0,0,25758,384,91,47,True
1101027,RU_504137572,1720088,840000,12,True,0,0,0,0,0,0,0,0,4,0,0,0,0,23455,289,73,43,False,11,False,2,1,0,1,0,0,0,0,1,0,0,1,0,26249,312,96,42,True
1101028,RU_504058969,2096897,840000,10,False,2,0,0,1,0,0,1,0,0,0,0,0,0,23927,318,78,44,False,10,True,0,0,0,0,0,0,0,0,2,0,0,0,0,24409,338,82,43,True
1101029,RU_503988108,1644591,840000,2,False,1,0,1,0,0,0,0,0,0,0,0,0,0,20780,363,84,43,False,8,True,0,0,0,0,0,0,0,0,6,0,0,1,0,25029,351,73,46,True
1101030,RU_503982552,1886933,840000,7,True,1,0,0,1,0,0,0,0,6,0,0,0,0,22389,333,88,42,False,9,False,1,0,0,0,0,1,0,0,0,0,0,0,0,23476,314,84,43,True
1101031,RU_503967449,1927887,840000,11,False,1,1,0,0,0,0,0,0,4,0,0,2,0,26266,326,76,44,True,6,True,0,0,0,0,0,0,0,0,2,0,0,0,0,23477,304,123,46,False
1101032,RU_503957571,1710808,840000,9,False,1,0,1,0,0,0,0,0,3,0,0,1,0,25576,360,79,45,False,9,True,0,0,0,0,0,0,0,0,3,0,0,0,0,24124,306,92,45,True
1101033,RU_503875630,2075472,840000,23,False,1,0,0,0,0,0,1,0,1,0,0,1,0,29457,309,74,47,True,15,True,1,0,1,0,0,0,0,0,5,0,0,1,0,27673,324,102,45,False
1101034,RU_503877381,2014605,840000,23,True,2,0,1,1,0,0,0,0,3,0,0,0,0,28635,267,74,43,True,15,False,0,0,0,0,0,0,0,0,3,0,0,2,0,29828,318,74,44,False
1101035,RU_503877213,1653115,840000,8,False,0,0,0,0,0,0,0,0,3,0,0,0,0,24236,253,72,40,False,25,True,1,1,0,0,0,0,0,0,3,0,0,4,0,33410,360,76,47,True
1101036,RU_503868678,1642450,840000,9,True,1,0,0,1,0,0,0,0,2,0,0,0,0,25124,365,88,44,True,12,False,0,0,0,0,0,0,0,0,4,0,0,0,0,25541,338,84,46,False
1101037,RU_503869355,2163518,840000,20,True,1,0,0,1,0,0,0,0,6,0,0,0,0,29389,345,106,48,True,11,False,1,1,0,0,0,0,0,0,0,0,0,0,0,24716,335,65,47,False
1101038,RU_503837559,1644491,840000,14,False,0,0,0,0,0,0,0,0,6,0,0,0,0,26095,315,96,45,False,16,True,1,0,0,0,1,0,0,0,0,0,0,1,0,28801,317,101,46,True
1101039,RU_503620922,1812339,840000,15,False,2,1,0,0,0,0,1,0,0,0,0,0,0,28384,352,78,44,True,18,True,0,0,0,0,0,0,0,0,6,0,0,0,0,28820,303,76,44,False
1101040,RU_503620640,2244896,840000,10,True,0,0,0,0,0,0,0,0,3,0,0,0,0,25198,352,72,45,True,8,False,1,0,0,0,1,0,0,0,3,0,0,0,0,23734,331,105,44,False
1101041,RU_503518272,1661291,840000,21,True,1,1,0,0,0,0,0,0,0,0,0,0,0,28393,342,83,45,True,12,False,0,0,0,0,0,0,0,0,6,0,0,0,0,25036,287,64,43,False
1101042,RU_503511866,1672065,840000,13,True,1,0,0,0,0,1,0,0,3,0,0,0,0,26273,346,70,45,True,7,False,0,0,0,0,0,0,0,0,3,0,0,0,0,22405,317,94,42,False
1101043,RU_503504542,1742893,840000,8,False,2,1,1,0,0,0,0,0,2,0,0,1,0,24547,346,84,45,False,8,True,0,0,0,0,0,0,0,0,4,0,0,0,0,23735,312,100,45,True
1101044,RU_503355942,1676362,840000,15,False,0,0,0,0,0,0,0,0,5,0,0,3,0,29132,327,77,47,False,15,True,2,0,0,0,1,0,1,0,1,0,0,1,0,26682,321,104,46,True
