,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
1201000,SG2_39949845,1895563,1200000,16,True,1,0,0,0,0,0,1,0,6,0,0,3,0,38866,537,106,57,False,25,False,1,0,1,0,0,0,0,0,0,0,0,1,0,39732,469,108,59,True
1201001,SG2_39803842,1880143,1200000,65,True,0,0,0,0,0,0,0,0,0,0,0,2,0,75267,245,0,90,False,61,False,0,0,0,0,0,0,0,0,0,0,0,2,1,75349,213,0,89,True
1201002,SG2_39737963,1987445,1200000,19,False,0,0,0,0,0,0,0,0,1,1,0,5,0,40655,478,140,56,True,17,True,2,1,1,0,0,0,0,0,5,0,0,2,0,39824,478,124,55,False
1201003,SG2_39703986,1670626,1200000,60,True,0,0,0,0,0,0,0,0,0,0,0,2,1,74889,223,0,90,True,62,False,0,0,0,0,0,0,0,0,0,0,0,1,0,71908,236,0,90,False
1201004,SG2_39700689,1942696,1200000,43,False,0,0,0,0,0,0,0,0,0,0,0,1,0,67307,224,0,88,True,57,True,0,0,0,0,0,0,0,0,0,0,0,2,1,73367,251,0,88,False
1201005,SG2_39645419,1713987,1200000,19,False,0,0,0,0,0,0,0,0,6,1,0,3,0,39384,480,132,60,False,19,True,2,0,1,0,0,0,1,0,0,0,0,1,0,37594,494,108,58,True
1201006,SG2_39616296,1982686,1200000,27,True,2,0,1,0,0,0,1,0,5,1,0,6,0,42872,461,110,56,True,13,False,1,0,0,1,0,0,0,0,1,0,0,2,0,38698,469,110,55,False
1201007,SG2_39607755,1854523,1200000,10,True,1,0,1,0,0,0,0,0,0,1,0,2,0,35003,531,129,56,False,7,False,1,0,0,1,0,0,0,0,6,0,0,3,0,36688,579,154,58,True
1201008,SG2_39575785,1697771,1200000,26,True,0,0,0,0,0,0,0,0,6,1,0,1,0,37061,367,86,55,False,16,False,2,1,0,1,0,0,0,0,0,0,0,4,0,38616,472,127,55,True
1201009,SG2_39579459,1792265,1200000,29,False,2,0,1,0,0,1,0,0,1,0,0,2,0,43879,476,92,60,True,36,True,1,0,0,1,0,0,0,0,5,0,0,7,0,45674,463,118,60,False
