,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
0,SG2_39971085,1486062,891637,8,True,2,1,0,0,0,1,0,0,3,0,0,1,0,26062,374,108,48,True,7,False,0,0,0,0,0,0,0,0,3,0,0,0,0,24393,369,99,47,False
1,SG2_39953647,1108044,664826,15,True,0,0,0,0,0,0,0,0,2,0,0,0,0,22932,252,62,41,True,7,False,0,0,0,0,0,0,0,0,1,0,0,0,0,20644,235,73,37,False
2,SG2_39949845,1895563,1137337,15,True,1,0,0,0,0,0,1,0,6,0,0,3,0,37664,526,106,54,False,23,False,1,0,1,0,0,0,0,0,0,0,0,1,0,37741,461,101,58,True
3,SG2_39913255,1415991,849594,28,False,0,0,0,0,0,0,0,0,0,0,0,1,0,52277,182,0,71,False,40,True,0,0,0,0,0,0,0,0,0,0,0,1,0,54907,167,0,75,True
4,SG2_39803842,1880143,1128085,61,True,0,0,0,0,0,0,0,0,0,0,0,2,0,71766,241,0,90,False,58,False,0,0,0,0,0,0,0,0,0,0,0,2,1,71837,200,0,88,True
5,SG2_39748928,1282964,769778,40,False,0,0,0,0,0,0,0,0,0,0,0,4,1,53585,145,0,70,False,51,True,0,0,0,0,0,0,0,0,0,0,0,1,0,53278,140,0,70,True
6,SG2_39752564,1515390,909234,39,False,0,0,0,0,0,0,0,0,0,0,0,1,0,55149,181,0,80,True,48,True,0,0,0,0,0,0,0,0,0,0,0,1,0,56958,198,0,80,False
7,SG2_39752483,736659,441995,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,32981,79,0,51,False,32,True,0,0,0,0,0,0,0,0,0,0,0,1,0,35510,91,0,54,True
8,SG2_39748524,1195736,717441,31,True,0,0,0,0,0,0,0,0,0,0,0,1,0,43931,158,0,62,True,23,False,0,0,0,0,0,0,0,0,0,0,0,0,0,39683,122,0,60,False
9,SG2_39750297,1326801,796080,39,False,0,0,0,0,0,0,0,0,0,0,0,2,0,52575,176,0,73,True,31,True,0,0,0,0,0,0,0,0,0,0,0,0,0,49286,149,0,72,False
10,SG2_39749191,947351,568410,47,False,0,0,0,0,0,0,0,0,0,0,0,2,1,46720,122,0,65,True,40,True,0,0,0,0,0,0,0,0,0,0,0,1,0,42104,119,0,61,False
11,SG2_39749016,901955,541173,45,True,0,0,0,0,0,0,0,0,0,0,0,2,0,46208,121,0,64,True,38,False,0,0,0,0,0,0,0,0,0,0,0,0,0,42343,102,0,63,False
