,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
1201000,SG2_39949845,1895563,1620000,28,True,2,0,0,0,1,0,1,0,6,0,0,3,0,53289,634,145,69,False,42,False,1,0,1,0,0,0,0,0,0,0,0,3,0,56019,579,136,72,True
1201001,SG2_39803842,1880143,1620000,77,True,0,0,0,0,0,0,0,0,0,0,0,2,1,96208,340,0,90,False,84,False,0,0,0,0,0,0,0,0,0,0,0,4,3,102428,335,0,90,True
1201002,SG2_39737963,1987445,1620000,25,False,0,0,0,0,0,0,0,0,1,1,1,5,0,55589,646,204,71,True,22,True,3,1,1,0,0,1,0,0,5,0,0,2,0,51014,617,152,65,False
1201003,SG2_39703986,1670626,1620000,78,True,0,0,0,0,0,0,0,0,0,0,0,2,2,97563,326,0,90,True,80,False,0,0,0,0,0,0,0,0,0,0,0,2,1,95741,362,0,90,False
1201004,SG2_39700689,1942696,1620000,58,False,0,0,0,0,0,0,0,0,0,0,0,2,1,89938,344,0,90,True,74,True,0,0,0,0,0,0,0,0,0,0,0,2,1,96995,372,0,90,False
1201005,SG2_39645419,1713987,1620000,22,False,0,0,0,0,0,0,0,0,6,1,0,3,0,49319,600,156,68,False,35,True,3,0,1,0,0,1,1,0,0,0,1,4,0,56764,645,168,75,True
1201006,SG2_39616296,1982686,1620000,39,True,2,0,1,0,0,0,1,0,5,1,1,6,1,57704,587,152,71,True,19,False,2,0,0,2,0,0,0,0,1,0,0,4,1,54522,607,151,68,False
1201007,SG2_39607755,1854523,1620000,20,True,1,0,1,0,0,0,0,0,0,1,0,4,0,50853,723,162,70,False,15,False,2,0,0,1,0,1,0,0,6,0,0,3,0,49985,737,204,69,True
1201008,SG2_39575785,1697771,1620000,37,True,0,0,0,0,0,0,0,0,6,1,0,2,0,51712,493,92,68,False,32,False,3,1,0,1,1,0,0,0,0,0,0,9,1,56518,574,178,68,True
1201009,SG2_39579459,1792265,1620000,44,False,2,0,1,0,0,1,0,0,1,0,0,4,0,61763,677,148,74,True,52,True,2,0,1,1,0,0,0,0,5,0,1,10,1,64511,624,150,75,False
1201010,SG2_39577222,1919310,1620000,53,False,3,0,0,1,1,1,0,0,3,0,0,5,0,57398,521,160,70,True,24,True,0,0,0,0,0,0,0,0,0,0,0,4,0,50079,492,95,64,False
1201011,SG2_39574307,1629575,1620000,36,False,2,0,0,0,1,1,0,0,1,1,1,8,1,55764,619,134,72,True,14,True,2,0,0,1,0,1,0,0,2,0,0,3,0,46917,614,162,64,False
1201012,SG2_39517308,2047963,1620000,28,True,1,0,1,0,0,0,0,0,1,1,0,3,0,52171,580,156,65,False,31,False,2,0,0,1,1,0,0,0,5,0,1,6,0,56482,602,183,71,True
1201013,SG2_39501686,1960668,1620000,27,False,2,0,0,1,1,0,0,0,0,1,1,5,0,56350,748,152,74,True,17,True,1,0,0,0,0,0,1,0,6,0,0,4,0,49744,692,134,67,False
1201014,SG2_39473794,2112088,1620000,30,True,2,0,0,1,1,0,0,0,3,0,0,6,0,55595,678,170,72,True,19,False,2,0,0,1,0,0,1,0,3,1,0,4,0,48776,599,169,63,False
