,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
1301000,TH2_41150137,2026447,600000,10,True,0,0,0,0,0,0,0,0,3,0,0,1,0,18411,203,61,33,False,8,False,1,0,0,0,1,0,0,0,0,0,0,0,0,17377,202,76,34,True
1301001,TH2_41136864,1804166,600000,6,True,1,0,0,0,0,1,0,0,3,0,0,0,0,17193,251,65,36,True,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,14909,239,64,35,False
1301002,TH2_41111894,1833781,600000,3,False,1,1,0,0,0,0,0,0,2,0,0,0,0,15743,250,76,37,False,5,True,0,0,0,0,0,0,0,0,1,0,0,0,0,16765,241,74,36,True
1301003,TH2_41092610,1789068,600000,6,False,0,0,0,0,0,0,0,0,3,0,0,0,0,16369,218,65,35,False,5,True,1,0,0,1,0,0,0,0,0,0,0,0,0,16097,212,56,33,True
1301004,TH2_41089611,1683274,600000,5,False,0,0,0,0,0,0,0,0,2,0,0,0,0,15959,225,72,37,True,7,True,1,0,0,1,0,0,0,0,1,0,0,0,0,17965,251,58,36,False
1301005,TH2_41089139,1753320,600000,6,True,0,0,0,0,0,0,0,0,3,0,0,0,0,17068,246,54,34,True,6,False,1,0,1,0,0,0,0,0,0,0,0,0,0,17005,227,80,37,False
1301006,TH2_41037271,1739360,600000,7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,16693,218,60,36,True,7,True,1,1,0,0,0,0,0,0,3,0,0,0,0,17289,241,62,37,False
1301007,TH2_41028955,1806377,600000,10,False,0,0,0,0,0,0,0,0,3,0,0,0,0,17904,210,44,34,True,8,True,1,0,0,0,1,0,0,0,0,0,0,0,0,17006,211,52,34,False
1301008,TH2_41030433,1886069,600000,5,True,1,0,0,1,0,0,0,0,0,0,0,0,0,16817,247,56,35,False,3,False,0,0,0,0,0,0,0,0,3,0,0,0,0,15128,214,70,34,True
1301009,TH2_41022669,1736509,600000,7,True,0,0,0,0,0,0,0,0,3,0,0,0,0,17178,220,74,35,False,8,False,1,0,0,1,0,0,0,0,0,0,0,0,0,17860,257,59,37,True
