,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
0,TH2_41149985,961038,768830,13,True,1,0,0,0,0,1,0,0,3,0,0,0,0,24795,304,94,45,True,3,False,0,0,0,0,0,0,0,0,3,0,0,0,0,20786,321,72,42,False
1,TH2_41150137,2026447,1621157,26,True,1,0,0,1,0,0,0,0,6,1,0,6,1,50475,614,157,66,False,26,False,3,0,1,1,1,0,0,0,0,0,0,3,0,55876,616,206,71,True
2,TH2_41143642,1263828,1011062,13,False,1,0,0,0,1,0,0,0,6,0,0,1,0,31549,433,108,51,True,10,True,1,0,0,0,0,0,1,0,0,0,0,2,0,30049,407,92,50,False
3,TH2_41141963,1596740,1277392,23,False,0,0,0,0,0,0,0,0,0,1,0,4,0,47197,568,138,65,True,21,True,3,1,1,0,0,1,0,0,3,0,0,2,0,40539,484,110,57,False
4,TH2_41136864,1804166,1443332,25,True,3,0,0,1,1,1,0,0,6,1,0,6,0,51073,580,148,64,True,18,False,0,0,0,0,0,0,0,0,0,0,1,2,0,47067,564,127,67,False
5,TH2_41138423,1376367,1101093,21,True,1,0,1,0,0,0,0,0,2,1,0,4,0,40396,472,135,56,True,12,False,1,0,0,1,0,0,0,0,4,0,0,0,0,33790,463,102,54,False
6,TH2_41136349,1197779,958223,24,True,0,0,0,0,0,0,0,0,3,0,0,2,0,33134,343,105,50,True,8,False,2,1,0,1,0,0,0,0,1,0,0,0,0,25864,376,65,46,False
7,TH2_41131192,1442937,1154349,49,False,0,0,0,0,0,0,0,0,0,0,0,1,0,68273,227,0,90,False,65,True,0,0,0,0,0,0,0,0,0,0,0,3,1,74297,235,0,89,True
8,TH2_41126962,1088001,870400,37,True,0,0,0,0,0,0,0,0,0,0,0,1,0,53836,181,0,73,False,36,False,0,0,0,0,0,0,0,0,0,0,0,2,1,54919,194,0,74,True
9,TH2_41130087,1093684,874947,29,False,0,0,0,0,0,0,0,0,0,0,0,1,0,50915,156,0,70,False,25,True,0,0,0,0,0,0,0,0,0,0,0,0,0,49153,168,0,68,True
