,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
1301000,TH2_41150137,2026447,1200000,21,True,0,0,0,0,0,0,0,0,6,1,0,2,0,35674,438,119,54,False,20,False,3,0,1,1,1,0,0,0,0,0,0,1,0,37634,418,144,54,True
1301001,TH2_41136864,1804166,1200000,19,True,3,0,0,1,1,1,0,0,6,1,0,5,0,40787,491,123,57,True,13,False,0,0,0,0,0,0,0,0,0,0,0,0,0,33750,458,116,55,False
1301002,TH2_41111894,1833781,1200000,17,False,1,1,0,0,0,0,0,0,5,0,0,0,0,36186,491,137,58,False,21,True,2,0,1,0,0,0,1,0,1,0,0,3,0,40022,519,134,60,True
1301003,TH2_41092610,1789068,1200000,10,False,1,1,0,0,0,0,0,0,3,1,0,3,0,34721,495,125,55,False,16,True,2,0,0,1,0,0,1,0,1,0,0,2,0,36307,438,126,54,True
1301004,TH2_41089611,1683274,1200000,18,False,2,0,1,0,1,0,0,0,2,1,0,0,0,36041,462,140,58,True,16,True,1,0,0,1,0,0,0,0,3,0,0,2,0,36609,490,100,55,False
1301005,TH2_41089139,1753320,1200000,20,True,2,1,0,0,0,1,0,0,6,1,0,4,1,39978,492,131,57,True,17,False,1,0,1,0,0,0,0,0,0,0,0,3,0,38930,501,140,59,False
1301006,TH2_41037271,1739360,1200000,21,False,1,0,0,0,0,1,0,0,0,0,0,1,0,36448,413,111,55,True,19,True,2,1,0,0,0,0,1,0,6,0,0,2,0,37695,457,116,56,False
1301007,TH2_41028955,1806377,1200000,21,False,0,0,0,0,0,0,0,0,4,1,0,4,0,39143,456,92,55,True,14,True,3,0,0,1,1,1,0,0,2,0,0,1,0,35009,460,122,54,False
1301008,TH2_41030433,1886069,1200000,12,True,2,0,0,1,0,1,0,0,2,1,0,2,0,36647,518,127,55,False,14,False,1,0,1,0,0,0,0,0,4,0,0,4,0,38104,484,131,56,True
1301009,TH2_41022669,1736509,1200000,15,True,0,0,0,0,0,0,0,0,5,1,0,3,0,38396,471,131,55,False,24,False,2,0,0,1,0,1,0,0,1,0,0,3,0,41244,524,123,58,True
1301010,TH2_41021144,1669899,1200000,9,True,2,0,1,0,0,1,0,0,3,0,0,2,0,34823,517,152,58,False,13,False,1,0,0,0,1,0,0,0,0,1,0,3,0,37760,542,110,59,True
1301011,TH2_40977843,2278371,1200000,9,False,0,0,0,0,0,0,0,0,6,1,0,3,0,35305,535,109,54,False,13,True,3,0,1,0,0,1,1,0,0,0,0,2,0,35920,501,130,56,True
1301012,TH2_40975333,1810644,1200000,17,False,1,0,0,1,0,0,0,0,5,0,0,2,0,37423,445,131,56,True,21,True,2,0,1,0,0,0,1,0,1,0,0,1,0,37354,451,99,57,False
1301013,TH2_40973777,1636673,1200000,22,True,1,1,0,0,0,0,0,0,3,1,0,4,0,42722,512,137,59,True,18,False,2,0,1,0,0,0,1,0,3,0,0,1,0,38345,475,134,57,False
1301014,TH2_40973427,2095705,1200000,13,False,1,0,0,1,0,0,0,0,3,0,0,1,0,35400,502,113,56,False,17,True,2,0,0,0,1,1,0,0,0,0,0,3,0,38689,488,128,58,True
1301015,TH2_40970187,1819563,1200000,11,True,0,0,0,0,0,0,0,0,3,1,0,2,0,35605,507,134,56,False,13,False,3,1,1,0,0,1,0,0,3,0,0,2,0,37471,516,150,57,True
1301016,TH2_40929257,2572413,1200000,11,False,1,0,0,0,0,1,0,0,4,0,0,2,0,34133,436,122,55,True,15,True,2,1,0,0,1,0,0,0,2,1,0,5,0,39146,494,149,57,False
1301017,TH2_40924094,2133629,1200000,19,False,0,0,0,0,0,0,0,0,0,1,0,3,0,39823,469,87,56,True,30,True,2,0,0,0,0,1,1,0,3,0,0,3,0,42646,474,113,58,False
1301018,TH2_40866336,1921696,1200000,9,False,0,0,0,0,0,0,0,0,0,1,0,2,0,33457,515,114,56,True,15,True,3,1,0,1,0,0,1,0,3,0,0,3,0,38605,485,126,56,False
1301019,TH2_40583084,1802331,1200000,18,False,0,0,0,0,0,0,0,0,3,1,0,1,0,37159,456,102,56,False,22,True,2,0,1,0,0,0,1,0,2,0,0,4,0,41306,506,122,57,True
1301020,TH2_40483936,1749884,1200000,9,True,1,1,0,0,0,0,0,0,6,1,0,3,0,35766,508,133,56,True,8,False,2,0,0,1,1,0,0,0,0,0,0,2,0,34145,523,118,52,False
1301021,TH2_40484567,2032130,1200000,11,True,2,0,0,0,1,0,1,0,0,0,0,0,0,32761,480,107,54,True,14,False,0,0,0,0,0,0,0,0,6,1,0,3,0,37591,525,132,58,False
1301022,TH2_40482330,1690655,1200000,18,True,0,0,0,0,0,0,0,0,3,1,0,1,0,35591,364,110,53,False,24,False,2,0,0,0,1,0,1,0,2,0,0,3,0,40152,452,119,58,True
1301023,TH2_40449409,1870207,1200000,13,True,2,1,0,0,0,1,0,0,5,1,0,2,0,36252,507,151,56,False,19,False,1,0,1,0,0,0,0,0,1,0,0,2,0,37402,481,112,57,True
1301024,TH2_40316986,2098611,1200000,11,True,1,0,1,0,0,0,0,0,5,1,0,4,0,36846,495,122,57,True,17,False,1,0,0,1,0,0,0,0,1,0,0,3,0,39804,593,127,61,False
1301025,TH2_40314037,2105030,1200000,17,False,0,0,0,0,0,0,0,0,3,1,0,1,0,37068,488,113,55,False,19,True,2,1,0,1,0,0,0,0,1,0,0,3,0,39065,554,99,56,True
1301026,TH2_40308362,2601200,1200000,15,False,2,1,0,0,0,0,1,0,1,1,0,3,0,38249,489,157,54,False,12,True,1,0,0,0,0,1,0,0,2,0,0,1,0,33143,465,88,53,True
1301027,TH2_40306423,1705352,1200000,20,False,0,0,0,0,0,0,0,0,4,0,0,2,0,37845,431,118,54,False,18,True,2,0,1,1,0,0,0,0,2,1,0,3,0,39110,486,128,54,True
1301028,TH2_40259415,1774002,1200000,15,True,2,0,0,1,0,0,1,0,1,0,0,3,0,38161,510,150,57,True,12,False,0,0,0,0,0,0,0,0,5,1,0,2,0,35806,539,98,58,False
1301029,TH2_40179029,1852306,1200000,21,False,1,0,1,0,0,0,0,0,1,0,0,3,0,39421,462,112,58,True,11,True,1,0,0,0,0,0,1,0,5,1,0,0,0,31920,458,109,55,False
1301030,TH2_40172920,1922053,1200000,29,False,1,1,0,0,0,0,0,0,5,1,0,1,0,41776,425,150,59,True,24,True,1,0,1,0,0,0,0,0,1,0,0,3,0,40423,454,101,56,False
1301031,TH2_40172458,1867808,1200000,9,True,2,0,1,0,0,1,0,0,6,0,0,1,0,33696,503,138,54,False,21,False,0,0,0,0,0,0,0,0,0,1,0,3,0,38646,496,121,61,True
1301032,TH2_40171032,2112515,1200000,21,False,0,0,0,0,0,0,0,0,3,1,0,0,0,37492,420,113,55,True,23,True,2,0,0,0,1,0,1,0,0,0,0,4,0,38878,457,75,52,False
1301033,TH2_40165530,2191566,1200000,14,True,0,0,0,0,0,0,0,0,2,1,0,3,0,37049,516,115,56,True,13,False,2,0,0,1,0,1,0,0,4,0,0,2,0,36517,509,139,58,False
1301034,TH2_40164285,1660010,1200000,12,False,2,0,0,0,0,1,1,0,3,0,0,0,0,35066,482,133,57,False,20,True,1,0,0,0,1,0,0,0,1,1,0,4,0,40963,574,111,59,True
1301035,TH2_40126473,1917948,1200000,15,False,0,0,0,0,0,0,0,0,6,1,0,0,0,34764,441,103,56,False,22,True,2,0,0,1,1,0,0,0,0,0,0,3,0,41036,526,116,57,True
1301036,TH2_40118839,2108372,1200000,15,False,2,0,0,0,1,0,1,0,3,1,0,3,0,36728,478,137,56,True,10,True,1,0,1,0,0,0,0,0,3,0,0,4,0,37031,528,134,56,False
1301037,TH2_40108309,2265950,1200000,20,True,1,0,0,1,0,0,0,0,3,0,0,2,0,39818,540,114,60,True,12,False,1,0,0,0,0,0,1,0,3,1,0,2,0,36386,519,121,57,False
1301038,TH2_40101876,2008278,1200000,9,False,0,0,0,0,0,0,0,0,6,0,0,2,0,35100,483,136,55,True,18,True,3,1,0,1,0,1,0,0,0,1,0,3,0,38599,536,143,58,False
1301039,TH2_40101168,2185526,1200000,14,False,0,0,0,0,0,0,0,0,2,1,0,2,0,36853,521,117,56,False,7,True,2,1,0,0,0,0,1,0,4,0,0,0,0,32646,522,124,54,True
1301040,TH2_40095845,1658070,1200000,23,True,0,0,0,0,0,0,0,0,6,0,0,6,1,42157,463,116,57,True,17,False,3,1,0,1,0,0,1,0,0,1,0,2,0,37528,417,113,53,False
1301041,TH2_40091647,1864534,1200000,11,True,2,0,0,0,0,1,1,0,0,1,0,2,0,35561,549,156,59,True,8,False,1,1,0,0,0,0,0,0,3,0,0,2,0,35620,591,116,56,False
1301042,TH2_40005284,1621007,1200000,38,False,1,0,0,0,0,0,1,0,0,0,0,3,0,62959,295,68,66,False,51,True,2,1,0,0,1,0,0,0,3,0,1,4,0,71236,284,111,70,True
1301043,TH2_39988829,1919874,1200000,25,True,1,0,0,0,0,0,1,0,3,1,0,3,0,40372,466,113,61,False,16,False,1,0,1,0,0,0,0,0,0,0,0,2,0,36611,509,100,55,True
1301044,TH2_39988293,1645106,1200000,20,False,0,0,0,0,0,0,0,0,3,1,0,3,0,41080,514,129,57,False,21,True,2,0,1,1,0,0,0,0,0,0,0,1,0,38538,473,116,58,True
1301045,TH2_39981486,2142473,1200000,21,True,1,0,0,0,0,0,1,0,0,0,0,3,0,39452,513,106,59,False,15,False,2,1,0,0,1,0,0,0,6,0,0,3,0,37845,492,128,56,True
1301046,TH2_39971899,2015101,1200000,16,True,2,0,0,1,0,1,0,0,0,1,0,2,0,37238,488,130,57,True,18,False,1,0,1,0,0,0,0,0,3,0,0,4,0,40640,504,126,58,False
