,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
1401000,TR1_1560069312,1855160,840000,12,False,0,0,0,0,0,0,0,0,0,0,0,0,0,25815,326,55,44,False,15,True,2,0,0,1,1,0,0,0,3,0,0,0,0,27002,357,98,46,True
1401001,TR1_1560051961,1963333,840000,18,False,1,0,0,0,1,0,0,0,3,0,0,2,0,30453,366,86,46,True,13,True,0,0,0,0,0,0,0,0,3,0,0,0,0,25589,283,68,43,False
1401002,TR1_1560045743,1847948,840000,17,False,0,0,0,0,0,0,0,0,2,0,0,0,0,27345,299,84,46,True,8,True,1,0,1,0,0,0,0,0,4,0,0,0,0,24515,318,87,43,False
1401003,TR1_1559999906,1774663,840000,14,True,0,0,0,0,0,0,0,0,5,0,0,1,0,28653,335,94,45,True,13,False,1,1,0,0,0,0,0,0,1,0,0,0,0,25699,311,86,44,False
1401004,TR1_1559996981,1890877,840000,13,False,1,0,0,0,1,0,0,0,3,0,0,1,0,26063,321,74,44,True,9,True,0,0,0,0,0,0,0,0,3,0,0,1,0,27153,348,90,45,False
1401005,TR1_1559997570,2231533,840000,12,False,2,0,0,1,1,0,0,0,3,0,0,1,0,26974,332,86,45,True,8,True,0,0,0,0,0,0,0,0,3,0,0,0,0,24393,352,109,45,False
1401006,TR1_1559995268,2192583,840000,9,False,1,0,0,0,0,1,0,0,4,0,0,0,0,25280,337,96,44,False,10,True,0,0,0,0,0,0,0,0,2,0,0,0,0,24310,335,84,43,True
1401007,TR1_1559981436,1703267,840000,10,True,0,0,0,0,0,0,0,0,1,0,0,0,0,25031,321,98,45,False,18,False,1,0,1,0,0,0,0,0,5,0,0,0,0,27105,311,90,45,True
1401008,TR1_1559961587,2214072,840000,3,False,1,0,0,0,0,0,1,0,1,0,0,0,0,21197,351,70,44,True,5,True,0,0,0,0,0,0,0,0,5,0,0,1,0,23774,363,82,43,False
1401009,TR1_1559906632,1824280,840000,16,False,1,0,0,0,1,0,0,0,6,0,0,1,0,29828,305,104,45,False,15,True,0,0,0,0,0,0,0,0,0,0,0,1,0,28082,325,88,44,True
1401010,TR1_1559734016,1776156,840000,9,True,0,0,0,0,0,0,0,0,3,0,0,0,0,23063,291,78,43,False,7,False,2,0,0,0,0,1,1,0,0,0,0,1,0,25138,407,87,47,True
1401011,TR1_1559723596,1624830,840000,10,True,1,0,0,0,1,0,0,0,6,0,0,2,0,27112,319,112,46,True,11,False,0,0,0,0,0,0,0,0,0,0,0,1,0,25093,323,55,42,False
1401012,TR1_1559705183,1715113,840000,11,True,0,0,0,0,0,0,0,0,6,0,0,0,0,25042,302,104,45,False,13,False,1,0,0,0,0,0,1,0,0,0,0,0,0,24791,315,74,45,True
1401013,TR1_1559686419,1814360,840000,5,False,0,0,0,0,0,0,0,0,4,0,0,0,0,21619,331,96,45,False,4,True,0,0,0,0,0,0,0,0,2,0,0,1,0,25130,373,91,45,True
1401014,TR1_1559675320,1722738,840000,7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,23082,369,84,46,True,14,True,1,0,0,0,1,0,0,0,6,0,0,0,0,26401,318,112,46,False
1401015,TR1_1559655856,1682870,840000,12,False,0,0,0,0,0,0,0,0,6,0,0,1,0,28050,345,104,46,True,11,True,1,0,0,1,0,0,0,0,0,0,0,0,0,24503,312,82,43,False
1401016,TR1_1559618912,1682610,840000,18,True,1,0,0,0,1,0,0,0,1,0,0,0,0,27983,310,74,46,True,14,False,1,0,0,0,0,0,1,0,3,0,0,0,0,26957,334,90,45,False
1401017,TR1_1559566543,2371585,840000,15,True,2,0,0,0,1,1,0,0,0,0,0,0,0,25993,318,91,46,True,8,False,0,0,0,0,0,0,0,0,3,0,0,0,0,24128,357,70,43,False
1401018,TR1_1559464156,1750008,840000,9,False,0,0,0,0,0,0,0,0,4,0,0,0,0,24961,352,88,43,False,10,True,1,0,1,0,0,0,0,0,2,0,0,1,0,25958,322,92,44,True
