,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
1402000,TR1_1559088536,1622579,1622579,47,True,2,0,1,0,0,0,1,0,2,1,1,9,1,63730,628,174,77,True,16,False,1,0,0,0,0,1,0,0,4,0,0,5,0,49206,610,164,65,False
1402001,TR1_1559082418,1719022,1719022,27,False,1,0,0,0,0,1,0,0,4,0,0,4,1,55914,636,175,69,False,48,True,3,1,0,0,0,1,1,0,2,1,1,8,0,64174,614,147,77,True
1402002,TR1_1559014430,1223115,1223115,12,False,0,0,0,0,0,0,0,0,6,0,0,3,0,37848,471,115,56,False,27,True,3,1,0,0,0,1,1,0,0,0,0,5,0,44313,513,137,61,True
1402003,TR1_1559000426,1777785,1777785,26,False,3,0,0,3,0,0,0,0,6,1,1,11,3,61081,702,230,75,True,19,True,2,1,1,0,0,0,0,0,0,0,0,2,0,51331,746,119,70,False
1402004,TR1_1558915151,1703769,1703769,31,True,2,0,0,1,0,0,1,0,6,1,1,11,4,63948,691,212,75,True,20,False,2,1,0,0,0,0,1,0,0,0,0,1,0,52518,713,117,72,False
1402005,TR1_1558911408,714446,714446,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,17447,201,72,37,False,16,True,1,0,0,0,0,1,0,0,6,0,0,2,0,24832,244,67,39,True
1402006,TR1_1558902297,1812889,1812889,32,True,1,0,0,1,0,0,0,0,3,1,1,9,1,62345,724,181,76,True,20,False,3,1,1,1,0,0,0,0,3,0,1,2,0,52994,661,166,72,False
1402007,TR1_1558752331,1548671,1548671,86,True,0,0,0,0,0,0,0,0,0,0,0,2,5,93800,320,0,90,False,91,False,0,0,0,0,0,0,0,0,0,0,0,4,0,97408,332,0,90,True
1402008,TR1_1558743963,765140,765140,42,False,0,0,0,0,0,0,0,0,0,0,0,1,1,49517,152,0,67,False,49,True,0,0,0,0,0,0,0,0,0,0,0,4,0,54791,162,0,73,True
1402009,TR1_1558742188,1387595,1387595,65,False,0,0,0,0,0,0,0,0,0,0,0,4,5,82478,250,0,90,True,63,True,0,0,0,0,0,0,0,0,0,0,0,2,0,82080,266,0,90,False
1402010,TR1_1558719715,1264580,1264580,77,True,0,0,0,0,0,0,0,0,0,0,0,4,4,82520,261,0,90,True,72,False,0,0,0,0,0,0,0,0,0,0,0,2,0,79782,246,0,90,False
1402011,TR1_1558714283,1716293,1716293,20,True,0,0,0,0,0,0,0,0,3,0,0,3,1,50111,577,138,67,False,46,False,3,0,0,1,0,1,1,0,0,1,1,10,0,64544,551,155,73,True
1402012,TR1_1558710221,1401503,1401503,21,True,3,1,0,0,1,1,0,0,5,1,1,10,1,52111,602,193,69,True,15,False,0,0,0,0,0,0,0,0,1,0,0,1,0,40255,543,174,63,False
1402013,TR1_1558695862,2523688,2523688,38,True,3,2,1,0,0,0,0,0,0,0,0,9,5,82249,925,283,87,False,43,False,3,2,0,1,0,0,0,0,3,0,3,7,0,88523,917,216,89,True
1402014,TR1_1558692703,1291683,1291683,34,True,2,1,1,0,0,0,0,0,1,1,0,9,1,50355,530,117,65,True,23,False,0,0,0,0,0,0,0,0,5,0,0,1,0,38848,400,114,55,False
1402015,TR1_1558685983,1323042,1323042,17,False,1,1,0,0,0,0,0,0,3,0,0,0,3,38253,480,74,57,False,39,True,1,0,0,0,0,0,1,0,3,1,1,11,0,56218,525,138,65,True
1402016,TR1_1558683203,1836796,1836796,30,True,4,0,2,1,0,0,1,0,5,1,0,11,3,63140,644,247,77,True,25,False,0,0,0,0,0,0,0,0,1,0,1,2,0,55351,726,134,72,False
1402017,TR1_1558570718,654375,654375,3,True,0,0,0,0,0,0,0,0,4,0,0,0,0,15713,197,64,33,False,9,False,1,0,0,0,1,0,0,0,0,0,0,1,0,21099,246,63,38,True
1402018,TR1_1558533235,2340091,2340091,60,False,3,0,0,1,0,0,2,0,3,0,1,8,2,86410,814,250,88,True,45,True,2,0,0,0,1,0,1,0,3,1,2,9,0,82750,772,235,87,False
1402019,TR1_1558519228,2434222,2434222,59,True,3,2,1,0,0,0,0,0,6,1,1,8,3,86041,699,195,87,True,60,False,3,2,0,0,0,0,1,0,0,0,1,9,0,89411,845,248,89,False
1402020,TR1_1558515119,941749,941749,28,True,1,0,0,0,0,1,0,0,6,0,0,3,0,35620,398,112,51,True,14,False,1,0,0,0,0,0,1,0,0,0,0,0,0,28865,334,93,46,False
1402021,TR1_1558500667,1316460,1316460,19,False,0,0,0,0,0,0,0,0,1,0,0,1,3,40904,485,106,59,False,46,True,3,0,0,1,1,1,0,0,2,0,0,11,0,56510,514,129,67,True
1402022,TR1_1558500194,928400,928400,22,True,2,0,1,1,0,0,0,0,6,0,0,1,0,31019,384,92,49,True,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,24976,387,76,46,False
1402023,TR1_1558492836,1444789,1444789,19,True,0,0,0,0,0,0,0,0,4,0,0,2,3,42404,538,135,61,False,36,False,3,1,1,0,0,1,0,0,2,1,1,11,0,56859,632,140,70,True
1402024,TR1_1558491236,2126901,2126901,41,False,3,0,2,0,0,1,0,0,2,1,1,4,1,70234,694,216,80,False,54,True,2,0,1,0,0,0,1,0,4,0,0,9,0,76831,735,202,85,True
1402025,TR1_1558368557,1539145,1539145,14,False,1,0,0,0,1,0,0,0,3,0,1,3,1,45128,604,131,64,False,34,True,2,0,0,1,0,1,0,0,0,0,0,9,0,54689,606,141,71,True
1402026,TR1_1558360467,1081783,1081783,12,False,2,0,1,0,0,0,1,0,3,0,0,2,1,31785,387,78,49,False,32,True,0,0,0,0,0,0,0,0,0,1,0,7,0,44416,447,128,58,True
1402027,TR1_1558354023,1557209,1557209,10,False,1,0,1,0,0,0,0,0,1,0,0,3,1,43805,618,134,64,False,34,True,2,0,0,0,0,1,1,0,5,1,1,10,0,58807,642,181,75,True
1402028,TR1_1558341253,1718034,1718034,39,True,2,0,1,1,0,0,0,0,6,1,0,5,1,57612,636,171,70,False,42,False,2,0,0,1,0,0,1,0,0,0,1,8,0,65908,624,155,76,True
1402029,TR1_1558329640,1672732,1672732,34,False,2,0,0,1,0,0,1,0,3,0,1,10,1,59537,602,184,75,True,22,True,2,1,0,0,0,0,1,0,2,0,0,3,0,49889,602,124,66,False
1402030,TR1_1558315411,1935383,1935383,21,True,0,0,0,0,0,0,0,0,0,0,0,3,3,58569,859,135,77,False,38,False,4,0,1,2,0,0,1,0,3,1,1,11,0,72829,874,267,85,True
1402031,TR1_1558301677,1912325,1912325,26,False,1,1,0,0,0,0,0,0,0,0,0,2,1,60142,773,121,76,False,39,True,3,0,1,0,0,0,2,0,6,1,1,10,0,68925,823,210,82,True
1402032,TR1_1558285983,1823180,1823180,33,True,1,1,0,0,0,0,0,0,6,1,1,4,2,64675,685,193,77,False,49,False,3,0,1,0,0,2,0,0,0,0,0,8,0,68338,675,213,80,True
1402033,TR1_1558275547,1889892,1889892,36,False,3,0,1,0,0,0,2,0,2,0,1,9,1,70164,813,214,82,True,30,True,2,0,0,1,0,0,1,0,4,0,0,3,0,60364,689,198,77,False
1402034,TR1_1558261066,2071242,2071242,53,True,3,2,1,0,0,0,0,0,0,1,1,10,3,79011,803,179,86,True,45,False,2,1,0,1,0,0,0,0,3,0,1,6,0,69041,655,208,84,False
1402035,TR1_1558241815,926240,926240,10,False,0,0,0,0,0,0,0,0,0,0,0,0,0,26025,360,103,46,False,17,True,1,1,0,0,0,0,0,0,6,1,0,2,0,32466,414,100,51,True
1402036,TR1_1558042778,1517430,1517430,17,True,0,0,0,0,0,0,0,0,3,1,0,3,2,43637,559,133,63,False,27,False,4,0,2,1,1,0,0,0,1,0,1,9,0,53447,620,166,69,True
1402037,TR1_1558034222,2183630,2183630,49,False,1,0,1,0,0,0,0,0,4,0,1,8,3,76594,762,194,86,True,45,True,3,1,1,0,0,0,1,0,2,0,1,7,0,75469,799,196,85,False
1402038,TR1_1558004915,797978,797978,41,False,0,0,0,0,0,0,0,0,0,0,0,4,1,52465,152,0,72,True,31,True,0,0,0,0,0,0,0,0,0,0,0,0,0,45907,117,0,65,False
1402039,TR1_1557999123,1514239,1514239,80,False,0,0,0,0,0,0,0,0,0,0,0,2,4,92321,337,0,90,False,75,True,0,0,0,0,0,0,0,0,0,0,0,4,0,92118,349,0,90,True
1402040,TR1_1557994294,914269,914269,52,True,0,0,0,0,0,0,0,0,0,0,0,1,1,57586,158,0,77,False,45,False,0,0,0,0,0,0,0,0,0,0,0,4,0,59028,153,0,77,True
1402041,TR1_1557643234,1375177,1375177,15,False,0,0,0,0,0,0,0,0,1,0,0,0,0,39723,511,124,61,False,28,True,3,0,1,1,1,0,0,0,2,1,0,8,0,48790,581,148,66,True
1402042,TR1_1557621843,1439321,1439321,16,True,0,0,0,0,0,0,0,0,5,0,0,4,1,42797,482,130,58,False,34,False,3,1,0,1,0,0,1,0,1,1,1,6,0,51160,501,135,65,True
1402043,TR1_1557611655,1917559,1917559,36,False,2,0,0,1,0,0,1,0,0,1,1,6,1,69200,842,142,82,True,45,True,2,1,0,0,0,0,1,0,6,0,1,8,0,70537,759,231,83,False
1402044,TR1_1557603362,1478151,1478151,79,False,0,0,0,0,0,0,0,0,0,0,0,4,3,89467,262,0,90,True,56,True,0,0,0,0,0,0,0,0,0,0,0,2,0,83390,312,0,90,False
1402045,TR1_1557596761,1122549,1122549,83,True,0,0,0,0,0,0,0,0,0,0,0,4,2,76846,218,0,89,True,57,False,0,0,0,0,0,0,0,0,0,0,0,0,0,68143,208,0,89,False
1402046,TR1_1557597040,675298,675298,39,True,0,0,0,0,0,0,0,0,0,0,0,0,1,44147,76,0,61,False,55,False,0,0,0,0,0,0,0,0,0,0,0,4,0,51365,128,0,69,True
1402047,TR1_1557587879,961386,961386,44,True,0,0,0,0,0,0,0,0,0,0,0,4,2,62251,200,0,81,True,57,False,0,0,0,0,0,0,0,0,0,0,0,2,0,60699,175,0,80,False
1402048,TR1_1557577113,1492683,1492683,21,False,2,0,1,0,1,0,0,0,0,0,0,2,2,44587,529,116,63,False,32,True,0,0,0,0,0,0,0,0,6,1,0,10,0,54671,605,150,68,True
1402049,TR1_1557570012,1720293,1720293,19,False,0,0,0,0,0,0,0,0,4,1,0,2,3,51520,696,150,72,False,29,True,4,1,1,0,0,0,2,0,1,0,1,11,0,60593,772,173,77,True
1402050,TR1_1557567017,1362343,1362343,35,True,2,0,1,0,0,1,0,0,5,1,0,9,2,52697,582,123,66,True,12,False,0,0,0,0,0,0,0,0,1,0,0,1,0,38508,510,114,58,False
1402051,TR1_1557562299,949612,949612,25,True,2,1,0,0,0,1,0,0,6,0,0,5,0,37692,375,115,50,True,10,False,0,0,0,0,0,0,0,0,0,1,0,1,0,29391,392,71,47,False
1402052,TR1_1557433816,1858155,1858155,37,False,1,0,0,0,1,0,0,0,6,0,0,5,2,63761,724,168,75,False,48,True,3,0,0,1,1,1,0,0,0,1,2,9,0,74275,728,228,84,True
1402053,TR1_1559235055,1445289,1445289,86,True,0,0,0,0,0,0,0,0,0,0,0,4,2,90729,277,0,90,True,45,False,0,0,0,0,0,0,0,0,0,0,0,2,0,78770,268,0,90,False
1402054,TR1_1559231361,1221677,1221677,51,False,0,0,0,0,0,0,0,0,0,0,0,1,2,71395,227,0,90,False,69,True,0,0,0,0,0,0,0,0,0,0,0,4,0,77693,243,0,90,True
1402055,TR1_1559221396,1345226,1345226,72,True,0,0,0,0,0,0,0,0,0,0,0,4,3,81061,219,0,90,True,47,False,0,0,0,0,0,0,0,0,0,0,0,1,0,74743,218,0,90,False
1402056,TR1_1559212482,1382029,1382029,25,False,4,0,0,0,2,1,1,0,6,0,0,8,3,68323,397,150,76,False,36,True,0,0,0,0,0,0,0,0,0,0,2,7,0,72013,346,77,78,True
1402057,TR1_1559197001,946128,946128,20,True,2,1,0,0,0,0,1,0,3,0,0,11,3,53951,341,106,58,True,20,False,0,0,0,0,0,0,0,0,3,0,0,2,0,48799,326,94,57,False
1402058,TR1_1559177190,1391509,1391509,15,False,1,0,0,0,0,1,0,0,6,0,0,0,3,37232,384,123,59,False,34,True,1,0,0,0,1,0,0,0,0,0,1,11,0,53635,628,135,69,True
1402059,TR1_1559156161,1792758,1792758,33,True,2,0,0,1,0,1,0,0,3,1,2,11,3,66070,736,233,83,True,11,False,1,1,0,0,0,0,0,0,3,0,0,3,0,49605,732,146,72,False
1402060,TR1_1559139280,1739131,1739131,39,False,4,0,0,1,2,0,1,0,3,0,1,9,1,62598,658,165,76,True,28,True,0,0,0,0,0,0,0,0,3,1,0,3,0,52355,539,130,68,False
1402061,TR1_1559097438,1406039,1406039,33,True,3,0,0,1,0,1,1,0,0,1,1,6,0,53194,554,168,68,True,7,False,0,0,0,0,0,0,0,0,6,0,0,0,0,34950,519,92,57,False
1402062,TR1_1559089295,936638,936638,21,True,2,0,0,0,1,0,1,0,2,0,0,1,0,31918,340,92,48,True,15,False,0,0,0,0,0,0,0,0,4,0,0,0,0,29015,347,100,46,False
1402063,TR1_1559076772,1324370,1324370,83,True,0,0,0,0,0,0,0,0,0,0,0,4,2,84358,267,0,90,True,57,False,0,0,0,0,0,0,0,0,0,0,0,1,0,75813,239,0,90,False
1402064,TR1_1559072402,1023781,1023781,26,True,2,1,0,1,0,0,0,0,6,0,0,4,0,38517,443,128,54,True,12,False,0,0,0,0,0,0,0,0,0,0,0,0,0,26695,353,68,47,False
1402065,TR1_1559024583,1722536,1722536,36,True,3,0,0,0,0,1,2,0,0,0,1,11,3,62830,611,213,77,True,28,False,1,0,0,1,0,0,0,0,6,0,0,2,0,50182,550,115,61,False
1402066,TR1_1559007639,1358975,1358975,64,False,0,0,0,0,0,0,0,0,0,0,0,1,2,79418,259,0,90,False,75,True,0,0,0,0,0,0,0,0,0,0,0,4,0,81951,273,0,90,True
1402067,TR1_1558964092,1916704,1916704,44,True,1,0,0,0,0,0,1,0,2,0,1,4,2,63733,616,169,81,False,37,False,3,1,0,0,1,0,1,0,1,0,0,10,0,63884,668,181,74,True
1402068,TR1_1558949695,1356622,1356622,45,True,2,0,0,1,1,0,0,0,3,0,1,10,2,56547,507,163,67,True,18,False,0,0,0,0,0,0,0,0,0,0,0,0,0,37377,444,72,58,False
1402069,TR1_1558935973,1579188,1579188,51,False,3,0,1,1,0,1,0,0,1,1,0,6,1,57468,396,170,71,True,19,True,1,0,0,1,0,0,0,0,2,0,0,3,0,46077,517,120,61,False
1402070,TR1_1558930249,1433868,1433868,25,False,0,0,0,0,0,0,0,0,3,1,0,2,0,43459,475,106,60,False,36,True,3,0,0,1,0,1,1,0,0,0,0,4,0,50596,477,164,66,True
1402071,TR1_1558919730,1230536,1230536,21,False,2,1,0,1,0,0,0,0,0,0,0,2,2,37029,350,76,48,False,32,True,1,0,0,0,1,0,0,0,6,0,0,9,0,47614,416,179,62,True
1402072,TR1_1558910179,1312047,1312047,54,False,0,0,0,0,0,0,0,0,0,0,0,2,2,72655,237,0,86,False,47,True,0,0,0,0,0,0,0,0,0,0,0,4,0,75418,266,0,90,True
1402073,TR1_1558907522,939699,939699,9,True,0,0,0,0,0,0,0,0,0,0,0,0,0,25229,354,60,44,False,24,False,1,0,0,0,0,0,1,0,6,0,0,2,0,34359,368,124,52,True
1402074,TR1_1558879103,2240157,2240157,34,False,1,0,0,0,0,0,0,1,6,0,1,3,3,73685,810,239,84,False,40,True,5,1,0,0,1,2,0,1,0,1,1,11,0,80727,907,220,87,True
1402075,TR1_1558876335,1359420,1359420,36,False,3,0,0,1,1,0,1,0,6,1,1,11,3,56148,481,179,69,True,19,True,0,0,0,0,0,0,0,0,0,0,0,1,0,39699,478,112,59,False
1402076,TR1_1558871730,1434939,1434939,30,True,3,0,1,1,0,1,0,0,6,1,1,11,3,55140,540,211,70,True,12,False,0,0,0,0,0,0,0,0,0,0,0,0,0,38695,567,93,62,False
