,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
1401000,TR1_1560069312,1855160,1620000,28,False,0,0,0,0,0,0,0,0,0,0,0,3,0,55253,685,118,71,False,35,True,4,2,0,1,1,0,0,0,3,1,1,6,1,59169,663,206,75,True
1401001,TR1_1560051961,1963333,1620000,36,False,4,2,1,0,1,0,0,0,3,0,1,7,1,60409,697,222,74,True,28,True,0,0,0,0,0,0,0,0,3,0,0,2,0,51912,597,116,69,False
1401002,TR1_1560045743,1847948,1620000,38,False,2,1,0,1,0,0,0,0,2,0,0,6,0,57905,590,164,71,True,25,True,1,0,1,0,0,0,0,0,4,0,1,3,0,53041,587,158,71,False
1401003,TR1_1559999906,1774663,1620000,33,True,3,0,1,0,0,0,2,0,5,0,1,5,0,58866,598,204,70,True,30,False,1,1,0,0,0,0,0,0,1,1,0,2,0,52144,570,134,67,False
1401004,TR1_1559996981,1890877,1620000,28,False,3,1,0,0,1,1,0,0,3,1,1,7,0,56083,628,175,72,True,23,True,1,0,0,0,0,1,0,0,3,0,0,3,0,54385,681,169,70,False
1401005,TR1_1559997570,2231533,1620000,27,False,3,1,0,1,1,0,0,0,3,0,0,4,0,52585,628,192,69,True,15,True,1,1,0,0,0,0,0,0,3,0,0,3,0,48391,645,173,65,False
1401006,TR1_1559995268,2192583,1620000,19,False,3,0,1,1,0,1,0,0,4,1,0,3,0,49672,636,195,68,False,26,True,0,0,0,0,0,0,0,0,2,0,1,2,0,51978,623,161,69,True
1401007,TR1_1559981436,1703267,1620000,24,True,0,0,0,0,0,0,0,0,1,0,0,3,0,51186,615,154,67,False,41,False,4,2,1,0,0,1,0,0,5,1,1,4,0,56890,552,209,73,True
1401008,TR1_1559961587,2214072,1620000,15,False,2,0,0,1,0,0,1,0,1,0,0,2,0,46108,684,140,68,True,10,True,1,0,0,0,0,1,0,0,5,0,1,5,1,48494,678,166,68,False
1401009,TR1_1559906632,1824280,1620000,33,False,2,0,1,0,1,0,0,0,6,1,0,6,0,59116,581,186,69,False,35,True,1,1,0,0,0,0,0,0,0,0,1,6,1,58632,569,169,72,True
1401010,TR1_1559734016,1776156,1620000,18,True,1,0,0,1,0,0,0,0,3,0,0,1,0,47732,619,166,68,False,21,False,3,0,0,1,0,1,1,0,0,1,1,7,0,53712,756,175,72,True
1401011,TR1_1559723596,1624830,1620000,33,True,3,0,0,0,1,2,0,0,6,0,1,10,1,59986,654,198,75,True,23,False,1,1,0,0,0,0,0,0,0,0,0,2,0,48724,619,112,66,False
1401012,TR1_1559705183,1715113,1620000,27,True,1,1,0,0,0,0,0,0,6,0,0,3,0,52400,596,171,70,False,33,False,2,0,0,0,1,0,1,0,0,0,1,6,1,55815,603,162,73,True
1401013,TR1_1559686419,1814360,1620000,15,False,0,0,0,0,0,0,0,0,4,1,0,3,0,46647,672,166,69,False,17,True,2,0,0,0,1,0,1,0,2,0,1,5,0,53652,703,211,72,True
1401014,TR1_1559675320,1722738,1620000,28,False,2,0,0,0,0,2,0,0,0,0,1,4,0,53306,623,175,72,True,25,True,2,0,0,1,1,0,0,0,6,0,0,5,0,52268,597,203,68,False
1401015,TR1_1559655856,1682870,1620000,31,False,1,0,0,0,0,0,1,0,6,1,0,5,0,55434,601,211,69,True,24,True,2,0,0,1,1,0,0,0,0,0,0,2,0,51393,622,146,67,False
1401016,TR1_1559618912,1682610,1620000,38,True,3,2,0,0,1,0,0,0,1,1,0,7,2,60193,642,195,74,True,24,False,1,0,0,0,0,0,1,0,3,0,1,5,0,55103,663,143,71,False
1401017,TR1_1559566543,2371585,1620000,26,True,3,1,0,0,1,1,0,0,0,1,0,3,0,51078,662,178,70,True,23,False,1,1,0,0,0,0,0,0,3,0,1,4,0,53477,707,154,73,False
1401018,TR1_1559464156,1750008,1620000,21,False,0,0,0,0,0,0,0,0,4,0,0,2,0,48396,606,161,65,False,26,True,4,2,1,1,0,0,0,0,2,1,1,6,1,53902,546,190,68,True
1401019,TR1_1559461226,1861912,1620000,23,True,1,0,0,0,0,0,1,0,6,1,0,5,0,51113,655,140,68,False,19,False,2,1,0,1,0,0,0,0,0,0,1,4,0,51548,632,193,70,True
1401020,TR1_1559459543,1679394,1620000,20,True,0,0,0,0,0,0,0,0,5,0,0,3,0,50822,632,129,67,False,41,False,4,1,0,1,2,0,0,0,1,0,0,7,1,59282,623,221,75,True
1401021,TR1_1559439645,1697167,1620000,23,True,0,0,0,0,0,0,0,0,6,1,1,8,1,56054,663,141,70,True,28,False,4,1,2,1,0,0,0,0,0,0,0,2,0,53427,656,156,70,False
1401022,TR1_1559244599,1946690,1620000,22,False,0,0,0,0,0,0,0,0,3,0,0,5,1,50842,587,150,68,False,32,True,3,0,0,0,1,1,1,0,3,1,1,7,0,58681,615,200,72,True
1401023,TR1_1559043889,1847590,1620000,21,True,1,0,1,0,0,0,0,0,6,0,0,2,0,48619,605,138,67,False,39,False,2,0,0,0,0,1,1,0,0,1,1,5,1,58686,657,203,76,True
1401024,TR1_1559038899,1659781,1620000,33,False,3,1,0,0,0,1,1,0,3,0,1,8,2,59849,596,196,75,True,25,True,1,1,0,0,0,0,0,0,3,0,0,4,0,51887,606,135,68,False
1401025,TR1_1559037136,1879967,1620000,17,True,0,0,0,0,0,0,0,0,3,1,0,3,0,48064,671,153,66,False,32,False,3,0,0,0,1,1,1,0,3,0,0,6,0,57303,664,173,71,True
1401026,TR1_1559015916,1918875,1620000,19,False,2,0,1,0,0,1,0,0,2,0,1,3,0,51257,695,187,72,True,22,True,1,1,0,0,0,0,0,0,4,0,0,3,0,50806,638,163,68,False
