,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
1501000,VN2_614409269,1948897,1200000,23,False,0,0,0,0,0,0,0,0,6,1,0,3,0,41593,508,141,57,True,20,True,2,1,1,0,0,0,0,0,0,0,0,1,0,36461,465,101,55,False
1501001,VN2_614243338,2129798,1200000,14,True,1,0,0,0,0,1,0,0,6,1,0,2,0,36819,522,135,57,False,12,False,1,0,0,0,1,0,0,0,0,0,0,1,0,35825,519,106,56,True
1501002,VN2_614124639,1965793,1200000,23,False,1,0,1,0,0,0,0,0,6,1,0,4,0,40969,464,118,54,False,18,True,1,1,0,0,0,0,0,0,0,0,0,2,0,37962,451,117,55,True
1501003,VN2_614092849,2041911,1200000,16,True,2,0,0,0,1,1,0,0,3,0,0,2,0,37346,479,134,55,True,20,False,1,0,1,0,0,0,0,0,3,1,0,3,0,40769,529,130,59,False
1501004,VN2_614058913,2567900,1200000,15,True,2,0,1,0,0,0,1,0,3,0,0,2,0,36908,522,108,57,True,13,False,0,0,0,0,0,0,0,0,3,1,0,3,0,37305,528,106,56,False
1501005,VN2_614055247,1666238,1200000,26,True,1,1,0,0,0,0,0,0,3,1,0,5,0,42987,505,115,60,True,12,False,2,0,0,1,0,1,0,0,3,0,0,1,0,35471,435,119,54,False
1501006,VN2_614023363,2311142,1200000,14,False,2,0,0,0,0,1,1,0,3,0,0,2,0,38190,564,140,58,False,9,True,0,0,0,0,0,0,0,0,3,1,0,1,0,32497,475,101,52,True
1501007,VN2_613758877,1832045,1200000,16,True,1,0,0,0,0,1,0,0,5,1,0,4,0,38694,510,125,56,True,13,False,1,0,0,0,0,0,1,0,1,0,0,2,0,35460,504,138,57,False
1501008,VN2_613728257,1662998,1200000,18,True,1,0,0,1,0,0,0,0,3,0,0,1,0,39047,496,117,58,False,27,False,1,0,0,0,1,0,0,0,3,1,0,5,0,44760,524,142,61,True
1501009,VN2_613626564,2018243,1200000,28,False,1,1,0,0,0,0,0,0,3,1,0,7,0,45830,489,139,58,True,26,True,1,0,0,0,1,0,0,0,3,0,0,1,0,41766,455,120,58,False
1501010,VN2_613581950,1720031,1200000,15,False,2,0,0,1,0,0,1,0,5,0,0,4,0,38061,484,130,57,False,16,True,0,0,0,0,0,0,0,0,1,0,0,2,0,34664,479,105,57,True
1501011,VN2_613555934,2102418,1200000,23,False,1,0,0,0,0,1,0,0,4,1,0,4,0,41583,487,116,56,True,19,True,1,0,0,1,0,0,0,0,2,0,0,1,0,37419,490,95,56,False
1501012,VN2_613512183,2120942,1200000,25,True,0,0,0,0,0,0,0,0,5,1,0,4,0,41877,428,141,57,True,21,False,2,0,0,1,0,0,1,0,1,0,0,3,0,39435,453,76,54,False
1501013,VN2_613476437,1896396,1200000,22,False,1,0,0,0,1,0,0,0,1,0,0,1,0,41386,514,94,57,True,25,True,1,1,0,0,0,0,0,0,5,1,0,2,0,42125,484,124,58,False
1501014,VN2_613436095,2078775,1200000,31,False,0,0,0,0,0,0,0,0,4,0,0,0,0,41435,471,100,54,False,32,True,1,0,0,0,0,0,1,0,2,1,0,3,0,44853,459,91,56,True
1501015,VN2_613379546,1959409,1200000,20,True,3,1,0,0,1,1,0,0,0,0,0,2,0,38905,461,113,58,False,24,False,0,0,0,0,0,0,0,0,6,1,0,4,0,42605,474,143,58,True
1501016,VN2_613352271,1632717,1200000,24,False,1,0,0,1,0,0,0,0,5,0,0,2,0,39235,473,118,57,True,12,True,1,0,0,0,1,0,0,0,1,1,0,1,0,35349,471,105,55,False
1501017,VN2_613057920,1682308,1200000,13,False,1,0,0,0,0,0,1,0,1,0,0,3,0,35258,482,87,54,False,16,True,1,0,0,1,0,0,0,0,5,1,0,1,0,36258,450,139,56,True
1501018,VN2_613037949,1784842,1200000,17,False,0,0,0,0,0,0,0,0,1,0,0,1,0,36809,483,129,58,False,19,True,2,1,0,0,1,0,0,0,5,1,0,3,0,40247,519,145,60,True
1501019,VN2_612727647,1667003,1200000,22,True,1,0,0,0,0,0,1,0,5,1,0,3,0,40116,464,112,56,True,17,False,2,1,0,1,0,0,0,0,1,0,0,3,0,39088,499,123,55,False
1501020,VN2_612629839,1636178,1200000,18,True,1,0,0,0,0,0,1,0,1,0,0,2,0,38797,542,127,58,True,20,False,1,0,0,0,1,0,0,0,5,1,0,3,0,40891,466,126,57,False
1501021,VN2_612548170,1923577,1200000,14,True,0,0,0,0,0,0,0,0,3,1,0,2,0,35739,457,127,56,False,14,False,3,0,1,0,0,1,1,0,3,0,0,4,0,37832,489,120,56,True
1501022,VN2_612521258,2003790,1200000,24,False,1,1,0,0,0,0,0,0,4,1,0,3,0,40327,420,156,56,False,21,True,1,0,0,0,1,0,0,0,2,0,0,1,0,39310,439,99,56,True
1501023,VN2_612464629,1919514,1200000,17,True,3,0,1,1,0,1,0,0,5,1,0,4,0,39503,538,138,59,True,16,False,0,0,0,0,0,0,0,0,1,0,0,1,0,36899,486,93,56,False
1501024,VN2_612428919,1683279,1200000,20,False,1,1,0,0,0,0,0,0,6,1,0,3,0,39624,443,133,56,False,22,True,2,0,0,0,1,0,1,0,0,0,0,3,0,41959,498,141,58,True
1501025,VN2_612417030,1689836,1200000,15,False,1,0,0,0,0,1,0,0,1,0,0,0,0,33641,451,110,55,False,15,True,1,0,0,1,0,0,0,0,5,1,0,4,0,40562,519,162,58,True
1501026,VN2_612359914,1674904,1200000,13,True,0,0,0,0,0,0,0,0,4,1,0,2,0,37632,554,143,57,False,21,False,3,1,1,0,1,0,0,0,2,0,0,2,0,40250,519,133,57,True
1501027,VN2_612316108,1804599,1200000,16,True,0,0,0,0,0,0,0,0,6,1,0,4,0,39437,495,128,57,True,18,False,2,0,0,1,0,0,1,0,0,0,0,1,0,36455,470,107,55,False
1501028,VN2_612170794,1860009,1200000,21,False,3,0,1,0,0,1,1,0,0,1,0,3,0,39547,496,128,59,True,18,True,0,0,0,0,0,0,0,0,6,0,0,3,0,39089,485,155,57,False
1501029,VN2_612134004,1877706,1200000,27,True,1,0,0,0,1,0,0,0,1,1,0,3,0,42541,418,113,57,False,21,False,2,0,0,1,0,1,0,0,2,0,0,2,0,39648,451,107,54,True
