,matchID,fullTimeMS,timeStamp,blueChampionKill,blueFirstBlood,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidGrubKill,blueRiftHeraldKill,blueBaronKill,blueTowerKill,blueInhibitorKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,blueWin,redChampionKill,redFirstBlood,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidGrubKill,redRiftHeraldKill,redBaronKill,redTowerKill,redInhibitorKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,redWin
1504000,VN2_606051256,2344586,2344586,42,False,3,1,1,0,0,1,0,0,0,0,2,10,6,82242,866,241,86,True,34,True,3,3,0,0,0,0,0,0,6,1,1,8,0,76618,822,230,82,False
1504001,VN2_606028261,974904,974904,25,True,1,0,0,1,0,0,0,0,0,1,0,6,1,36679,391,72,50,True,10,False,0,0,0,0,0,0,0,0,3,0,0,0,0,25043,296,86,45,False
1504002,VN2_605963184,948909,948909,8,False,0,0,0,0,0,0,0,0,0,0,0,0,0,25979,391,99,46,False,17,True,1,0,1,0,0,0,0,0,3,1,0,1,0,30477,367,78,49,True
1504003,VN2_605921554,1616416,1616416,31,True,2,0,0,0,0,0,2,0,6,0,0,11,3,61131,648,206,71,True,29,False,2,1,1,0,0,0,0,0,0,1,0,2,0,50549,610,125,70,False
1504004,VN2_605861627,1400121,1400121,13,False,0,0,0,0,0,0,0,0,3,1,0,3,1,39595,523,125,60,False,25,True,3,0,1,1,1,0,0,0,3,0,1,7,0,50599,609,168,69,True
1504005,VN2_605834300,1634838,1634838,37,True,4,1,0,0,0,2,1,0,0,0,0,5,0,57478,598,155,71,True,27,False,0,0,0,0,0,0,0,0,3,1,0,3,0,50940,577,169,66,False
1504006,VN2_605802226,1448951,1448951,22,False,2,2,0,0,0,0,0,0,5,1,1,11,2,52877,637,170,68,True,11,True,2,0,0,1,0,0,1,0,1,0,0,1,0,38385,550,109,58,False
1504007,VN2_605678814,1231930,1231930,35,True,1,0,0,0,0,1,0,0,3,1,0,11,3,50354,478,122,60,True,24,False,1,0,0,0,0,0,1,0,3,0,0,0,0,39709,403,113,57,False
1504008,VN2_614571579,1742337,1742337,39,True,2,0,0,1,0,1,0,0,6,1,1,9,1,65521,632,188,75,True,35,False,2,0,0,0,1,1,0,0,0,0,0,3,0,57918,643,143,71,False
1504009,VN2_614273387,1465765,1465765,30,True,3,1,0,0,0,0,2,0,6,0,1,6,0,54257,606,203,70,True,16,False,1,0,0,0,1,0,0,0,0,1,0,1,0,42729,590,144,62,False
1504010,VN2_614233320,2125267,2125267,33,True,3,1,0,0,2,0,0,0,2,0,1,7,1,71288,782,233,85,True,30,False,2,0,0,1,1,0,0,0,4,1,1,6,0,72207,890,224,81,False
1504011,VN2_614191968,1979361,1979361,34,False,2,0,0,0,0,2,0,0,3,1,0,5,2,65359,689,202,76,False,55,True,3,0,0,1,1,1,0,0,3,0,2,10,0,78465,738,216,87,True
1504012,VN2_614123973,1135855,1135855,20,True,0,0,0,0,0,0,0,0,1,0,0,0,0,35706,449,87,53,False,30,False,2,1,0,0,1,0,0,0,5,1,0,5,0,44728,448,159,62,True
1504013,VN2_614104008,1636386,1636386,24,False,0,0,0,0,0,0,0,0,3,0,0,1,3,49447,606,148,69,False,28,True,3,0,0,1,1,1,0,0,3,1,1,11,0,58121,653,168,71,True
1504014,VN2_614062882,1318161,1318161,32,True,3,0,0,1,1,0,1,0,6,1,0,5,0,47166,483,152,64,True,14,False,0,0,0,0,0,0,0,0,0,0,0,2,0,39233,512,115,58,False
1504015,VN2_614051273,1840174,1840174,32,False,2,0,1,0,0,0,1,0,3,1,0,5,1,60142,719,181,73,False,33,True,2,0,0,1,0,0,1,0,3,0,1,6,0,63570,669,207,78,True
1504016,VN2_614028328,1828006,1828006,34,True,3,1,1,0,0,0,1,0,4,1,2,11,2,68909,799,208,79,True,18,False,0,0,0,0,0,0,0,0,0,0,0,1,0,51797,732,134,71,False
1504017,VN2_613802246,929625,929625,58,False,0,0,0,0,0,0,0,0,0,0,0,4,1,61277,180,0,80,True,34,True,0,0,0,0,0,0,0,0,0,0,0,0,0,52969,141,0,71,False
1504018,VN2_613753945,1415346,1415346,43,False,3,0,0,3,0,0,0,0,6,0,1,10,2,83954,459,170,87,True,37,True,2,0,1,0,1,0,0,0,0,0,1,5,0,78709,486,140,79,False
1504019,VN2_613729280,1228422,1228422,44,False,0,0,0,0,0,0,0,0,0,0,0,2,3,68819,254,0,89,False,59,True,0,0,0,0,0,0,0,0,0,0,0,4,0,75960,258,0,90,True
1504020,VN2_613711138,917459,917459,49,True,0,0,0,0,0,0,0,0,0,0,0,4,1,60046,171,0,78,True,38,False,0,0,0,0,0,0,0,0,0,0,0,0,0,52056,164,0,73,False
1504021,VN2_613689099,807221,807221,36,True,0,0,0,0,0,0,0,0,0,0,0,4,1,51466,164,0,68,True,21,False,0,0,0,0,0,0,0,0,0,0,0,0,0,42842,130,0,63,False
1504022,VN2_613319982,1714507,1714507,41,False,3,0,1,2,0,0,0,0,4,1,2,7,2,64197,620,191,78,True,19,True,1,0,0,0,0,1,0,0,2,0,0,3,0,52020,689,166,70,False
1504023,VN2_613288865,1644349,1644349,18,False,1,0,0,1,0,0,0,0,3,0,0,1,3,46116,544,138,63,False,36,True,3,0,1,1,1,0,0,0,3,1,1,11,0,60996,623,151,70,True
1504024,VN2_613202597,1225104,1225104,24,True,0,0,0,0,0,0,0,0,4,1,0,5,0,41676,425,116,55,True,17,False,2,0,0,0,1,0,1,0,2,0,0,1,0,36463,424,129,51,False
1504025,VN2_613179650,922260,922260,15,False,0,0,0,0,0,0,0,0,3,0,0,0,0,27377,328,78,45,False,14,True,1,1,0,0,0,0,0,0,0,0,0,1,0,30747,413,107,49,True
1504026,VN2_613067073,1218217,1218217,32,True,1,0,0,1,0,0,0,0,4,1,0,4,0,44067,403,123,56,True,22,False,2,1,0,0,0,1,0,0,2,0,0,2,0,38679,426,112,55,False
1504027,VN2_613048116,1387751,1387751,32,False,3,0,1,0,0,1,1,0,3,0,0,4,0,50652,547,138,64,True,21,True,0,0,0,0,0,0,0,0,3,1,0,4,0,44845,515,148,58,False
1504028,VN2_612543440,1801609,1801609,29,True,0,0,0,0,0,0,0,0,3,1,1,5,1,60738,662,187,74,False,37,False,4,2,0,1,1,0,0,0,3,0,1,7,0,65977,706,218,79,True
1504029,VN2_612484484,1805151,1805151,34,True,3,0,0,0,1,0,2,0,4,1,1,10,2,64885,706,194,77,True,23,False,2,0,1,0,0,0,1,0,2,0,0,3,0,54059,642,199,69,False
1504030,VN2_612324649,1817323,1817323,41,True,2,2,0,0,0,0,0,0,6,0,2,9,3,69625,670,233,80,True,24,False,3,1,1,0,1,0,0,0,0,1,0,1,0,54032,695,153,71,False
1504031,VN2_612286770,2409066,2409066,46,True,2,1,0,0,0,0,0,1,3,1,1,7,3,83969,846,263,88,True,41,False,4,0,0,1,0,0,3,0,3,0,1,9,0,81196,823,215,84,False
1504032,VN2_612260454,1377526,1377526,33,True,3,1,0,1,0,0,1,0,6,1,1,10,2,54454,557,162,67,True,19,False,0,0,0,0,0,0,0,0,0,0,0,2,0,42727,547,123,61,False
1504033,VN2_612219294,1111264,1111264,17,False,3,0,1,1,0,0,1,0,3,1,0,6,0,40571,541,130,57,True,7,True,0,0,0,0,0,0,0,0,3,0,0,0,0,29931,454,98,52,False
1504034,VN2_612154581,1832168,1832168,27,False,1,1,0,0,0,0,0,0,1,1,0,5,1,58705,672,170,71,False,36,True,3,1,1,1,0,0,0,0,5,0,1,8,0,64883,671,209,75,True
1504035,VN2_612141126,1353791,1353791,32,True,2,0,0,1,1,0,0,0,6,0,1,7,1,53756,533,155,66,True,18,False,0,0,0,0,0,0,0,0,0,1,0,1,0,40640,505,107,58,False
1504036,VN2_612113557,1476576,1476576,24,True,1,0,0,1,0,0,0,0,6,1,1,6,0,52089,618,167,69,True,14,False,2,1,0,0,0,1,0,0,0,0,0,2,0,43086,626,142,62,False
1504037,VN2_612091569,1462470,1462470,35,True,3,0,0,0,2,1,0,0,0,0,0,5,0,52383,544,152,70,True,18,False,1,0,0,0,0,0,1,0,6,1,0,3,0,45565,528,140,62,False
1504038,VN2_612078706,1159983,1159983,16,True,1,0,1,0,0,0,0,0,4,0,0,4,0,37823,464,112,55,True,9,False,1,1,0,0,0,0,0,0,2,1,0,1,0,31606,417,119,53,False
1504039,VN2_612072257,1386367,1386367,20,True,0,0,0,0,0,0,0,0,3,0,0,4,1,43641,553,137,61,False,31,False,3,0,1,0,0,1,1,0,3,1,1,8,0,51419,563,134,68,True
1504040,VN2_612055773,1507591,1507591,21,True,2,1,1,0,0,0,0,0,0,0,0,2,1,45624,572,119,61,False,48,False,2,0,0,0,0,0,2,0,6,1,1,8,0,60491,586,162,73,True
